funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2010,Northwest,Routt,Northwest CO Visiting Nurse Association,20000,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,Northwest,Routt,Partners in Routt Coutny,7000,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,Northwest,Routt,Steamboat Training Adaptive Recreational Sports,5000,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2010,Northwest,Grand,Grand Beginnings,5000,Hot Sulphur Springs,Program,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Hot Sulphur Springs,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Northwest,Grand,The Mountain Family Center,5000,Hot Sulphur Springs,General Operating,,
Anschutz Family Foundation,2010,Northwest,Grand,Advocates for a Violence-Free Community,5000,Hot Sulphur Springs,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,Northwest,Jackson,North Park School District R-1,7500,Walden,Program,Education,
Anschutz Family Foundation,2010,Northwest,Moffat,Yampa Valley Partners,2325,Craig,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",5000,Craig,Program,Disabled Persons,
Anschutz Family Foundation,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,5000,Craig,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Northwest,Rio Blanco,Giant Step Preschool & Child Care Center,5000,Rangely,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,5000,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,2500,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2010,Northwest,Routt,Family Development Center of Steamboat Springs,5000,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Routt,North Routt Preschool,5000,Clark,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Assn., Inc.",5000,Steamboat Springs,General Operating,Hospice,
Anschutz Family Foundation,2010,Northwest,Routt,Integrated Community,5000,Steamboat Springs,Program,,
Anschutz Family Foundation,2010,Northwest,Routt,Partners in Routt Coutny,5000,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Routt,Rocky Mountain Youth Corps,5000,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Routt,Yampatika,5000,Steamboat Springs,Program,Children and Youth Services,
AV Hunter Trust,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,5000,Craig,General Operating,Indigent,6/1/10
AV Hunter Trust,2010,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,7500,Craig,General Operating,Youth,11/22/10
Boettcher Foundation,2010,Northwest,Grand,Fraser Valley Recreation Foundation,75000,Winter Park,Capital,,
Boettcher Foundation,2010,Northwest,Grand,Rocky Mountain Repertory Theatre,50000,Grand Lake,Capital,,
Boettcher Foundation,2010,Northwest,Moffat,The Memorial Hospital Foundation,50000,Craig,Capital,,
Boettcher Foundation,2010,Northwest,Rio Blanco,Meeker Food Bank,10000,Meeker,Capital,,
Caring for Colorado Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",25000,Hot Sulphur Springs,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",80038,Craig,Program,,
Caring for Colorado Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",36715,Craig,Capital,,
Caring for Colorado Foundation,2010,Northwest,Routt,Colorado Nonprofit Development,25500,Steamboat Springs,Program,,
Caring for Colorado Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurses Association, Inc.",50000,Steamboat Springs,Program,Health                                                                     ,
Daniels Fund,2010,Northwest,Grand,Grand County Council on Aging,4929,Granby,Capital,"Community, Public Affairs",
Daniels Fund,2010,Northwest,Grand,Grand Futures Prevention Coalition,25000,Granby,Program,Health                                                                     ,
Daniels Fund,2010,Northwest,Moffat,Boys & Girls Club of Craig,30000,Craig,General Operating,Children and Youth Services,
Daniels Fund,2010,Northwest,Rio Blanco,North Routt Preschool,8000,Clark,Other,Children and Youth Services,
Daniels Fund,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",150000,Steamboat Springs,Program,Health                                                                     ,
Daniels Fund,2010,Northwest,Routt,Lift-Up of Routt County,7200,Steamboat Springs,Program,"Housing, Homeless shelters",
Daniels Fund,2010,Northwest,Routt,Partners in Routt County,12000,Steamboat Springs,Program,Children and Youth Services,
El Pomar Foundation,2010,Northwest,Grand,Advocates Victim Assistance Team,5000,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northwest,Moffat,Yampa Valley Partners,10000,Craig,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Northwest,Moffat,Love Inc of the Yampa Valley,5000,Craig,Program,Human Services,
El Pomar Foundation,2010,Northwest,Moffat,Advocates Crisis Support Services,10000,Craig,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northwest,Moffat,Boys and Girls Club of Craig,2500,Craig,Program,Children and Youth Services,
El Pomar Foundation,2010,Northwest,Moffat,Memorial Hospital of Craig Foundation,1500,Craig,General Operating,Health                                                                     ,
El Pomar Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1500,Rangely,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Northwest,Routt,North Routt Preschool,5000,Clark,General Operating,Education,
El Pomar Foundation,2010,Northwest,Routt,Yampa Valley Medical Center,35000,Steamboat Springs,Other,Health                                                                     ,
El Pomar Foundation,2010,Northwest,Routt,Lift-Up of Routt County,5000,Steamboat Springs,Program,Emergency Assistance      ,
El Pomar Foundation,2010,Northwest,Routt,Advocates Against Battering and Abuse dba Advocates Building Peaceful Communities,10000,Steamboat Springs,Program,"Domestic Violence Shelters, Services",
Gates Family Foundation,2010,Northwest,Grand,Rocky Mountain Repertory Theatre,200000,Grand Lake,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,10000,Craig,Capital,Children and Youth Services,
Gates Family Foundation,2010,Northwest,Routt,North Routt Community Charter School,200000,Clark,Capital,Education,
Gates Family Foundation,2010,Northwest,Routt,North Routt Preschool,15000,Clark,Capital,Education,
Helen K. and Arthur E. Johnson Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,30000,Craig,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000,Steamboat Springs,General Operating,Health                                                                     ,
Temple Hoyne Buell Foundation,2010,Northwest,Grand,Church of the Eternal Hills,5000,Tabernash,General Operating,Education,
Temple Hoyne Buell Foundation,2010,Northwest,Grand,Church of the Eternal Hills,10000,Tabernash,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1200,Rangely,Other,Education,
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1000,Rangely,Other,Education,
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,8000,Rangely,General Operating,Education,
Temple Hoyne Buell Foundation,2010,Northwest,Routt,First Impressions of Routt County,47000,Steamboat Springs,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2010,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000,Steamboat Springs,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northwest,Routt,North Routt Preschool,20000,Clark,Capital,Education,
The Colorado Health Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",64000,Craig,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,104000,Craig,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northwest,Routt,North Routt Preschool,35000,Clark,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",400000,Steamboat Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",127696,Steamboat Springs,Program,Health                                                                     ,
The Colorado Trust,2010,Northwest,Moffat,Moffat County Department of Social Services,178390,Craig,Program,Health                                                                     ,
The Colorado Trust,2010,Northwest,Moffat,Moffat County Department of Social Services,5000,Craig,Program,Health                                                                     ,
The Colorado Trust,2010,Northwest,Routt,First Impressions of Routt County,121580,Steamboat Springs,Program,Health                                                                     ,
The Colorado Trust,2010,Northwest,Routt,Northwest Colorado Visiting Nurse Association,25000,Steamboat Springs,Program,Health                                                                     ,
Adolph Coors Foundation,2011,Northwest,Routt,Family Resource Center,10000,Sterling,General Operating,,
Adolph Coors Foundation,2011,Northwest,Routt,Steamboat Springs Pregnancy Resource Center,8000,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2011,Northwest,Grand,Grand Foundation,5000,Winter Park,Program,,
Anschutz Family Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,5000,Fraser,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Grand,Grand Beginnings,5000,Hot Sulphur Springs,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Grand,Grand Kids,5000,Fraser,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Hot Sulphur Springs,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Council on Aging, Inc.",4800,Granby,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,5000,Craig,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Routt,Northwest Colorado Rural Philanthropy Days Interim Program,5000,Steamboat Springs,Program,,
Anschutz Family Foundation,2011,Northwest,Routt,Community Cultivation Program,5000,Steamboat Springs,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,5000,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2011,Northwest,Routt,Rocky Mountain Youth Corps,5000,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Routt,Yampatika,5000,Steamboat Springs,Program,Children and Youth Services,
AV Hunter Trust,2011,Northwest,Moffat,Northwest Colorado Dental Coalition,10000,Craig,General Operating,Indigent,6/3/11
AV Hunter Trust,2011,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,7500,Craig,General Operating,Youth,11/22/11
Boettcher Foundation,2011,Northwest,Grand,National Sports Center for the Disabled,3000,Winter Park,General Operating,Disabled Persons,
Boettcher Foundation,2011,Northwest,Grand,Rocky Mountain Repertory Theatre - Grand Lake,3000,Grand Lake,General Operating,,
Caring for Colorado Foundation,2011,Northwest,Grand,Middle Park Medical Foundation,50000,Kremmling,Capital,Health                                                                     ,
Caring for Colorado Foundation,2011,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",81979,Craig,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,Northwest,Moffat,Northwest Colorado Dental Coalition,42000,Craig,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,Northwest,Routt,"Centennial Mental Health Center, Inc.",50000,Sterling,Program,Health                                                                     ,
Daniels Fund,2011,Northwest,Grand,"Heart of the Mountains Volunteer Hospice, Inc.",15000,Hot Sulphur Springs,General Operating,Hospice,
Daniels Fund,2011,Northwest,Routt,Grand Futures Prevention Coalition,25000,Steamboat Springs,General Operating,Health                                                                     ,
Daniels Fund,2011,Northwest,Routt,"Horizon Specialized Services, Inc.",15000,Steamboat Springs,Program,Disabled Persons,
Daniels Fund,2011,Northwest,Routt,Northwest Colorado Boces,30000,Steamboat Springs,Program,Health                                                                     ,
Daniels Fund,2011,Northwest,Routt,Partners in Routt County,12000,Steamboat Springs,Program,Children and Youth Services,
Daniels Fund,2011,Northwest,Routt,Rocky Mountain Youth Corps,18000,Steamboat Springs,Program,Children and Youth Services,
El Pomar Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Granby,General Operating,Health                                                                     ,
El Pomar Foundation,2011,Northwest,Grand,Mountain Family Cneter,10000,Hot Sulphur Springs,Program,Human Services,
El Pomar Foundation,2011,Northwest,Moffat,Boys and Girls Clubs of Northwest Colorado,15000,Craig,Program,Children and Youth Services,
El Pomar Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,15000,Craig,Other,Health                                                                     ,
El Pomar Foundation,2011,Northwest,Moffat,Community Budget Center of Craig,5000,Craig,Program,Emergency Assistance      ,
El Pomar Foundation,2011,Northwest,Moffat,Love Inc. of the Yampa Valley,5000,Craig,Program,Human Services,
El Pomar Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,1500,Craig,General Operating,Health                                                                     ,
El Pomar Foundation,2011,Northwest,Routt,"Community Agriculture Alliance, Inc.",5000,Steamboat Springs,General Operating,"Community, Public Affairs",
El Pomar Foundation,2011,Northwest,Routt,Steamboat Institute,50000,Steamboat Springs,Program,"Community, Public Affairs",
El Pomar Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,5000,Steamboat Springs,Program,Health                                                                     ,
El Pomar Foundation,2011,Northwest,Routt,Partners in Routt County,2500,Steamboat Springs,Program,Children and Youth Services,
El Pomar Foundation,2011,Northwest,Routt,Lift-Up of Routt County,5000,Steamboat Springs,Program,Human Services,
El Pomar Foundation,2011,Northwest,Routt,Hayden School District Re-1,50000,Hayden,Other,Education,
Gates Family Foundation,2011,Northwest,Rio Blanco,Rio Blanco County 4-H,50000,Meeker,Capital,Children and Youth Services,
Gates Family Foundation,2011,Northwest,Routt,Solandt Memorial Hospital,50000,Hayden,Capital,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2011,Northwest,Moffat,Boys & Girls Club of Craig,30000,Craig,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2011,Northwest,Routt,Northwest Colorado Visiting Nurse Association,45000,Steamboat Springs,General Operating,Health                                                                     ,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,20000,Fraser,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Church of the Eternal Hills,15000,Tabernash,Other,Education,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Grand Beginnings,14000,Hot Sulphur Springs,Program,Education,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Grand County Department of Social Services,10000,Hot Sulphur Springs,Program,,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Wapiti Child Care Center Parent Organization,7000,Fraser,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2011,Northwest,Moffat,Boys & Girls Clubs of Craig,35000,Craig,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2011,Northwest,Moffat,"Connections 4 Kids, Moffat County",25000,Craig,Student Aid/Scholarship,Children and Youth Services,
Temple Hoyne Buell Foundation,2011,Northwest,Rio Blanco,Human Resources Centeer,15000,Rangely,Other,Education,
Temple Hoyne Buell Foundation,2011,Northwest,Routt,First Impressions of Routt County,47000,Steamboat Springs,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2011,Northwest,Routt,Steamboat Springs Discovery Learning Center,35000,Steamboat Springs,Program,Children and Youth Services,
The Colorado Health Foundation,2011,Northwest,Jackson,"North Park Medical Clinic, Inc.",887500,Walden,Program,Health                                                                     ,
The Colorado Health Foundation,2011,Northwest,Routt,Hayden School District Re-1495,10000,Hayden,Program,Health                                                                     ,
The Colorado Health Foundation,2011,Northwest,Routt,Northwest Colorado Boces,157052,Steamboat Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2011,Northwest,Routt,South Routt School District RE-3,56870,Oak Creek,Program,Health                                                                     ,
Adolph Coors Foundation,2012,Northwest,Grand,Heart of the Mountains Volunteer Hospice,5000,Hot Sulphur Springs,General Operating,Hospice,,,,,
Adolph Coors Foundation,2012,Northwest,Grand,"Pregnancy Resource Connection, Inc.",8000,Granby,General Operating,Health                                                                     ,,,,,
Adolph Coors Foundation,2012,Northwest,Routt,Partners in Routt County,10000,Steamboat Springs,General Operating,,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Advocates for a Violence-Free Community,5000,Hot Sulphur Springs,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Mountain Family Center,7500,Hot Sulphur Springs,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Project Sanctuary,10000,Granby,General Operating,Trustees ' Discretionary Grants,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Fraser Creative Learning Center,4500,Fraser,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Grand Kids,5000,Fraser,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Advocates Building Peaceful Communities ,5000,Steamboat Springs,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Integrated Community,5000,Steamboat Springs,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Northwest Colorado Visiting Nurse Association,5000,Steamboat Springs,Prorgam,Senior Programs,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Northwest Rocky Mountain CASA,5000,Steamboat Springs,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Partners in Routt County,5000,Steamboat Springs,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,"Young Tracks, Inc.",5000,Steamboat Springs,General Operating,Youth Development,,,,,
AV Hunter Trust,2012,Northwest,Moffat,Northwest Colorado Dental Coalition,10000,Craig,General Operating,Indigent,5/21/12,,,,
AV Hunter Trust,2012,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,7500,Craig,General Operating,Youth,11/19/12,,,,
Boettcher Foundation,2012,Northwest,Routt,Horizons Specialized Services,20000,Steamboat Springs,Capital,,,,,,
Boettcher Foundation,2012,Northwest,Routt,Tread of Pioneers Museum,20000,Steamboat Springs,Capital,,,,,,
Caring for Colorado Foundation,2012,Northwest,Grand,"Grand County Rural Health Network, Inc.",30000,Hot Sulphur Springs,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northwest,Moffat,Northwest Colorado Dental Coalition,95200,Craig,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northwest,Moffat,The Memorial Hospital Foundation,50000,Craig,Program,Health,1006 dated Oct 2011 through Sept 2012 ,,,,
Daniels Fund,2012,Northwest,Grand,Grand County Council on Aging,10000,Granby,Program,Aging,,,,,
Daniels Fund,2012,Northwest,Routt,Routt County Council on Aging,10000,Steamboat Springs,Program,Aging,,,,,
El Pomar Foundation,2012,Northwest,Grand,Shining Star Foundation,5000,Tabernash,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Grand,Mountain Family Center,10000,Hot Sulphur Springs,Program,Human Services ,,,,,
