funder,year,region,county,nonprofit,amount,city,type,category
Daniels Fund,2009,Heart of Colorado,Chaffee,"Salida Senior Daycare, Inc.",15000,Salida,General Operating,"Community, Public Affairs",
Daniels Fund,2009,Heart of Colorado,Fremont,"Canon City Golden Age Council, Inc.",22000,Canon City,General Operating,"Community, Public Affairs",
Daniels Fund,2009,Heart of Colorado,Fremont,"Family Crisis Services, Inc.",10000,Canon City,General Operating,Human Services,
Daniels Fund,2009,Heart of Colorado,Fremont,Upper Arkansas Area Council of Governments,8000,Canon City,Other,Education,
Daniels Fund,2009,Heart of Colorado,Lake,"Full Circle of Lake County, Inc",20000,Leadville,Program,Children and Youth Services,
Daniels Fund,2009,Heart of Colorado,Park,"Boys & Girls Club of South Park, Inc.",15000,Fairplay,General Operating,Children and Youth Services,
Daniels Fund,2009,Heart of Colorado,Park,Platte Canyon School District RE-1,3000,Bailey,Other,Education,
Daniels Fund,2009,Heart of Colorado,Summit,"Advocates for Victims of Assault, Inc.",10000,Frisco,General Operating,"Domestic Violence Shelters, Services",
Daniels Fund,2009,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,5000,Breckenridge,General Operating,Health                                                                     ,
Daniels Fund,2009,Heart of Colorado,Summit,High Country Soccer Association,5000,Silverthorne,Program,Health                                                                     ,
Daniels Fund,2009,Heart of Colorado,Summit,Summit County Department of Youth and Family Services,15000,Frisco,Program,Children and Youth Services,
Daniels Fund,2009,Heart of Colorado,Teller,Help the Needy,10000,Woodland Park,General Operating,Human Services,
Daniels Fund,2009,Heart of Colorado,Teller,"Teller Senior Coalition, Inc.",10000,Woodland Park,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Boys & Girls Clobe of Chaffee County,4000,Salida,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Chaffee County Department of Health and Human Services,2500,Salida,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Chaffee People's Clinic,5000,Salida,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Grainery Ministries,5000,Salida,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers,5000,Salida,Capital,"Philanthropy, Volunteerism, Grants",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Salida School District Chaffee County Head Start,4500,Salida,Program,Education,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Alliance Against Domestic Abuse,5000,Salida,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Chaffee County Department of Health and Human Services,5000,Salida,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,General Council of the Assemblies of God,5000,Buena Vista,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,"Rocky Mountain Behavioral Health, Inc.",10000,Salida,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Society of the First Presbyterian Church of Salid,5000,Salida,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Boys & Girls Club of Chaffee County,2500,Salida,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Chaffee County Health and Human Services,2000,Salida,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Boys & Girls Club of Chaffee County,10000,Salida,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Buena Vista Heritage Museum,1500,Buena Vista,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Buena Vista School District R-31,10000,Buena Vista,Not Provided,Education,
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Chaffee County Sheriff,15000,Salida,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Chaffee County Department of Health and Human Services,1500,Salida,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Colorado Farm to Table,10000,Salida,General Operating,"Environment, Conservation",
El Pomar Foundation,2009,Heart of Colorado,Chaffee,Colorado Farm to Table,1500,Salida,General Operating,"Environment, Conservation",
El Pomar Foundation,2009,Heart of Colorado,Custer,"Custer 2020, Inc.",15000,Westcliffe,Capital,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Custer,In Concert Classical Music in the Valley,1500,Westcliffe,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Custer,Lighthouse Helpline and Pregnancy Center,10000,Westcliffe,Capital,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Custer,"Outdoor Buddies, Inc.",2500,Westcliffe,General Operating,,
El Pomar Foundation,2009,Heart of Colorado,Custer,Hope Evangelical Lutheran Church,5000,Westcliffe,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Custer,Custer County School District C-1,5500,Westcliffe,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Custer,Custer County Search and Rescue,15000,Westcliffe,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2009,Heart of Colorado,Custer,"Wet Mountain Valley Rotary Community Service, Inc.",10000,Westcliffe,General Operating,"Philanthropy, Volunteerism, Grants",
El Pomar Foundation,2009,Heart of Colorado,Fremont,"Family Crisis Services, Inc.",5000,Canon City,General Operating,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Fremont Center for the Arts,5000,Canon City,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Fremont,Fremont Schools Facilities Corporation,10000,Canon City,Capital,Education,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Meals on Wheels of Canon City,5000,Canon City,General Operating,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Ramrod,7500,Cotopaxi,Other,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Fremont,Valley Health Center at Coaldale,20000,Cotopaxi,Capital,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Fremont,"Canon City Golden Age Council, Inc.",12500,Canon City,Capital,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Loaves and Fishes Ministries of Fremont County,20000,Canon City,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Upper Arkansas Area Council of Governments,10000,Canon City,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Fremont RE-1 School District,15000,Canon City,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Fremont RE-2 School District,5000,Florence,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Fremont,"Fremont Search and Rescue, Inc.",15000,Canon City,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2009,Heart of Colorado,Fremont,Upper Arkansas Regional Services Council,1500,Canon City,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Fremont,Valley Health Center at Coaldale,5000,Cotopaxi,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Fremont,Upper Arkansas Area Council of Governments,2250,Canon City,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Lake,Advocates of Lake County,5000,Leadville,General Operating,Human Services,
El Pomar Foundation,2009,Heart of Colorado,lake,"Advoactes of Lake County, Inc.",25000,Leadville,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Lake,Lake County Human Services,10000,Leadville,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Lake,Catholic Diocese of Colorado Springs,2250,Leadville,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Lake,First Presbyterian Church,2250,Leadville,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Lake,Lake County District,25000,Leadville,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Lake,Small Steps,14000,Leadville,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Lake,St. George Episcopal Church,4750,Leadville,General Operating,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Park,"Boys & Girls Club of South Park, Inc.",15000,Fairplay,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Park,North-West Fire Protection District,1297,Fairplay,Other,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Park,Park County School District RE-2,4000,Fairplay,Not Provided,Education,
El Pomar Foundation,2009,Heart of Colorado,Park,Platte Canyon Fire Protection District,7500,Bailey,Other,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Park,"Park County Crisis Center, Inc.",10000,Bailey,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Park,"Boys & Girls Club of South Park, Inc.",2500,Fairplay,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Park,Park County School District RE-2,16000,Fairplay,Capital,Education,
El Pomar Foundation,2009,Heart of Colorado,Park,Park County School District RE-2,1500,Fairplay,Capital,Education,
El Pomar Foundation,2009,Heart of Colorado,Park,Park County Search and Rescue,10000,Bailey,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2009,Heart of Colorado,Park,Park County Search and Rescue,25000,Bailey,Capital,"Public safety, Emergency relief",
El Pomar Foundation,2009,Heart of Colorado,Park,Rocky Mountain Rural Health,5000,Fairplay,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Summit,Casa of the Continental Divide,5000,Dillon,General Operating,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,"Summit Community Care Clinic, Inc.",15000,Frisco,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County School District,25000,Frisco,Capital,Education,
El Pomar Foundation,2009,Heart of Colorado,Summit,"Advocates for Victims of Assault, Inc.",5000,Frisco,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Summit,Father Dyer United Methodist Church,500,Breckenridge,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Keystone Center,5000,Keystone,Program,Abuse & Neglect Prevention,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County Family Resource Center,10000,Dillon,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County,2500,Breckenridge,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Dillon Community Church,2500,Dillon,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Father Dyer United Methodist Church,2500,Breckenridge,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,"Summit Community Care Clinic, Inc.",25000,Dillon,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County Family Resource Center,25000,Frisco,Program,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County Family Resource Center,2000,Dillon,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County Social Services,2000,Frisco,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Summit County Youth and Family,2500,Frisco,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,"Zoomers, Inc.",1500,Dillon,Program,Children and Youth Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Dillon Community Church,500,Dillon,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Summit,Dillon Community Church,500,Dillon,Other,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Teller,Community of Caring Foundation,5000,Cripple Creek,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Teller,Cresson Dance,1500,Cripple Creek,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Teller,Cripple Creek-Victor School District RE-1,2500,Cripple Creek,Program,Education,
El Pomar Foundation,2009,Heart of Colorado,Teller,Pikes Peak Regional Medical Foundation,10000,Woodland Park,Other,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Teller,Rampart Library District,5000,Woodland Park,Capital,Education,
El Pomar Foundation,2009,Heart of Colorado,Teller,Butte Opera House Foundation,45000,Cripple Creek,Event,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Heart of Colorado,Teller,City of Cripple Creek,15000,Cripple Creek,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Heart of Colorado,Teller,"Prospect Home Care-Hospice, Inc.",25000,Woodland Park,General Operating,Hospice,
El Pomar Foundation,2009,Heart of Colorado,Teller,Woodland Park Pregnancy Center,2500,Woodland Park,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Heart of Colorado,Teller,Community of Caring Foundation,5000,Cripple Creek,Other,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Teller,Little Chapel of the Hills,2500,Divide,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Teller,Teller County Safe House,5000,Woodland Park,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Heart of Colorado,Teller,"Teller Senior Coalition, Inc.",7500,Woodland Park,Program,Human Services,
El Pomar Foundation,2009,Heart of Colorado,Teller,Woodland Park High School,10000,Woodland Park,Program,Education,
Gates Family Foundation,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers,15000,Salida,Capital,"Philanthropy, Volunteerism, Grants",
Gates Family Foundation,2009,Heart of Colorado,Fremont,ECHO and Family Center Council Renovation,47000,Canon City,Capital,Education,
Gates Family Foundation,2009,Heart of Colorado,Fremont,Florence Senior Citizen Council on Aging,35000,Florence,Capital,Human Services,
Gates Family Foundation,2009,Heart of Colorado,Lake,High Mountain Institute,75000,Leadville,Capital,Education,
Gates Family Foundation,2009,Heart of Colorado,Lake,Partnership for Lake County Recreation,150000,Leadville,Capital,"Environment, Conservation",
Gates Family Foundation,2009,Heart of Colorado,Summit,Keystone Center,86600,Keystone,Capital,Education,
Helen K. and Arthur E. Johnson Foundation,2009,Heart of Colorado,Chaffee,"Colorado Farm to Table, Inc.",50000,Salida,Capital,Human Services,
Helen K. and Arthur E. Johnson Foundation,2009,Heart of Colorado,Park,Boys & Girls Club of South Park,10000,Fairplay,Other,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Heart of Colorado,Teller,"Prospect Home Care & Hospice, Inc.",15000,Woodland Park,General Operating,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Chaffee,Boys and Girls Club of Chaffee County,40000,Salida,Not Provided,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Chaffee,Salida Regional Library,16458,Salida,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Fremont,Development Opportunities- Starpoint,20000,Canon City,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Fremont,Development Opportunities- Starpoint,15442,Canon City,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Fremont,Fremont Schools Facilities Corporation,47500,Canon City,Capital,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Fremont,Park Avenue Preschool,18000,Canon City,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Fremont,Park Avenue Preschool,5000,Canon City,Other,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Fremont,Park Avenue Preschool,5000,Canon City,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Lake,Lake County School District,15000,Leadville,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Lake,Lake County School District,9500,Leadville,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Lake,Lake County School District R-1,35000,Leadville,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Lake,Lake County School District R-1,7400,Leadville,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Lake,Lake County School District R-2,35000,Leadville,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Park,"Boys & Girls Club of South Park, Inc.",20000,Fairplay,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Park,Park County School District RE-2,23119,Fairplay,Capital,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Park,Park County School District RE-2,15000,Fairplay,Program,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Summit,Breckenridge Montessori,15000,Breckenridge,Capital,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Summit,Breckenridge Montessori,4000,Breckenridge,Other,Education,
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Summit,Summit County Family Resource Center,30000,Dillon,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Heart of Colorado,Teller,Community Coalition for Families & Children,18000,Divide,Program,Children and Youth Services,
The Colorado Health Foundation,2009,Heart of Colorado,Chaffee,Chaffee People's Clinic,21313,Salida,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Chaffee,Chaffee People's Clinic,14400,Salida,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Custer,West Custer County Hospital District,17200,Westcliffe,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Fremont,Catholic Health Initiatives Colorado Foundation,34200,Canon City,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Lake,St. Vincent General Hospital,10000,Leadville,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Summit,Summit Community Care Clinic,600000,Frisco,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Summit,Summit Community Care Clinic,20000,Frisco,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Summit,Summit Community Care Clinic,61000,Frisco,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Summit,Summit Community Care Clinic,6500,Frisco,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Heart of Colorado,Summit,Summit Foundation,10000,Breckenridge,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Chaffee,Ark-Valley Humane Society,900,Buena Vista,General Operating,Animal Protection and Welfare,
The Colorado Trust,2009,Heart of Colorado,Chaffee,Chaffee County Department of Health and Human Services,228000,Salida,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Chaffee,Chaffee County Early Childhood Council,177836,Salida,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Chaffee,Chaffee People's Clinic,187500,Salida,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Chaffee,Salida Regional Library,7500,Salida,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Fremont,Canon City Schools,7460,Canon City,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Fremont,ECHO and Family Center Early Childhood Council,120000,Canon City,Program,Health                                                                     ,
The Colorado Trust,2009,Heart of Colorado,Summit,Early Childhood Options,5669,Dillon,Program,Health                                                                     ,
Adolph Coors Foundation,2010,Heart of Colorado,Custer,Lighthouse Resource and Pregnancy Center,25000,Westcliffe,Capital,,
Adolph Coors Foundation,2010,Heart of Colorado,Lake,Full Circle of Lake County,10000,Leadville,General Operating,,
Adolph Coors Foundation,2010,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,20000,Breckenridge,General Operating,,
Adolph Coors Foundation,2010,Heart of Colorado,Teller,CO Lions Camp,25000,Woodland Park,Capital,,
Adolph Coors Foundation,2010,Heart of Colorado,Teller,Help The Needy,10000,Woodland Park,General Operating,,
Adolph Coors Foundation,2010,Heart of Colorado,Teller,Woodland Park Pregnancy Center,5000,Woodland Park,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Heart of Colorado Rural Philanthropy Days Regional Coordination,5000,Salida,Program,,
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Chaffee Housing Trust,5000,Salida,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Valley to Valley Senior Care Center,5000,Salida,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Boys and Girls Clubs of Chaffee County,5000,Salida,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Custer,"Valley Assisted Living, Inc.",5500,Silver Cliff,Capital,,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,Park Avenue Child Center,5000,Canon City,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,Florence Senior Citizen Council on Aging,5000,Florence,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,Senior Services Solutions Plus,5000,Canon City,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,"Family Crisis Services, Inc.",5000,Canon City,Program,Abuse & Neglect Prevention,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,"Boys and Girls Club of Fremont County, Inc.",5000,Canon City,General Operating,Children and Youth Services,
