funder,year,region,county,nonprofit,amount,city,type,category
Boettcher Foundation,2009,San Luis Valley,Alamosa,Adam's State College,18944,Alamosa,Student Aid/Scholarship,Education,
Boettcher Foundation,2009,San Luis Valley,Alamosa,Great Sand Dunes National Park & Preserve,3000,Mosca,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Alamosa,"La Puente, Inc.",5000,Alamosa,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Costilla,Mariachi San Luis,1500,San Pablo,General Operating,Education,
Boettcher Foundation,2009,San Luis Valley,Costilla,Sierra Grande School District R-30,25000,Blanca,Capital,,
Boettcher Foundation,2009,San Luis Valley,Mineral,Shumei International Institute,1000,Crestone,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Mineral,The Spiritual Life Institute,1000,Crestone,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",10000,Crestone,Capital,,
Boettcher Foundation,2009,San Luis Valley,Saguache,Kundalini,3000,Crestone,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",30000,Alamosa,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,48130,Alamosa,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Alamosa,Valley-Wide Health Services Inc.,63266,Alamosa,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Mineral,Mineral County Board of County Commissioners,10000,Creede,General Operating,,
Daniels Fund,2009,San Luis Valley,Alamosa,Alamosa School District RE-11J,15000,Alamosa,Program,Education,
Daniels Fund,2009,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",10000,Alamosa,General Operating,"Community, Public Affairs",
Daniels Fund,2009,San Luis Valley,Alamosa,"Boys & Girls Clubs of the San Luis Valley, Inc.",55000,Alamosa,General Operating,Children and Youth Services,
Daniels Fund,2009,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",10000,Del Norte,Program,Children and Youth Services,
Daniels Fund,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",8000,Crestone,Program,Children and Youth Services,
Daniels Fund,2009,San Luis Valley,Saguache,Saguache County Public Library,8000,Saguache,Program,"Community, Public Affairs",
Daniels Fund,2009,San Luis Valley,Saguache,Town of Crestone,25000,Crestone,Capital,"Housing, Homeless shelters",
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",5000,Alamosa,General Operating,Human Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,5000,Alamosa,General Operating,Minorities,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",15000,Alamosa,Program,Human Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc.",10000,Alamosa,Program,Human Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Tu Casa, Inc.",15000,Alamosa,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Valley-Wide Health Services,  Inc.",10000,Alamosa,Program,Health                                                                     ,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Alamosa Community Greenhouse, Inc.",2500,Alamosa,General Operating,"Environment, Conservation",
El Pomar Foundation,2009,San Luis Valley,Alamosa,Alamosa School District RE-11J,5000,Alamosa,Program,Education,
El Pomar Foundation,2009,San Luis Valley,Alamosa,Boys and Girls Club of the San Luis Valley,10000,Alamosa,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,Center for Restorative Programs,25000,Alamosa,Capital,,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Hospice Del Valle, Inc.",2200,Alamosa,General Operating,Hospice,
El Pomar Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Ecosystem Council,2500,Alamosa,General Operating,"Environment, Conservation",
El Pomar Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Regional Medical Center,20000,Alamosa,Capital,Health                                                                     ,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"San Luis Valley Regional Science Fair, Inc.",2500,Alamosa,General Operating,,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc.",3000,Alamosa,Program,Human Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Tu Casa, Inc.",2500,Alamosa,General Operating,,
El Pomar Foundation,2009,San Luis Valley,Alamosa,Valley Community Fund,2500,Alamosa,General Operating,,
El Pomar Foundation,2009,San Luis Valley,Alamosa,Valley Community Fund,1500,Alamosa,General Operating,,
El Pomar Foundation,2009,San Luis Valley,Conejos,Capulin Fire Department,10000,Capulin,Capital,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Conejos,Conejos County Government,10000,Conejos,Capital,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Conejos,"Notherners Senior Citizens Association, Inc.",1500,La Jara,Program,Human Services,
El Pomar Foundation,2009,San Luis Valley,Costilla,Centennial School District R-1,10000,San Luis,Other,Education,
El Pomar Foundation,2009,San Luis Valley,Costilla,Saint Andrew Avelino Youth Guild and Family Learning Center,15000,Fort Garland,Program,Education,
El Pomar Foundation,2009,San Luis Valley,Costilla,Costilla County Economic Development Council,12500,San Luis,Program,Economic Development      ,
El Pomar Foundation,2009,San Luis Valley,Costilla,Ventero Open Press Fine Art,2500,San Luis,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Mineral,Creede Repertory Theatre,25000,Creede,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Mineral,Creede Arts Council,2500,Credence,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Mineral,"Creede Repertory Theatre, Inc.",1500,Credence,Not Provided,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Beaver Creek Camp Commission,10000,South Fork,Capital,Disabled Persons,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,City of Monte Vista,2500,Monte Vista,Other,Economic Development      ,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Canegie Library- South Fork Branch,7800,South Fork,Other,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Rio Grande,City of Monte Vista,1500,Monte Vista,Program,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Rio Grande,"Monte Vista Community Center, Inc.",15000,Monte Vista,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Mountain Trails Camp,10000,Monte Vista,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Rio Grande Headwaers Land Trust,12500,Monte Vista,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Saguache,"Crestone Performances, Inc.",2500,Crestone,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",5000,Crestone,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Saguache,"Crestone Performances, Inc.",2500,Crestone,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Saguache,SCSCEED,12500,Moffat,Program,,
El Pomar Foundation,2009,San Luis Valley,Saguache,SCSCEED,7500,Moffat,Other,,
Gates Family Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Museum,10000,Alamosa,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2009,San Luis Valley,Mineral,"Creede Repertory Theatre, Inc.",50000,Creed,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2009,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",11000,Del Norte,Capital,"Community, Public Affairs",
Gates Family Foundation,2009,San Luis Valley,Rio Grande,Rio Grande Headwaers Land Trust,250000,Del Norte,Capital,"Environment, Conservation",
Gates Family Foundation,2009,San Luis Valley,Saguache,Town of Crestone,50000,Crestone,Capital,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2009,San Luis Valley,Alamosa,Boys & Girls Clubs of the San Luis Valley,25000,Alamosa,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",22500,Alamosa,General Operating,"Housing, Homeless shelters",
Helen K. and Arthur E. Johnson Foundation,2009,San Luis Valley,Alamosa,"Tu Casa, Inc.",10000,Alamosa,General Operating,"Domestic Violence Shelters, Services",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,Alamosa School District RE-11J,50000,Alamosa,Program,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,"Boys & Girls Clubs of the San Luis Valley, Inc.",35000,Alamosa,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,"Boys & Girls Clubs of the San Luis Valley, Inc.",5000,Alamosa,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,City of Alamosa,10000,Alamosa,Capital,Neighborhood Development,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,Early Childhood Council of the San Luis Valley,75000,Alamosa,Program,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,Equal Representation of Media Advocacy Corporation,10000,Alamosa,General Operating,"Public policy, Society benefit",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,"Hilos Culturales, Inc.",10000,Alamosa,General Operating,"Group, Race Relations",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,La Llave Family Resource Center,24000,Alamosa,Program,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",35000,Alamosa,Program,"Housing, Homeless shelters",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Ecosystem Council,10000,Alamosa,General Operating,"Environment, Conservation",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,2000,Alamosa,Other,Minorities,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Conejos,Conejos County Library District,1500,La Jara,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Conejos,Little Treasures Early Childhood Center,10000,La Jara,General Operating,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Conejos,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",4000,Conejos,Other,"Employment, Job training",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Conejos,Valle del Sol Community Center,7500,Capulin,Program,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Costilla,"Mariachi San Luis, Inc.",5000,San Pablo,General Operating,"Arts, Culture & Humanities ",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Costilla,"Tiny Hands Daycare Center, Inc.",10000,Blanca,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",8000,Del Norte,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Rio Grande,Monte Vista Head Start,8100,Monte Vista,Other,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Rio Grande,Rio Grande Headwaters Land Trust,2500,Del Norte,General Operating,"Environment, Conservation",
Temple Hoyne Buell Foundation,2009,San Luis Valley,Rio Grande,Saguache County Community Council,5350,Center,Other,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Rio Grande,Sargent Child Care Association,5000,Monte Vista,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Saguache,Mountain Valley School District Re-1,20000,Saguache,Capital,Education,
Temple Hoyne Buell Foundation,2009,San Luis Valley,Saguache,Saguache County Community Council,1710,Saguache,Other,"Community, Public Affairs",
The Colorado Health Foundation,2009,San Luis Valley,Alamosa,Lutheran Hospital Association of the San Luis Valley,486200,Alamosa,Program,Health                                                                     ,
The Colorado Health Foundation,2009,San Luis Valley,Alamosa,Lutheran Hospital Association of the San Luis Valley,416583,Alamosa,Program,Health                                                                     ,
The Colorado Health Foundation,2009,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",500000,Alamosa,Program,Health                                                                     ,
The Colorado Trust,2009,San Luis Valley,Alamosa,Early Childhood Council of the San Luis Valley,7500,Alamosa,Program,Health                                                                     ,
The Colorado Trust,2009,San Luis Valley,Alamosa,San Luis Valley Regional Medical Center,187500,Alamosa,Program,Health                                                                     ,
Adolph Coors Foundation,2010,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",5000,Alamosa,General Operating,Human Services,
Adolph Coors Foundation,2010,San Luis Valley,Alamosa,Boys & Girls Club of the San Luis Valley,15000,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,San Luis Valley,Alamosa,"Tu Casa, Inc.",5000,Alamosa,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,San Luis Valley,Alamosa,Boys and Girls Clubs of the San Luis Valley Inc.,5000,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,San Luis Valley,Conejos,Little Treasures Preschool,5000,La Jara,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,San Luis Valley,Mineral,Creede Arts Council,5000,Creede,Program,"Community, Public Affairs",
AV Hunter Trust,2010,San Luis Valley,Alamosa ,"Tu Casa, Inc.",5000,Alamosa,General Operating,Indigent,8/30/10
AV Hunter Trust,2010,San Luis Valley,Alamosa ,Boys & Girls Club of the San Luis Valley,20000,Alamosa,General Operating,Youth,11/22/10
AV Hunter Trust,2010,San Luis Valley,Alamosa ,La Puente Home,20000,Alamosa,General Operating,Indigent,11/22/10
AV Hunter Trust,2010,San Luis Valley,Alamosa ,La Puente Home,2500,Alamosa,General Operating,Indigent,12/17/10
AV Hunter Trust,2010,San Luis Valley,Conejos,Valle del Sol Community Center,5000,Capulin,General Operating,Youth,11/22/10
AV Hunter Trust,2010,San Luis Valley,Conejos,Valle del Sol Community Center,2500,Capulin,General Operating,Youth,12/17/10
AV Hunter Trust,2010,San Luis Valley,Rio Grande,High Valley Community Center,5000,Del Norte,Program Support,Youth,11/22/10
Boettcher Foundation,2010,San Luis Valley,Alamosa,Adams State College,27060,Alamosa,Student Aid/Scholarship,Education,
Boettcher Foundation,2010,San Luis Valley,Alamosa,"La Puente, Inc.",5000,Alamosa,General Operating,,
Boettcher Foundation,2010,San Luis Valley,Costilla,Costilla County Senior Citizens Club,25000,San Luis,Capital,,
Boettcher Foundation,2010,San Luis Valley,Mineral,Creede Repertory Theatre,25000,Creede,Capital,,
Boettcher Foundation,2010,San Luis Valley,Rio Grande,Rio Grande Headwaters Land Trust,1000,Del Norte,General Operating,,
Caring for Colorado Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",30000,Alamosa,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,San Luis Valley,Alamosa,San Luis Valley Regional Medical Center,47500,Alamosa,Program,Health                                                                     ,
Daniels Fund,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",90000,Alamosa,General Operating,"Housing, Homeless shelters",
Daniels Fund,2010,San Luis Valley,Conejos,Antonito Senior Citizens Association,5000,Antonito,General Operating,"Community, Public Affairs",
Daniels Fund,2010,San Luis Valley,Conejos,Antonito Senior Citizens Association,2500,Antonito,General Operating,"Community, Public Affairs",
Daniels Fund,2010,San Luis Valley,Conejos,"Northerners Senior Citizens, Inc",5000,La Jara,General Operating,"Community, Public Affairs",
Daniels Fund,2010,San Luis Valley,Rio Grande,City of Monte Vista,75000,Monte Vista,Program,Children and Youth Services,
El Pomar Foundation,2010,San Luis Valley,Alamosa,San Luis Valley Museum,10000,Alamosa,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,San Luis Valley,Alamosa,Adams State College,25000,Alamosa,Other,Education,
El Pomar Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",25000,Alamosa,Capital,"Housing, Homeless shelters",
El Pomar Foundation,2010,San Luis Valley,Alamosa,"Tu Casa, Inc.",7500,Alamosa,Capital,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,San Luis Valley,Alamosa,Alamosa County Health Department,8000,Alamosa,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc",15000,Alamosa,Program,Health                                                                     ,
El Pomar Foundation,2010,San Luis Valley,Alamosa,"Tu Casa, Inc.",9000,Alamosa,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,San Luis Valley,Alamosa,"Valley-Wide Health Services, Inc.",10000,Alamosa,Other,Health                                                                     ,
El Pomar Foundation,2010,San Luis Valley,Alamosa,Adams State College Foundation,1500,Alamosa,Program,Education,
El Pomar Foundation,2010,San Luis Valley,Alamosa,"Alamosa Community Greenhouse, Inc.",1500,Alamosa,Program,Education,
El Pomar Foundation,2010,San Luis Valley,Alamosa,Alamosa Live Music Association,10000,Alamosa,Event,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,San Luis Valley,Alamosa,Boys and Girls Clubs of the San Luis Valley Inc.,2300,Alamosa,General Operating,Children and Youth Services,
El Pomar Foundation,2010,San Luis Valley,Alamosa,Center for Restorative Programs,1500,Alamosa,General Operating,,
El Pomar Foundation,2010,San Luis Valley,Alamosa,Friends of the Southern Peaks Library,3000,Alamosa,Program,Education,
El Pomar Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",1500,Alamosa,Program,Human Services,
El Pomar Foundation,2010,San Luis Valley,Alamosa,San Luis Valley Ecosystem Council,1000,Alamosa,Other,"Environment, Conservation",
El Pomar Foundation,2010,San Luis Valley,Alamosa,San Luis Valley Habitat for Humanity,1800,Alamosa,Program,"Housing, Homeless shelters",
El Pomar Foundation,2010,San Luis Valley,Alamosa,"San Luis Valley Regional Science Fair, Inc.",2200,Alamosa,General Operating,Education,
El Pomar Foundation,2010,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc",1500,Alamosa,Program,Human Services,
El Pomar Foundation,2010,San Luis Valley,Alamosa,Valley Community Funds,1500,Alamosa,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Alamosa,Veterans Green Job Alliance,2500,Alamosa,General Operating,"Employment, Job training",
El Pomar Foundation,2010,San Luis Valley,Conejos,Con-Cepts,2000,Conejos,General Operating,,
El Pomar Foundation,2010,San Luis Valley,Conejos,Conejos County Library,10000,La Jara,Other,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Conejos,Conejos County Tourism Council,7500,Antonito,Other,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Conejos,La Jara Elementary Parent-Teacher Association,17500,La Jara,Other,Education,
El Pomar Foundation,2010,San Luis Valley,Conejos,Valle del Sol Community Center,1500,Capulin,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Conejos,Centauri High School,5000,La Jara,Other,Education,
El Pomar Foundation,2010,San Luis Valley,Costilla,Sierra Grande High School,5000,Blanca,Other,Education,
El Pomar Foundation,2010,San Luis Valley,Mineral,Mineral County,10000,Creede,Program,Health                                                                     ,
El Pomar Foundation,2010,San Luis Valley,Mineral,Creede Repertory Theatre,2500,Creede,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,San Luis Valley,Mineral,"Mineral County Fairgrounds Association, Inc.",25000,Creede,Program,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Rio Grande,Rio Grande County Library District,15500,Rio Grande,Capital,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Rio Grande,Center Consolidated School District,22000,Center,Program,Education,
El Pomar Foundation,2010,San Luis Valley,Rio Grande,City of Monte Vista,2500,Monte Vista,Program,Children and Youth Services,
El Pomar Foundation,2010,San Luis Valley,Rio Grande,Homelake Historic Preservation and Restoration Foundation,2000,Homelake,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,San Luis Valley,Rio Grande,Town of South Fork,3900,South Fork,Program,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Saguache,Town of Crestone,10000,Crestone,Capital,"Community, Public Affairs",
El Pomar Foundation,2010,San Luis Valley,Saguache,City of Cripple Creek Fire Department,1500,Cripple Creek,Other,"Public safety, Emergency relief",
El Pomar Foundation,2010,San Luis Valley,Saguache,"Crestone Performances, Inc.",1500,Crestone,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,San Luis Valley,Saguache,Town of Saguache,5000,Saguache,Capital,"Community, Public Affairs",
Gates Family Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",50000,Alamosa,Capital,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2010,San Luis Valley,Alamosa,Boys & Girls Clubs of the San Luis Valley,35000,Alamosa,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",22500,Alamosa,General Operating,"Housing, Homeless shelters",
Helen K. and Arthur E. Johnson Foundation,2010,San Luis Valley,Alamosa,"Tu Casa, Inc.",10000,Alamosa,General Operating,"Domestic Violence Shelters, Services",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",100000,Alamosa,Other,Health                                                                     ,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,Early Childhood Council of the San Luis Valley,80000,Alamosa,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,Alamosa School District RE-11J,50000,Alamosa,General Operating,Education,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",35000,Alamosa,Program,"Housing, Homeless shelters",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",35000,Alamosa,Program,Education,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,Boys & Girls Clubs of the San Luis Valley,30000,Alamosa,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,La Llave Family Resource Center,25000,Alamosa,Program,Education,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,Adams State College,5000,Alamosa,Program,"Arts, Culture & Humanities ",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",5000,Alamosa,General Operating,"Housing, Homeless shelters",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,San Luis Valley Museum,5000,Alamosa,General Operating,"Arts, Culture & Humanities ",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,Boys & Girls Clubs of the San Luis Valley,2500,Alamosa,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,Canto Al Pueblo Cultural Arts,2500,Alamosa,Not Provided,"Arts, Culture & Humanities ",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Alamosa,"South-Central Seniors, Inc.",2500,Alamosa,General Operating,Human Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Conejos,Valle del Sol Community Center,7500,Capulin,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Costilla,"Tiny Hands Daycare Center, Inc.",4000,Blanca,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Mineral,Creede Early Learning Center,10000,Creede,General Operating,Education,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Rio Grande,Monte Vista Head Start,12000,Monte Vista,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",10000,Del Norte,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,San Luis Valley,Saguache,Saguache County Community Council ,7900,Center,Other,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2010,San Luis Valley,Saguache,Saguache County Community Council ,2000,Saguache,Other,"Community, Public Affairs",
The Colorado Health Foundation,2010,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",1600000,Alamosa,Program,Health                                                                     ,
The Colorado Health Foundation,2010,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",200000,Alamosa,Program,Health                                                                     ,
The Colorado Trust,2010,San Luis Valley,Alamosa,San Luis Valley Regional Medical Center,398806,Alamosa,Program,Health                                                                     ,
Adolph Coors Foundation,2011,San Luis Valley,Alamosa,Center for Restorative Programs,7500,Alamosa,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Rio Grande,High Valley Community Center,7500,Del Norte,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Saguache,Crestone Youth Plaza,10000,Crestone,General Operating,,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,"La Puente Home, Inc.",10000,Alamosa,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,SLVIRC,5000,Alamosa,General Operating,Legal Services,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,Alamosa Senior Center,5000,Alamosa,Capital,,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,"Tu Casa, Inc.",5000,Alamosa,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,Center for Restorative Programs,5000,Alamosa,General Operating,Children and Youth Services,
