funder,year,region,county,nonprofit,amount,city,type,category
Daniels Fund,2009,Southeast,Otero,"Arkansas Valley Community Center for Handicapped and for Retarded Persons, Inc.",10000,La Junta,Capital,Disabled Persons,
Daniels Fund,2009,Southeast,Otero,Colorado Boys Ranch Foundation,30000,La Junta,Program,Children and Youth Services,
Daniels Fund,2009,Southeast,Otero,County of Otero Cheraw School District 31,2000,Cheraw,Other,Education,
Daniels Fund,2009,Southeast,Otero,East Otero School District R-1,10000,La Junta,Program,Children and Youth Services,
Daniels Fund,2009,Southeast,Prowers,Southeastern Colorado Homeless Center,25000,Lamar,General Operating,"Housing, Homeless shelters",
El Pomar Foundation,2009,Southeast,Baca,Southeast Colorado Hospital District,10000,Springfield,Capital,Health                                                                     ,
El Pomar Foundation,2009,Southeast,Bent,"Bent County Las Animas Community Activity Center, Inc.",5000,Las Animas,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Southeast,Bent,Las Animas Helping Hands,20000,Las Animas,Program,Human Services,
El Pomar Foundation,2009,Southeast,Bent,Region Six Alcohol and Drug Abuse Corp,5000,Las Animas,Program,Health                                                                     ,
El Pomar Foundation,2009,Southeast,Crowley,Crowley County Elementary School,4000,Ordway,Program,Education,
El Pomar Foundation,2009,Southeast,Huerfano,Huerfano School District RE-1,25000,Walsenburg,Capital,Education,
El Pomar Foundation,2009,Southeast,Las Animas,Trinidad Community Foundation,2500,Trinidad,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Southeast,Las Animas,Branson Elementary School,4000,Branson,Program,Education,
El Pomar Foundation,2009,Southeast,Las Animas,Las Animas School District,1500,Las Animas,Program,Education,
El Pomar Foundation,2009,Southeast,Las Animas,Southern Colorado Repertory Theatre,2500,Trinidad,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Southeast,Las Animas,Trinidad State Junior College Foundation,1500,Trinidad,Other,,
El Pomar Foundation,2009,Southeast,Otero,Arkansas Valley Community Center,20000,La Junta,Program,Disabled Persons,
El Pomar Foundation,2009,Southeast,Otero,"Arkansas Valley Resource Center, Inc.",10000,La Junta,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Southeast,Otero,City of La Junta,25000,La Junta,Program,Neighborhood Development,
El Pomar Foundation,2009,Southeast,Otero,City of La Junta,1500,La Junta,Program,Neighborhood Development,
El Pomar Foundation,2009,Southeast,Otero,Otero County Health Department,60000,La Junta,Other,,
Gates Family Foundation,2009,Southeast,Huerfano,Huerfano School District RE-1,150000,Walsenburg,Capital,"Environment, Conservation",
Gates Family Foundation,2009,Southeast,Huerfano,Spanish Peaks Library District,150000,Walsenburg,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2009,Southeast,Kiowa,Kiowa County Economic Development Foundation,20000,Eads,Capital,Economic Development      ,
Gates Family Foundation,2009,Southeast,Las Animas,Kim Equestrian Pavilion and Event Center,30000,Kim,Capital,"Environment, Conservation",
Gates Family Foundation,2009,Southeast,Prowers,Town of Holly,30000,Holly,Capital,"Environment, Conservation",
Helen K. and Arthur E. Johnson Foundation,2009,Southeast,Otero,Colorado Boys Ranch Foundation,50,La Junta,Other,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Southeast,Otero,Council of Preventive and Supportive Services for the Aging,47350,Rocky Ford,Program,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2009,Southeast,Prowers,Lamar Area Hospice Association,10000,Lamar,Program,Hospice,
Helen K. and Arthur E. Johnson Foundation,2009,Southeast,Prowers,Lamar Community College Foundation,20000,Lamar,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Baca,"Springfield Child Care Center, Inc.",437,Springfield,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Southeast,Baca,Walsh Health Care Center,15000,Walsh,General Operating,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Southeast,Bent,Bent County Memorial Nursing Home,20000,Las Animas,Other,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Southeast,Bent,McClave School District RE-2,2910,McClave,Other,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Crowley,Crowley County Child Care Center,25000,Ordway,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Southeast,Huerfano,Huerfano County Youth Services,20000,Walsenburg,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Southeast,Kiowa,Kiowa County School District RE-2,5000,Sheridan Lake,Capital,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Kiowa,Little Sprouts Childcare Center- Kiowa County ,7410,Eads,Other,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,Cheraw School District 31,15000,Cheraw,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,Cheraw School District 31,1840,Cheraw,Other,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,Cheraw School District 32,15000,Cheraw,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,"La Junta Child Care Services, Inc.",25000,La Junta,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,Otero Junior College Child Development Services,14000,La Junta,Other,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,St. Peter Catholic Church,15000,Rocky Ford,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,St. Peter Catholic Church,4000,Rocky Ford,Other,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,St. Peter Catholic Church,2910,Rocky Ford,Other,Education,
Temple Hoyne Buell Foundation,2009,Southeast,Otero,"Tri-County Family Care Center, Inc.",20000,Rocky Ford,Program,Education,
The Colorado Health Foundation,2009,Southeast,Huerfano,Huerfano County Hospital District,141656,Walsenburg,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Southeast,Huerfano,Huerfano County Youth Services,85000,Walsenburg,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Southeast,Las Animas,Trinidad Area Health Association,120000,Trinidad,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Southeast,Prowers,High Plains Community Health Center,400000,Lamar,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Southeast,Prowers,Prowers County Hospital District,10000,Lamar,Program,Health                                                                     ,
The Colorado Trust,2009,Southeast,Crowley,Crowley County,7500,Ordway,Program,Health                                                                     ,
The Colorado Trust,2009,Southeast,Las Animas,South Central Council of Governments,7500,Trinidad,Program,Health                                                                     ,
The Colorado Trust,2009,Southeast,Otero,Southeast Mental Health Services,8250,La Junta,Program,Health                                                                     ,
Adolph Coors Foundation,2010,Southeast,Bent,Bent County/Las Animas Community Center,5000,Las Animas,General Operating,,
Adolph Coors Foundation,2010,Southeast,Otero,Tri-County Family Care Center,5000,Rocky Ford,General Operating,,
Adolph Coors Foundation,2010,Southeast,Prowers,Southeastern CO Homeless Center,3500,Lamar,General Operating,,
Anschutz Family Foundation,2010,Southeast,Bent,Bent County/Las Animas Community Center,5000,Las Animas,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Southeast,Huerfano,Friends of La Veta Public Library INC,5000,La Veta,Capital,"Community, Public Affairs",
Anschutz Family Foundation,2010,Southeast,Kiowa,Kiowa County RE-2 Plainview Preschool,5000,Sheridan Lake,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Southeast,Las Animas,Noah's Ark Animal Welfare Association,5000,Trinidad,Program,Animal Protection and Welfare,
Anschutz Family Foundation,2010,Southeast,Otero,Tri-County Family Care Center,5000,Rocky Ford,General Operating,,
AV Hunter Trust,2010,Southeast,Prowers,Lamar Area Hospice Association,7500,Lamar,Program Support,Seniors,11/22/10
Caring for Colorado Foundation,2010,Southeast,Baca,Southeast Colorado Hospital District,44400,Springfield,Capital,Health                                                                     ,
Caring for Colorado Foundation,2010,Southeast,Otero,Otero Junior College,50000,La Junta,Program,Education,
Caring for Colorado Foundation,2010,Southeast,Prowers,Prowers County Hospital District d.b.a. Prowers Medical Center,50000,Lamar,Program,Health                                                                     ,
Daniels Fund,2010,Southeast,Baca,Walsh Hospital District,10000,Walsh,Capital,Children and Youth Services,
Daniels Fund,2010,Southeast,Bent,Bent County Healthcare Center,5000,Las Animas,Program,"Community, Public Affairs",
Daniels Fund,2010,Southeast,Huerfano,Las Animas County Rehabilitation Center,6000,Walsenburg,Other,Children and Youth Services,
Daniels Fund,2010,Southeast,Huerfano,Huerfano County Youth Services,20000,Walsenburg,General Operating,Children and Youth Services,
Daniels Fund,2010,Southeast,Kiowa,Kiowa County School District RE-2,5000,Sheridan Lake,Program,Children and Youth Services,
Daniels Fund,2010,Southeast,Otero,"Arkansas Valley Community Center for Handicapped and for Retarded Persons, Inc.",50000,La Junta,Capital,Disabled Persons,
Daniels Fund,2010,Southeast,Otero,"La Junta Associated Chanties, Inc",25000,La Junta,General Operating,Human Services,
Daniels Fund,2010,Southeast,Prowers,Southeastern Colorado Homeless Center,15000,Lamar,General Operating,"Housing, Homeless shelters",
Daniels Fund,2010,Southeast,Prowers,Lamar School District RE-2,25000,Lamar,Program,Children and Youth Services,
El Pomar Foundation,2010,Southeast,Bent,Bent County Library District- Las Animas,10000,Las Animas,Capital,"Community, Public Affairs",
El Pomar Foundation,2010,Southeast,Bent,Las Animas Helping Hands,7500,Las Animas,General Operating,Human Services,
El Pomar Foundation,2010,Southeast,Bent,Las Animas Helping Hands,10000,Las Animas,Program,Human Services,
El Pomar Foundation,2010,Southeast,Bent,Colorado Future Farmers of America Foundation,2500,Hasty,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Southeast,Bent,Las Animas-Bent County Library Distric,1500,Las Animas,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Southeast,Bent,Las Animas High School,5000,Las Animas,Other,Education,
El Pomar Foundation,2010,Southeast,Crowley,Salvation Army Pueblo Corps and Community Center,3000,Ordway,Program,Human Services,
El Pomar Foundation,2010,Southeast,Crowley,Crowley County Elementary,2500,Ordway,Program,Children and Youth Services,
El Pomar Foundation,2010,Southeast,Huerfano,La Veta School of the Arts,1500,La Veta,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,Southeast,Huerfano,Spanish Peaks Arts Council,10000,La Veta,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,Southeast,Huerfano,Friends of Spanish Peaks Library District,7500,Walsenburg,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Southeast,Huerfano,John Mall Jr/Sr High School,5000,Walsenburg,Other,Education,
El Pomar Foundation,2010,Southeast,Huerfano,La Veta High School,5000,La Veta,Other,Education,
El Pomar Foundation,2010,Southeast,Las Animas,Southern Colorado Repertory Theater,5000,Trinidad,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,Southeast,Las Animas,Trinidad Community Foundation,2500,Trinidad,Program,"Community, Public Affairs",
El Pomar Foundation,2010,Southeast,Las Animas,Trinidad Community Foundation,2500,Trinidad,Program,Education,
El Pomar Foundation,2010,Southeast,Las Animas,Advocates Against Domestic Assault,5000,Trinidad,General Operating,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Southeast,Las Animas,Advocates Against Domestic Assault,3000,Trinidad,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Southeast,Las Animas,"Crossroads Turning Points, Inc.",2500,Trinidad,Program,Health                                                                     ,
El Pomar Foundation,2010,Southeast,Otero,Arkansas Valley Resource Center,10000,La Junta,Other,Human Services,
El Pomar Foundation,2010,Southeast,Otero,Arkansas Valley Resource Center,2000,La Junta,General Operating,Human Services,
El Pomar Foundation,2010,Southeast,Otero,"La Junta Associated Chanties, Inc",10000,La Junta,Program,Human Services,
El Pomar Foundation,2010,Southeast,Otero,"Arkansas Valley Hospirce, Inc.",7500,La Junta,General Operating,Hospice,
El Pomar Foundation,2010,Southeast,Otero,Southeast Mental Health Services,7500,La Junta,General Operating,Health                                                                     ,
El Pomar Foundation,2010,Southeast,Otero,"Grand Friends, Inc. dba Rocky Ford Grand Theater",15000,Rocky Ford,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,Southeast,Otero,"La Junta Associated Chanties, Inc",5000,La Junta,Program,Human Services,
El Pomar Foundation,2010,Southeast,Otero,"Koshare Indian Museum, Inc",25000,La Junta,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2010,Southeast,Otero,La Junta Middle School,3000,La Junta,Other,Education,
El Pomar Foundation,2010,Southeast,Otero,La Junta Middle School,1500,La Junta,General Operating,Education,
El Pomar Foundation,2010,Southeast,Otero,Fowler High School,5000,Fowler,Other,Education,
El Pomar Foundation,2010,Southeast,Otero,La Junta High School,5000,La Junta,Other,Education,
El Pomar Foundation,2010,Southeast,Otero,Manzanola High School,5000,Manzanola,Other,Education,
El Pomar Foundation,2010,Southeast,Otero,Swink High School,5000,Swink,Other,Education,
El Pomar Foundation,2010,Southeast,Prowers,Southeastern Colorado Homeless Center,5000,Lamar,Program,Human Services,
Gates Family Foundation,2010,Southeast,Huerfano,Huerfano School District Re-1,100000,Walsenburg,Capital,"Environment, Conservation",
Gates Family Foundation,2010,Southeast,Huerfano,Spanish Peaks Arts Council,25000,La Veta,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2010,Southeast,Kiowa,Crow Luther Cultural Events Center,100000,Eads,Capital,"Community, Public Affairs",
Gates Family Foundation,2010,Southeast,Las Animas,Kim Equine Pavilion and Education Center,60000,Kim,Capital,"Environment, Conservation",
Helen K. and Arthur E. Johnson Foundation,2010,Southeast,Otero,Colorado Boys Ranch Foundation,45000,La Junta,Other,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2010,Southeast,Otero,Council of Preventive and Supportive Services for the Aging,37350,Rocky Ford,Program,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2010,Southeast,Prowers,Lamar Community College Foundation,20000,Lamar,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2010,Southeast,Baca,Walsh Health Care Center,15000,Walsh,General Operating,Health                                                                     ,
Temple Hoyne Buell Foundation,2010,Southeast,Baca,Walsh Health Care Center,10000,Walsh,Capital,Health                                                                     ,
Temple Hoyne Buell Foundation,2010,Southeast,Bent,Bent County Memorial Nursing Home,20000,Las Animas,General Operating,Human Services,
Temple Hoyne Buell Foundation,2010,Southeast,Bent,McClave School District RE-2,15000,McClave,General Operating,Education,
Temple Hoyne Buell Foundation,2010,Southeast,Crowley,"Bent, Otero & Crowley County Early Childhood Council",12840,Ordway,Program,Education,
Temple Hoyne Buell Foundation,2010,Southeast,Huerfano,Huerfano County Youth Services,20000,Walsenburg,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Southeast,Las Animas,Las Animas County Rehabilitation Center,25000,Trinidad,Capital,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Southeast,Otero,Southeast Mental Health Services,45000,La Junta,Program,Health                                                                     ,
Temple Hoyne Buell Foundation,2010,Southeast,Otero,Tri-County Family Care Center,20000,Rocky Ford,Program,Education,
Temple Hoyne Buell Foundation,2010,Southeast,Otero,Otero County Health Department,7000,La Junta,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Southeast,Otero,Otero Junior College Child Development Services,4000,Las Animas,Other,Education,
Temple Hoyne Buell Foundation,2010,Southeast,Otero,Otero Junior College Child Development Services,2910,Las Animas,Other,Education,
Temple Hoyne Buell Foundation,2010,Southeast,Prowers,Prowers County Department of Social Services,25000,Lamar,General Operating,"Community, Public Affairs",
The Colorado Health Foundation,2010,Southeast,Bent,Bent County HealthCare Center,50000,Las Animas,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Southeast,Bent,Bent County Nursing Service,46769,Las Animas,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Southeast,Bent,Board of Regents on Behalf of the University of Colorado Denver Anschutz MedicalCampus,13167,Las Animas,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Southeast,Huerfano,Huerfano County Youth Services,57560,Walsenburg,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Southeast,Las Animas,Seeds of Learning,20000,Pagosa Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Southeast,Prowers,High Plains Community Health Center,73018,Lamar,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Southeast,Prowers,High Plains Community Health Center,500000,Lamar,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Baca,Walsh Hospital District,5000,Walsh,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Bent,Bent County HealthCare Center,5000,Las Animas,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Crowley,Crowley County Commissioners/BOC Council,186000,Ordway,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Crowley,Crowley County,5000,Ordway,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Crowley,Crowley County,56844,Ordway,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Las Animas,South Central Council of Governments,5000,Trinidad,Program,Health                                                                     ,
The Colorado Trust,2010,Southeast,Otero,Arkansas Valley Community Center,5000,La Junta,Program,"Community, Public Affairs",
The Colorado Trust,2010,Southeast,Otero,Arkansas Valley Regional Medical Center,5000,La Junta,Program,Health                                                                     ,
Adolph Coors Foundation,2011,Southeast,Huerfano,Huerfano County Youth Services,10000,Walsenburg,General Operating,,
Adolph Coors Foundation,2011,Southeast,Kiowa,Crow Luther Cultural Events Center,50000,Eads,General Operating,,
Adolph Coors Foundation,2011,Southeast,Las Animas,Kim Equestrian Pavillion & Event Center,30000,Kim,Capital,,
Adolph Coors Foundation,2011,Southeast,Otero,Friends of the Rocky Ford Library,10000,Rocky Ford,Capital,,
Anschutz Family Foundation,2011,Southeast,Baca,"Springfield Child Care Center, Inc.",7500,Springfield,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,Walsh Child Care Center,5000,Walsh,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,"Blue Rose Ranch, Inc. Horse Rescue & Adoption",5000,Springfield,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Southeast,Bent,Las Animas Helping Hands,7500,Las Animas,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,Southeast,Bent,Las Animas-Bent County Library District,5000,Las Animas,Program,Education,
Anschutz Family Foundation,2011,Southeast,Bent,Bent County HealthCare Center,7500,Las Animas,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Southeast,Kiowa,Kiowa County RE-2 Plainview Preschool,5000,Sheridan Lake,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Las Animas,Trinidad State Junior College,5000,Trinidad,Program,,
Anschutz Family Foundation,2011,Southeast,Las Animas,"Kim Equine Pavillion and Education Center, Inc.",7500,Kim,Capital,Economic Development      ,
Anschutz Family Foundation,2011,Southeast,Las Animas,Trinidad School District #1,5000,Trinidad,Program,Education,
Anschutz Family Foundation,2011,Southeast,Las Animas,Noah's Ark Animal Welfare Association,5000,Trinidad,Program,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Southeast,Otero,"Koshare Indian Museum, Inc.",7500,La Junta,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2011,Southeast,Otero,Inspiration Field,7500,La Junta,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Southeast,Otero,"Southeast Colorado Regional Heritage Taskforce, Inc.",10000,Fowler,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,Southeast,Otero,La Junta Associated Charities,7500,La Junta,General Operating,Emergency Assistance      ,
AV Hunter Trust,2011,Southeast,Prowers,Lamar Area Hospice Association,10000,Lamar,Program,Seniors,11/22/11
Boettcher Foundation,2011,Southeast,Crowley,Crowley County,10000,Ordway,Capital,,
Boettcher Foundation,2011,Southeast,Huerfano,Spanish Peaks Arts Council,10000,La Veta,Capital,,
Caring for Colorado Foundation,2011,Southeast,Baca,Walsh Health District dba Walsh Healthcare Center,19685,Walsh,Capital,Health                                                                     ,
Caring for Colorado Foundation,2011,Southeast,Bent,Las Animas Bent Fire Protection District DBA Bent County Ambulance Service,70500,Las Animas,Capital,Health                                                                     ,
Caring for Colorado Foundation,2011,Southeast,Huerfano,Spanish Peaks Regional Health Center,33365,Walsenburg,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,Southeast,Las Animas,Huerfano-Las Animas Area Council of Governments d/b/a South Central Council,35000,Trinidad,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,Southeast,Prowers,Lamar Community College,13868,Lamar,Program,Education,
Daniels Fund,2011,Southeast,Bent,Las Animas Housing Development Corporation,10000,Las Animas,Program,"Housing, Homeless shelters",
Daniels Fund,2011,Southeast,Bent,"Bent County Las Animas Community Activity Center, Inc.",15000,Las Animas,General Operating,Children and Youth Services,
Daniels Fund,2011,Southeast,Kiowa,Kiowa County School District RE-2,8000,Sheridan Lake,Program,Education,
Daniels Fund,2011,Southeast,Otero,"La Junta Associated Chanties, Inc",15000,La Junta,General Operating,Human Services,
El Pomar Foundation,2011,Southeast,Baca,"Blue Rose Ranch, Inc.",5000,Springfield,General Operating,Animal Protection and Welfare,
El Pomar Foundation,2011,Southeast,Bent,Pioneer Historical Society of Bent County,15000,Las Animas,General Operating,,
El Pomar Foundation,2011,Southeast,Bent,Bent County Memorial Nursing Home,5000,Las Animas,Other,Health                                                                     ,
El Pomar Foundation,2011,Southeast,Bent,Las Animas Helping Hands,10000,Las Animas,Program,Human Services,
El Pomar Foundation,2011,Southeast,Bent,Las Animas Helping Hands,6000,Las Animas,General Operating,Human Services,
El Pomar Foundation,2011,Southeast,Bent,Pioneer Historical Society of Bent County,1500,Las Animas,Other,"Arts, Culture & Humanities ",
El Pomar Foundation,2011,Southeast,Crowley,Crowley County,5000,Ordway,Program,Education,
El Pomar Foundation,2011,Southeast,Crowley,Crowley County Elementary,5200,Ordway,Program,Education,
El Pomar Foundation,2011,Southeast,Crowley,Crowley County School District No RE 1-J,700,Ordway,Other,Education,
El Pomar Foundation,2011,Southeast,Crowley,Crowley County High School,5000,Ordway,Other,Education,
El Pomar Foundation,2011,Southeast,Huerfano,Friends of Spanish Peaks Library District,1500,Walsenburg,General Operating,Education,
El Pomar Foundation,2011,Southeast,Huerfano,Friends of Spanish Peaks Library District,2500,Walsenburg,Other,Education,
El Pomar Foundation,2011,Southeast,Huerfano,Huerfano County Youth Services,10000,Walsenburg,Program,Children and Youth Services,
El Pomar Foundation,2011,Southeast,Las Animas,Trinidad Area Arts Council,5000,Trinidad,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2011,Southeast,Las Animas,Fisher's Peak Fire Protection District,5000,Starkville,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2011,Southeast,Las Animas,Hoehne Fire Protection District,5000,Hoehne,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2011,Southeast,Las Animas,Stonewall Fire Protection District,5000,Weston,General Operating,"Public safety, Emergency relief",
El Pomar Foundation,2011,Southeast,Las Animas,"Mount Carmel Health, Wellness, and Community Center",20000,Trinidad,Capital,Health                                                                     ,
El Pomar Foundation,2011,Southeast,Las Animas,"Mount Carmel Health, Wellness, and Community Center",2500,Trinidad,General Operating,Health                                                                     ,
El Pomar Foundation,2011,Southeast,Las Animas,"Las Animas County Rehabilitation Center, Inc.",5000,Trinidad,Program,Children and Youth Services,
El Pomar Foundation,2011,Southeast,Las Animas,Noah's Ark Animal Welfare Association,1500,Trinidad,General Operating,Animal Protection and Welfare,
El Pomar Foundation,2011,Southeast,Las Animas,Salvation Army of Trinidad Unit,7500,Trinidad,Program,Human Services,
El Pomar Foundation,2011,Southeast,Las Animas,Branson Schools RE-82,3500,Branson,Program,Education,
El Pomar Foundation,2011,Southeast,Las Animas,"Kim Equine Pavillion and Education Center, Inc.",20000,Kim,Capital,Animal Protection and Welfare,
El Pomar Foundation,2011,Southeast,Las Animas,"Mount Carmel Health, Wellness, and Community Center",50000,Trinidad,Capital,Health                                                                     ,
El Pomar Foundation,2011,Southeast,Las Animas,"Trinidad State Junior College Educational Foundation, Inc.",4000,Trinidad,Program,Education,
El Pomar Foundation,2011,Southeast,Las Animas,"Mount Carmel Health, Wellness and Community Center",75000,Trinidad,Program,Health,
El Pomar Foundation,2011,Southeast,Las Animas,Trinidad State Junior College Educational Foundation,25000,Trinidad,Other,"Community, Public Affairs",
El Pomar Foundation,2011,Southeast,Otero,Friends of the Rocky Ford Library,10000,Rocky Ford,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2011,Southeast,Otero,Town of Fowler,10000,Fowler,Capital,"Community, Public Affairs",
El Pomar Foundation,2011,Southeast,Otero,"Tri-County Family Care Center, Inc.",5000,Rocky Ford,General Operating,Human Services,
El Pomar Foundation,2011,Southeast,Otero,"La Junta Associated Chanties, Inc",10000,La Junta,Program,Human Services,
El Pomar Foundation,2011,Southeast,Otero,La Junta Jr/Sr High Schools,1500,La Junta,General Operating,Education,
El Pomar Foundation,2011,Southeast,Otero,La Junta Primary School,8000,La Junta,Other,Education,
El Pomar Foundation,2011,Southeast,Otero,Otero Junior College,15000,La Junta,Program,Education,
El Pomar Foundation,2011,Southeast,Otero,Otero Junior College,15000,La Junta,Capital,Education,
El Pomar Foundation,2011,Southeast,Otero,Rocky Ford High School District R-2,10000,Rocky Ford,Program,Children and Youth Services,
El Pomar Foundation,2011,Southeast,Prowers,Lamar Community College,10000,Lamar,Program,Education,
Gates Family Foundation,2011,Southeast,Huerfano,"Friends of the La Veta Library, Inc.",15000,La Veta,Capital,"Arts, Culture & Humanities ",
