funder,year,region,county,nonprofit,amount,city,type,category
Temple Hoyne Buell Foundation,2009,Northeast,Kit Carson,"Burlington Community Child Care, Inc.",10000,Burlington,Student Aid/Scholarship,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Kit Carson,"Burlington Community Child Care, Inc.",800,Burlington,Other,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Lincoln,Limon Child Development Center,35000,Limon,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Lincoln,Limon Child Development Center,8000,Limon,Student Aid/Scholarship,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Lincoln,"The Early Childhood Council of Logan, Phillips & Sedgwick Counties",31850,Sterling,Program,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Logan,Family Resource Center,15000,Sterling,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Northeast,Logan,Iliff Community Center,20000,Iliff,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Northeast,Logan,Logan County School District No. RE-1 Valley,10000,Sterling,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Logan,Northeastern Junior College Foundation,26000,Sterling,Program,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Logan,Small World Child Center,20000,Sterling,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Morgan,Morgan County Early Childhood  Council,45000,Fort Morgan,Program,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Morgan,Morgan County Family Center,15000,Fort Morgan,Program,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Morgan,Morgan County School District RE-3,25000,Fort Morgan,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Morgan,Morgan County School District RE-3,1808,Fort Morgan,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Morgan,Trinity Luteran Church & School,10000,Fort Morgan,Other,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Morgan,Wiggins School District RE-50J,6300,Wiggins,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",10000,Holyoke,Program,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Washington,Akron United Methodist Church,7500,Akron,Program,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Washington,Otis Public Schools,35000,Otis,Capital,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Idalia School District RJ-3,800,Idalia,Other,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Liberty School District J-4,2000,Joes,Other,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,36000,Yuma,General Operating,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,10000,Yuma,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,The Cub's Den,5800,Idalia,Other,Education,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,17000,Wray,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,3000,Wray,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northeast,Yuma,Wray School District RD-2,10000,Wray,Program,"Community, Public Affairs",
The Colorado Health Foundation,2009,Northeast,Cheyenne,"Praire View Health Resources, Inc.",25000,Cheyenne Wells,Program,health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Cheyenne,"Praire View Health Resources, Inc.",60032,Cheyenne Wells,Program,health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Lincoln,Limon Doctors Committee,200000,Limon,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Logan,Rural Solutions,10000,Sterling,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Morgan,Eben Ezer Lutheran Care Center ,49957,Brush,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Morgan,Wiggins School District RE-50 J413,37500,Wiggins,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Phillips,Melissa Memorial Hospital,81628,Holyoke,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,10000,Yuma,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,5000,Yuma,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northeast,Yuma,"Wray Area Foundation, Inc.",10000,Wray,Program,Health                                                                     ,
The Colorado Trust,2009,Northeast,Logan,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties",7500,Sterling,Program,Health                                                                     ,
The Colorado Trust,2009,Northeast,Logan,Northeast Colorado Health Department,173300,Sterling,Program,Health                                                                     ,
The Colorado Trust,2009,Northeast,Logan,Rural Solutions,20000,Sterling,Program,Health                                                                     ,
The Colorado Trust,2009,Northeast,Morgan,Morgan County Early Childhood  Council,7100,Fort Morgan,Program,Health                                                                     ,
The Colorado Trust,2009,Northeast,Morgan,Morgan County Early Childhood  Council,93000,Fort Morgan,Program,Health                                                                     ,
The Colorado Trust,2009,Northeast,Morgan,OneMorgan County,200,Fort Morgan,General Operating,"Community, Public Affairs",
The Colorado Trust,2009,Northeast,Yuma,Rural Communities Resource Center,7500,Yuma,Program,Health                                                                     ,
Adolph Coors Foundation,2010,Northeast,Kit Carson,"Dynamic Dimension, Inc.",5000,Burlington,General Operating,,
Adolph Coors Foundation,2010,Northeast,Kit Carson,"Prairie Family Center, Inc.",5000,Burlington,General Operating,,
Adolph Coors Foundation,2010,Northeast,Yuma,City of Wray (Friends of Wray Public Library),10000,Wray,Capital,,
Anschutz Family Foundation,2010,Northeast,Lincoln,Plains Medical Center,5000,Limon,Program,Health                                                                     ,
Anschutz Family Foundation,2010,Northeast,Logan,Morgan County Family Center,5000,Fort Morgan,General Operating,,
Anschutz Family Foundation,2010,Northeast,Morgan,The Production Company,5000,Wiggins,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northeast,Morgan,OneMorgan County,5000,Fort Morgan,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2010,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",5000,Fort Morgan,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2010,Northeast,Morgan,"S.A.R.A., Inc.",5000,Fort Morgan,General Operating,Abuse & Neglect Prevention,
Anschutz Family Foundation,2010,Northeast,Morgan,"S.H.A.R.E., Inc.",3709,Fort Morgan,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,Northeast,Phillips,"Phillips County Family Education Services, Inc.",5000,Holyoke,General Operating,Education,
Anschutz Family Foundation,2010,Northeast,Yuma,Wray Community Child Care Center,5000,Wray,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northeast,Yuma,M12 Incorporated,5000,Yuma,General Operating,Economic Development      ,
Boettcher Foundation,2010,Northeast,Cheyenne,Prairie View Health Resources,25000,Cheyenne Wells,Capital,Health                                                                     ,
Boettcher Foundation,2010,Northeast,Kit Carson,Kit Carson County Memorial Hospital,3000,Burlington,General Operating,Health                                                                     ,
Boettcher Foundation,2010,Northeast,Logan,Frenchman RE-3 School District,10000,Fleming,Capital,,
Boettcher Foundation,2010,Northeast,Morgan,Eben Ezer Lutheran Care Center,25000,Brush,Capital,,
Caring for Colorado Foundation,2010,Northeast,Cheyenne,Keefe Memorial Hospital,14100,Cheyenne,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Lincoln,"Plains Medical Center, Inc.",100000,Limon,Not Provided,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Lincoln,"Plains Medical Center, Inc.",50000,Limon,Not Provided,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Logan,"Centennial Mental Health Center, Inc.",50000,Sterling,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Morgan,Northeastern Colorado Association of Local Governments,35000,Fort Morgan,Not Provided,Health                                                                     ,
Daniels Fund,2010,Northeast,Cheyenne,Cheyenne County School District RE-5,10000,Cheyenne Wells,Program,Children and Youth Services,
Daniels Fund,2010,Northeast,Lincoln,Limon Child Development Center,10000,Limon,Program,Disabled Persons,
Daniels Fund,2010,Northeast,Logan,Northeast Colorado Health Department,40000,Sterling,Program,Disabled Persons,
Daniels Fund,2010,Northeast,Morgan,Eben Ezer Lutheran Care Center,36440,Brush,Program,Health                                                                     ,
Daniels Fund,2010,Northeast,Morgan,Morgan County,13000,Fort Morgan,Program,Hospice,
Daniels Fund,2010,Northeast,Morgan,"Northeastern Colorado Transportation Authority, Inc.",20000,Fort Morgan,Other,,
Daniels Fund,2010,Northeast,Morgan,Caring Ministries of Morqan County,27500,Fort Morgan,General Operating,Human Services,
Daniels Fund,2010,Northeast,Morgan,"SHARE, Inc",12000,Fort Morgan,General Operating,Human Services,
Daniels Fund,2010,Northeast,Morgan,Morgan County School District RE-3,15000,Fort Morgan,Program,Children and Youth Services,
Daniels Fund,2010,Northeast,Morgan,Wiggins School District RE-50J,30000,Wiggins,Program,Children and Youth Services,
Daniels Fund,2010,Northeast,Phillips,Haxtun Education Foundation,30000,Haxtun,Capital,Children and Youth Services,
Daniels Fund,2010,Northeast,Phillips,Phillips County,10000,Holyoke,Other,Children and Youth Services,
Daniels Fund,2010,Northeast,Yuma,The Cub's Den,20000,Idalia,Other,Children and Youth Services,
Daniels Fund,2010,Northeast,Yuma,Wray Rehabilitation & Activities Center,25000,Wray,General Operating,Children and Youth Services,
El Pomar Foundation,2010,Northeast,Cheyenne,Cheyenne County Public Health,2200,Cheyenne Wells,Program,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Cheyenne,Prairie View Health Resources ,1500,Cheyenne Wells,General Operating,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Kit Carson,"Dynamic Dimensions, Inc.",10000,Burlington,Capital,Disabled Persons,
El Pomar Foundation,2010,Northeast,Logan,Logan County Literacy Coalition,2500,Sterling,General Operating,Education,
El Pomar Foundation,2010,Northeast,Logan,Cooperating Ministries of Logan County,14000,Sterling,Program,Emergency Assistance      ,
El Pomar Foundation,2010,Northeast,Logan,Help for Abused Partners,5000,Sterling,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Logan,Family Resource Center,1500,Sterling,General Operating,,
El Pomar Foundation,2010,Northeast,Logan,Northeast Colorado Health Department,13000,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Logan,Northeastern Junior College Foundation,7500,Sterling,Student Aid/Scholarship,Education,
El Pomar Foundation,2010,Northeast,Logan,Northeastern Junior College Foundation,5000,Sterling,Program,Education,
El Pomar Foundation,2010,Northeast,Morgan,High Plains Sexual Assault Center,5000,Fort Morgan,General Operating,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Morgan,Morgan County Family Center,5000,Fort Morgan,General Operating,Human Services,
El Pomar Foundation,2010,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",14000,Fort Morgan,Program,Emergency Assistance      ,
El Pomar Foundation,2010,Northeast,Morgan,"SHARE, Inc",5000,Fort Morgan,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Morgan,Morgan Community College Foundation,7500,Fort Morgan,Student Aid/Scholarship,Education,
El Pomar Foundation,2010,Northeast,Morgan,Morgan Community College Foundation,5000,Fort Morgan,Program,Education,
El Pomar Foundation,2010,Northeast,Morgan,Northeastern Colorado Association of Local Governments,1500,Fort Morgan,Program,Human Services,
El Pomar Foundation,2010,Northeast,Morgan,OneMorgan County,1500,Fort Morgan,Program,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Morgan,OneMorgan County,1500,Fort Morgan,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Phillips,Phillips County,5000,Holyoke,Capital,Children and Youth Services,
El Pomar Foundation,2010,Northeast,Yuma,City of Wray,25000,Wray,Capital,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Yuma,Idalia Vision Foundation,5000,Idalia,Capital,Human Services,
El Pomar Foundation,2010,Northeast,Yuma,"Wray Area Foundation, Inc.",5000,Wray,Program,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,7000,Yuma,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,3000,Yuma,Program,Children and Youth Services,
El Pomar Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,4800,Yuma,Program,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Yuma,Idalia High School,5000,Idalia,Other,Education,
El Pomar Foundation,2010,Northeast,Yuma,Wray High School,5000,Wray,Other,Education,
Gates Family Foundation,2010,Northeast,Lincoln,Limon Child Development Center,30000,Limon,Capital,Education,
Gates Family Foundation,2010,Northeast,Logan,Sterling Public Library,100000,Sterling,Capital,"Arts, Culture & Humanities ",
Helen K. and Arthur E. Johnson Foundation,2010,Northeast,Lincoln,Limon Child Development Center,15000,Limon,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2010,Northeast,Phillips,"Phillips County Family Education Services, Inc.",10000,Holyoke,General Operating,Education,
Helen K. and Arthur E. Johnson Foundation,2010,Northeast,Yuma,"Hospice of the Plains, Inc.",12500,Wray,General Operating,Hospice,
Helen K. and Arthur E. Johnson Foundation,2010,Northeast,Yuma,Regional Home Visitation Program,12500,Yuma,General Operating,,
Temple Hoyne Buell Foundation,2010,Northeast,Kit Carson,Prairie Family Center,20000,Burlington,Program,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Lincoln,"Centennial Mental Health Center, Inc.",44895,Sterling,Program,Health                                                                     ,
Temple Hoyne Buell Foundation,2010,Northeast,Lincoln,Limon Child Development Center,35000,Limon,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Lincoln,Limon Child Development Center,22800,Limon,Capital,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Logan,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties",35000,Sterling,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Logan,Northeastern Junior College Foundation,26000,Sterling,Program,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Logan,Trinity Lutheran Church,21600,Sterling,Other,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Logan,Family Resource Center,20000,Sterling,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2010,Northeast,Logan,"Iliff Community Center, Inc.",20000,Iliff,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Logan,Logan County School District No. RE-1 Valley,15000,Sterling,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Morgan,Morgan County Early Childhood Council,45000,Fort Morgan,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Morgan,Wiggins School District RE-50J,20000,Wiggins,General Operating,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Morgan,Morgan County Family Center,15000,Fort Morgan,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2010,Northeast,Phillips,Haxtun School District,11200,Haxtun,Other,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Phillips,The Dragon's Wagon Preschool,10000,Holyoke,General Operating,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Phillips,"Phillips County Family Education Services, Inc.",10000,Holyoke,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Sedgwick,Julesburg School District RE-1,7000,Julesburg,Other,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Sedgwick,Julesburg School District RE-1,10000,Julesburg,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2010,Northeast,Washington,Akron United Methodist Church,7500,Akron,General Operating,,
Temple Hoyne Buell Foundation,2010,Northeast,Yuma,Regional Home Visitation Program,40000,Yuma,General Operating,,
Temple Hoyne Buell Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,20000,Yuma,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Yuma,Wray Community Child Care Center,20000,Wray,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2010,Northeast,Yuma,The Cub's Den,15000,Idalia,General Operating,Children and Youth Services,
The Colorado Health Foundation,2010,Northeast,Lincoln,Limon Doctors Committee,371750,Limon,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Lincoln,Limon Doctors Committee,20000,Limon,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Lincoln,Limon Doctors Committee,200000,Limon,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Logan,"Centennial Mental Health Center, Inc.",123617,Sterling,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Logan,Rural Solutions,224949,Sterling,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Morgan,Morgan County Family Center,7500,Fort Morgan,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Yuma,Regional Home Visitation Program,58107,Yuma,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Yuma,Regional Home Visitation Program,10000,Yuma,Program,Health                                                                     ,
The Colorado Health Foundation,2010,Northeast,Yuma,Wray Senior Community Center,183330,Wray,Program,Health                                                                     ,
The Colorado Trust,2010,Northeast,Logan,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties",64000,Sterling,Program,Health                                                                     ,
The Colorado Trust,2010,Northeast,Yuma,Rural Communities Resource Center,76703,Yuma,Program,Health                                                                     ,
The Colorado Trust,2010,Northeast,Yuma,Rural Communities Resource Center,5000,Yuma,Program,Health                                                                     ,
Anschutz Family Foundation,2011,Northeast,Lincoln,Wee Blew Inn Preschool,5000,Burlington,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Logan,ECCLPS,5000,Sterling,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Logan,The Family Resource Center,5000,Sterling,General Operating,,
Anschutz Family Foundation,2011,Northeast,Logan,Cooperating Ministry of Logan County,7500,Sterling,Program,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,Northeast,Logan,Logan County Literacy Coalition,2500,Sterling,General Operating,Education,
Anschutz Family Foundation,2011,Northeast,Morgan,Fort Morgan Humane Society,3000,Fort Morgan,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Northeast,Morgan,The School for the Performing Arts,5000,Fort Morgan,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Phillips,"Phillips County Family Education Services, Inc.",5000,Holyoke,General Operating,Education,
Anschutz Family Foundation,2011,Northeast,Yuma,M12 Incorporated,5000,Yuma,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,Northeast,Yuma,Baby Bear Hugs,5000,Yuma,General Operating,,
Anschutz Family Foundation,2011,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc.",5000,Wray,General Operating,Health                                                                     ,
