funder,year,region,county,nonprofit,amount,city,type,category
AV Hunter Trust,2009,Western Slope,Garfield,Family Visitor Programs,15,Glenwood Springs,Program,Youth,11/16/09
AV Hunter Trust,2009,Western Slope,Mesa,Marillac Clinic,25,Grand Junction,Program,Disabled,5/14/09
AV Hunter Trust,2009,Western Slope,Mesa,Mesa County Partners,10,Grand Junction,Program,Youth,5/14/09
AV Hunter Trust,2009,Western Slope,Mesa,CASA of Mesa County,5,Grand Junction,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Western Slope,Mesa,Western Slope Center for Children,5,Grand Junction,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Western Slope,Mesa,"Mesa County RSVP, Inc.",7,Grand Junction,Program,Seniors,11/16/09
Boettcher Foundation,2009,Western Slope,Delta,Paonia Public Library Foundation,25000,Paonia,Capital,,
Boettcher Foundation,2009,Western Slope,Garfield,Colorado Mountain College Foundation,150000,Glenwood Springs,Capital,Education,
Boettcher Foundation,2009,Western Slope,Garfield,"Colorado West Regional Mental Health, Inc.",150000,Glenwood Springs,Capital,Health                                                                     ,
Boettcher Foundation,2009,Western Slope,Mesa,Mesa State College,200000,Grand Junction,Capital,Education,
Boettcher Foundation,2009,Western Slope,Mesa,Mesa State College,24261,Grand Junction,Student Aid/Scholarship,,
Boettcher Foundation,2009,Western Slope,Mesa,Western Colorado Community Foundation,1000,Grand Junction,Program,,
Boettcher Foundation,2009,Western Slope,Pitkin,Spellbinders,5000,Woody Creek,General Operating,,
Caring for Colorado Foundation,2009,Western Slope,Mesa,"Child and Migrant Services, Inc.",23000,Palisade,General Operating,,
Caring for Colorado Foundation,2009,Western Slope,Mesa,"Hilltop Community Resources, Inc.",35000,Grand Junction,General Operating,,
Caring for Colorado Foundation,2009,Western Slope,Mesa,Hospice and Palliative Care of Western Colorado,40000,Grand Junction,General Operating,Hospice,
Caring for Colorado Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",50000,Grand Junction,General Operating,,
Caring for Colorado Foundation,2009,Western Slope,Mesa,Mesa State College,50000,Grand Junction,General Operating,Education,
Caring for Colorado Foundation,2009,Western Slope,Mesa,Western Colorado Area Health Education Center (WCAHEC),56000,Grand Junction,General Operating,,
Daniels Fund,2009,Western Slope,Delta,All American Families,5000,Delta,General Operating,Human Services,
Daniels Fund,2009,Western Slope,Delta,Delta County,125000,Delta,Not Provided,Health                                                                     ,
Daniels Fund,2009,Western Slope,Eagle,SOS Outreach,10000,Avon,General Operating,Health                                                                     ,
Daniels Fund,2009,Western Slope,Garfield,Columbine Home Health,10000,Glenwood Springs,Program,Health                                                                     ,
Daniels Fund,2009,Western Slope,Garfield,"Community Health Initiatives, Inc.",25000,Carbondale,Program,Health                                                                     ,
Daniels Fund,2009,Western Slope,Garfield,Computers for Kids Foundation,10000,Carbondale,Program,Children and Youth Services,
Daniels Fund,2009,Western Slope,Garfield,Feed My Sheep Ministry,20000,New Castle,General Operating,Human Services,
Daniels Fund,2009,Western Slope,Garfield,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),10000,Glenwood Springs,General Operating,Human Services,
Daniels Fund,2009,Western Slope,Garfield,Mountain Board of Cooperative Education Services,10000,Glenwood Springs,Program,Education,
Daniels Fund,2009,Western Slope,Garfield,Mountain Valley Developmental Services,5000,Glenwood Springs,Program,Disabled Persons,
Daniels Fund,2009,Western Slope,Garfield,Valley View Hospital Association,60000,Glenwood Springs,Program,Health                                                                     ,
Daniels Fund,2009,Western Slope,Mesa,"Boy Scouts of America, Western Colorado Council",20000,Grand Junction,General Operating,Children and Youth Services,
Daniels Fund,2009,Western Slope,Mesa,Grand Junction Housing Authority,30000,Grand Junction,Capital,Human Services,
Daniels Fund,2009,Western Slope,Mesa,Grand Valley Catholic Outreach,20904,Grand Junction,Capital,Human Services,
Daniels Fund,2009,Western Slope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000,Grand Junction,Program,"Philanthropy, Volunteerism, Grants",
Daniels Fund,2009,Western Slope,Mesa,"Mesa Youth Services, Inc.",18000,Grand Junction,Program,Children and Youth Services,
Daniels Fund,2009,Western Slope,Mesa,Riverside Educational Center,15000,Grand Junction,General Operating,Children and Youth Services,
Daniels Fund,2009,Western Slope,Mesa,"The Tree House Center for Troubled Youth, Inc.",15000,Grand Junction,Program,Children and Youth Services,
Daniels Fund,2009,Western Slope,Pitkin,The Buddy Program,15000,Aspen,General Operating,Children and Youth Services,
Daniels Fund,2009,Western Slope,Pitkin,"The Right Door, Inc.",15000,Aspen,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Delta,"North Fork Valley Public Radio, Inc.",2500,Paonia,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Western Slope,Delta,Surface Creek Community Services,5000,Cedaredge,Program,Human Services,
El Pomar Foundation,2009,Western Slope,Delta,Delta County Meth Task Force,35000,Hotchkiss,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Eagle,"Bravo Vail Valley Music Festival, Inc.",3000,Vail,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Western Slope,Eagle,Jimmie Huega Center,5000,Edwards,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Western Slope,Eagle,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),10000,Glenwood Springs,General Operating,Human Services,
El Pomar Foundation,2009,Western Slope,Eagle,New America School,25000,Gypsum,General Operating,Education,
El Pomar Foundation,2009,Western Slope,Eagle,Vail Leadership Institute,2500,Vail,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Western Slope,Eagle,"Community Health Initiatives, Inc.",2500,Eagle,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Eagle,Resource Center of Eagle County,5000,Avon,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Western Slope,Eagle,Salvation Army- Vail Valley,5000,Edwards,Program,Human Services,
El Pomar Foundation,2009,Western Slope,Eagle,Resource Center of Eagle County,2000,Avon,Program,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Eagle,Eagle County School District,3000,Eagle,Program,Education,
El Pomar Foundation,2009,Western Slope,Eagle,Resource Center of Eagle County,4000,Avon,Program,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Eagle,Salvation Army- Vail Valley,9000,Edwards,Program,Human Services,
El Pomar Foundation,2009,Western Slope,Garfield,Carbondale Community Nonprofit Center,25000,Carbondale,Capital,"Philanthropy, Volunteerism, Grants",
El Pomar Foundation,2009,Western Slope,Garfield,"ChildHelp, Inc.",5000,Glenwood Springs,Capital,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Garfield,Colorado West Regional Mental Health Center,50000,Glenwood Springs,Capital,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Garfield,Mountain Family Health Centers National Foundation of Dentistry for the Handicapped,30000,Glenwood Springs,Capital,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Garfield,Mountain Valley Developmental Services,10000,Glenwood Springs,Program,Human Services,
El Pomar Foundation,2009,Western Slope,Garfield,Andy Zanca Youth Empowerment Program,2000,Carbondale,Program,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Garfield,Computers for Kids Foundation,2500,Carbondale,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Garfield,Senior Matters Because Seniors Matter,1500,Carbondale,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Western Slope,Garfield,"Summit Ministries Resources, Inc Preschool and Childcare",25000,Rifle,General Operating,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Mesa Developmental Services,25000,Grand Junction,Capital,Disabled Persons,
El Pomar Foundation,2009,Western Slope,Mesa,Court Appointed Special Advocates of Mesa County,5000,Grand Junction,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Western Slope,Mesa,Grand Junction Housing Authority,10000,Grand Junction,Capital,"Housing, Homeless shelters",
El Pomar Foundation,2009,Western Slope,Mesa,Housing Resources of Western Colorado,10000,Grand Junction,Program,"Housing, Homeless shelters",
El Pomar Foundation,2009,Western Slope,Mesa,"Legends of the Grand Valley, Inc.",5000,Grand Junction,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",15000,Grand Junction,Other,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants",
El Pomar Foundation,2009,Western Slope,Mesa,Mesa State College Foundation,13130,Grand Junction,Program,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Museum of Western Colorado,10000,Grand Junction,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Western Slope,Mesa,St. Mary's Hospital Foundation,50000,Grand Junction,Capital,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Mesa,"Strong Families, Safe Kids",5000,Grand Junction,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Mesa,Western Colorado Area Health Education Center,5000,Grand Junction,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Mesa,Court Appointed Special Advocates of Mesa County,5000,Grand Junction,Program,Abuse & Neglect Prevention,
El Pomar Foundation,2009,Western Slope,Mesa,Food Bank of the Rockies,5000,Grand Junction,Program,Human Services,
El Pomar Foundation,2009,Western Slope,Mesa,Grand Valley Catholic Outreach,12500,Grand Junction,Program,Human Services,
El Pomar Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",7500,Grand Junction,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Mesa,"Boy Scouts of America, Western Colorado Council",7500,Grand Junction,Program,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Mesa,"Western Colorado Math and Science Center, Inc.",2500,Grand Junction,General Operating,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Ariel Clinical Services,2500,Grand Junction,Program,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Mesa,Girls on the Run of the Grand Valley,2500,Grand Junction,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Mesa,Western Colorado Suicide Prevention Foundation,2500,Grand Junction,Program,Children and Youth Services,
El Pomar Foundation,2009,Western Slope,Mesa,"Club 20 Education and Research Foundation, Inc.",15000,Grand Junction,Event,Education,
El Pomar Foundation,2009,Western Slope,Mesa,"Club 20 Education and Research Foundation, Inc.",1870,Grand Junction,Event,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,1500,Grand Junction,General Operating,Disabled Persons,
El Pomar Foundation,2009,Western Slope,Mesa,Mesa County Business Education Foundation,1500,Grand Junction,Program,"Employment, Job training",
El Pomar Foundation,2009,Western Slope,Mesa,Mesa State College Foundation,20000,Grand Junction,Not Provided,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Mesa State College Foundation,50000,Grand Junction,Program,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Mesa State College Foundation,1500,Grand Junction,Student Aid/Scholarship,Education,
El Pomar Foundation,2009,Western Slope,Mesa,"Mesa Youth Services, Inc.",3000,Grand Junction,General Operating,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Western Colorado Center of the Arts,1500,Grand Junction,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Western Slope,Mesa,"Western Colorado Math and Science Center, Inc.",25000,Grand Junction,Other,Education,
El Pomar Foundation,2009,Western Slope,Mesa,Hilltop Health Services Corporation,3000,Grand Junction,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Pitkin,Aspen Center for Environmental Studies,7500,Aspen,General Operating,"Environment, Conservation",
El Pomar Foundation,2009,Western Slope,Pitkin,"Right Door, Inc.",10000,Aspen,General Operating,,
El Pomar Foundation,2009,Western Slope,Pitkin,Response Help for Battered Women,2500,Aspen,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Western Slope,Pitkin,"Right Door, Inc.",5000,Aspen,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Pitkin,Valley Partnership for Drug Prevention,4000,Aspen,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Pitkin,Aspen Valley Medical Foundation Limited,1500,Aspen,Program,Health                                                                     ,
El Pomar Foundation,2009,Western Slope,Pitkin,Pitkin County Health and Human Services,9000,Aspen,Program,Human Services,
Gates Family Foundation,2009,Western Slope,Delta,Western Slope Environmental Resource Council,25000,Paonia,Capital,"Environment, Conservation",
Gates Family Foundation,2009,Western Slope,Eagle,Gore Range Natural Science School,250000,Avon,Capital,Education,
Gates Family Foundation,2009,Western Slope,Mesa,Dominquez Archaeological Research Group,11100,Grand Junction,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2009,Western Slope,Mesa,Western Colorado Botanical Society,20000,Grand Junction,Capital,"Environment, Conservation",
Gates Family Foundation,2009,Western Slope,Pitkin,Thrift Shop of Aspen,200000,Aspen,Capital,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Garfield,"Advocate Safehouse Project, Inc.",12500,Glenwood Springs,General Operating,"Domestic Violence Shelters, Services",
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Garfield,Colorado Mountain College Foundation,40000,Glenwood Springs,Student Aid/Scholarship,Education,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Garfield,Columbine Home Health,25000,Glenwood Springs,General Operating,Health                                                                     ,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Garfield,Family Visitor Program of Garfield County,20000,Glenwood Springs,General Operating,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Garfield,YouthZone,20000,Glenwood Springs,General Operating,,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,"Child and Migrant Services, Inc.",15000,Palisade,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Grand Valley Catholic Outreach Inc,20000,Grand Junction,Program,Human Services,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Grand Valley Senior Daybreak,7500,Grand Junction,General Operating,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Hilltop Community Resources,20000,Grand Junction,General Operating,,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Hospice and Palliative Care of Western Colorado,10000,Grand Junction,Program,Hospice,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",25000,Grand Junction,Capital,Health                                                                     ,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",25000,Grand Junction,Program,Health                                                                     ,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Mesa County Partners,20000,Grand Junction,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Mesa County Partners,50000,Grand Junction,Capital,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Western Slope Center for Children,10000,Grand Junction,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Western Slope,Mesa,Western Slope Center for Children,10000,Grand Junction,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,Delta County Joint School District No. 50,7063,Delta,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,Delta County Public Library,15000,Hotchkiss,Program,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,Little Sprouts Community Preschool,8200,Cedaredge,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,Little Sprouts Community Preschool,8000,Cedaredge,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,North Fork Community Montessori School,15000,Hotchkiss,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,North Fork Community Montessori School,2000,Hotchkiss,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Delta,Wee Care Learning Center,13000,Hotchkiss,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Eagle,Eagle Valley Child Care Association,12000,Vail,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Eagle,"Early Childhood Partners, Inc.",15000,Eagle,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Eagle,Roaring Fork School District RE-1,1610,Basalt,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Blue Lake Preschool,10000,Carbondale,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Blue Lake Preschool,15000,Carbondale,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Blue Lake Preschool,6300,Carbondale,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Colorado Mountain College Foundation,18000,Glenwood Springs,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Elbie and Wilma Gann Memorial Foundation,5350,Carbondale,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Family Visitor Program of Garfield County,60000,Glenwood Springs,General Operating,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Holy Cross Preschool,4000,Glenwood Springs,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,New Creation Church,15000,Glenwood Springs,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,New Creation Church,5000,Glenwood Springs,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,New Creation Church,4000,Glenwood Springs,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Our School,25000,Glenwood Springs,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Roaring Fork School District RE-1,2810,Glenwood Springs,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Roaring Fork School District RE-1,2810,Glenwood Springs,Other,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Garfield,Yampah Mountain High School,25000,Glenwood Springs,Program,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Child & Migrant Services (CMS),3500,Palisade,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Grand Junction Musical Arts Association,5000,Grand Junction,Event,"Arts, Culture & Humanities ",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Hilltop Health Services Corporation,30000,Grand Junction,Program,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Hilltop Health Services Corporation,30000,Grand Junction,Program,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Hospice and Palliative Care of Western Colorado,1000,Grand Junction,Program,Hospice,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",4500,Grand Junction,Program,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Mesa County District Group of CAEYC,15000,Grand Junction,Program,,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Mesa County Land Conservancy, Inc.",15000,Grand Junction,General Operating,"Environment, Conservation",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Mesa District Group of CAEYC,40000,Grand Junction,Program,,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Mesa Youth Services, Inc.",5000,Grand Junction,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",4000,Grand Junction,Other,"Employment, Job training",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",3930,Grand Junction,Other,"Employment, Job training",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Strong Families, Safe Kids",10000,Grand Junction,General Operating,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Strong Families, Safe Kids",5000,Grand Junction,Program,"Community, Public Affairs",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,Western Colorado Center for the Arts,8000,Grand Junction,General Operating,"Arts, Culture & Humanities ",
Temple Hoyne Buell Foundation,2009,Western Slope,Mesa,"Western Colorado Math and Science Center, Inc.",12000,Grand Junction,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Western Slope,Pitkin,"Kids First, City of Aspen",70000,Aspen,Program,,
Temple Hoyne Buell Foundation,2009,Western Slope,Pitkin,"Kids First, City of Aspen",15000,Aspen,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Western Slope,Pitkin,Roaring Fork Valley Early Learning Fund,12000,Aspen,Program,Education,
The Colorado Health Foundation,2009,Western Slope,Eagle,Eagle County School District,19700,Eagle,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Eagle,"Early Childhood Partners, Inc.",25000,Eagle,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Eagle,Western Eagle County Ambulance District,100000,Eagle,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Eagle,Youth Foundation,225988,Edwards,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Garfield,Grand River Hospital District Memorial Trust Fund,14500,Rifle,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Garfield,Grand River Hospital District Memorial Trust Fund,200000,Rifle,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Garfield,Mountain Family Health Center,450000,Glenwood Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Garfield,Mountain Family Health Center,300000,Glenwood Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Garfield,Roaring Fork (RE-1) School District,120000,Glenwood Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Grand Valley Catholic Outreach,40000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Hilltop Health Services Corporation,25000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Hospice and Palliative Care of Western Colorado,375000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Hospice and Palliative Care of Western Colorado,25000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",5000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,"Marillac Clinic, Inc.",200000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Mesa County,50000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Quality Health Network,640000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Mesa,Rocky Mountain Health Plans Foundation,75000,Grand Junction,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Pitkin,Children's Health Foundation,137000,Aspen,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Western Slope,Pitkin,Children's Health Foundation,20000,Aspen,Program,Health                                                                     ,
The Colorado Trust,2009,Western Slope,Delta,Delta Barracuda Swim Team,1000,Paonia,General Operating,Children and Youth Services,
The Colorado Trust,2009,Western Slope,Delta,"VOANS Senior CommUnity Meals, Inc.",122149,Eckert,Program,Health                                                                     ,
The Colorado Trust,2009,Western Slope,Mesa,"Hilltop Community Resource, Inc.",231000,Grand Junction,Program,Health                                                                     ,
The Colorado Trust,2009,Western Slope,Mesa,"Hilltop Community Resource, Inc.",7500,Grand Junction,Program,Health                                                                     ,
The Colorado Trust,2009,Western Slope,Mesa,Mesa County Health Department,187500,Grand Junction,Program,Health                                                                     ,
The Colorado Trust,2009,Western Slope,Mesa,Mesa County Partnership for Children and Families,184500,Grand Junction,Program,Health                                                                     ,
The Colorado Trust,2009,Western Slope,Mesa,Western Colorado Suicide Prevention Foundation,20000,Grand Junction,Program,Health                                                                     ,
