funder,year,region,county,nonprofit,amount,city,type ,category,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,Breckenridge Montessori,5000.00,Breckenridge,Program,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Early Childhood Partners,5000.00,Eagle,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Family Learning Center,5000.00,Edwards,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,Roaring Fork Family Resource Centers,5000.00,Carbondale,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,Feed My Sheep Ministry,5000.00,New Castle,General Operating,"Housing, Homeless shelters",,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,LIFT-UP,5000.00,Rifle,Program,"Food, Agriculture, Nutrition",,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,The Salvation Army/Vail Valley,5000.00,Edwards,General Operating,"Food, Agriculture, Nutrition",,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,TOM'S Door,1000.00,Carbondale,General Operating,Emergency Assistance      ,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Doctors Plus,5000.00,Avon,Program,Health                                                                     ,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,Domus Pacis Family Respite,5000.00,Breckenridge,General Operating,Hospice,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Vail Valley Charitable Fund,5000.00,Edwards,Program,Health                                                                     ,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Eagle Valley Humane Society,5000.00,Eagle,General Operating,Animal Protection and Welfare,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,Literacy Outreach,5000.00,Glenwood Springs,General Operating,Education,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,"Colorado West Regional Mental Health Center, Summit Center",5000.00,Frisco,Program,Health                                                                     ,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Eagly County School District RE 50J,5000.00,Eagle,Program,Health                                                                     ,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,Colorado Mountain College,5000.00,Glenwood Springs,Program,,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,Family & Intercultural Resource Center,5000.00,Dillon,General Operating,,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,High Country RSVP,5000.00,Glenwood Springs,General Operating,,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,"Advocates for Victims of Assault, Inc.",5000.00,Frisco,General Operating,"Domestic Violence Shelters, Services",,,,,
Anschutz Family Foundation,2011,Mountain,Lake,"Advocates of Lake County, Inc.",7500.00,Leadville,General Operating,"Domestic Violence Shelters, Services",,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,Bright Future Foundation for Eagle County,5000.00,Avon,Program,Emergency Assistance      ,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,SOS Outreach,5000.00,Avon,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,"Swan Center Outreach, Inc.",5000.00,Silverthorne,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Eagle,The Youth Foundation,7500.00,Edwards,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,YouthEntity,5000.00,Carbondale,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,YouthZone,5000.00,Glenwood Springs,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2012,Mountain,Lake,Partnership for Lake County Recreation,5000.00,Leadville,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,Third Street Center,7500.00,Carbondale,General Operating,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,Advocate Safehouse Project ,7500.00,Glenwood Springs,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Mountain,Eagle,Bright Future Foundation for Eagle County,5000.00,Avon,Program ,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Mountain,Pitkin,RESPONSE: Help for Survivors of Domestic Violence & Sexual Assault,5000.00,Aspen,Program,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,"Alpine Legal Services, Inc. ",5000.00,Glenwood Springs,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Mountain,San Miguel,"Angel Baskets, Inc. ",5000.00,Telluride,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Mountain,Lake,St. Vincent Hospital Foundation,10000.00,Leadville,Program,Health and Hospice,,,,,
Anschutz Family Foundation,2012,Mountain,Pitkin,English in Action,5000.00,Basalt,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,Garfield County Libraries,5000.00,Rifle,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,Roaring Fork Valley Early Learning Fund,5000.00,Glenwood Springs,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,Colorado Mountain College Foundation. Inc. ,5000.00,Glenwood Springs,Program ,Senior Programs,,,,,
Anschutz Family Foundation,2012,Mountain,Eagle,Bravo! Vail Valley Music Festival,5000.00,Vail,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Mountain,Summit,Breckenridge Montessori,5000.00,Breckenridge,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Mountain,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Mountain,Lake,"Full Circle of Lake County, Inc.",7500.00,Leadville,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Mountain,Summit,Summit County Youth and Family Services,5000.00,Frisco,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Mountain,Garfield,YouthEntity,5000.00,Carbondale,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,Advocate Safehouse Project,5000.00,Glenwood Springs,General Operating,Crisis Intervention,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Summit,"Advocates for Victims of Assault, Inc.",5000.00,Frisco,General Operating,Crisis Intervention,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Lake,"Advocates of Lake County, Inc.",7500.00,Leadville,General Operating,Crisis Intervention,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,"Alpine Legal Services, Inc.",7500.00,Glenwood Springs,General Operating,Crisis Intervention,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Summit,Breckenridge Outdoor Education Center,5000.00,Breckenridge,General Operating,Disabled,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Crisis Intervention,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Eagle,English in Action,5000.00,Basalt,General Operating,Self Sufficiency,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,Family Resource Center of the Roaring Fork School District,5000.00,Carbondale,General Operating,Self Sufficiency,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,Family Visitor Programs,7500.00,Glenwood Springs,General Operating,Self Sufficiency,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Lake,"Full Circle of Lake County, Inc.",8000.00,Leadville,General Operating,Youth Development,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Eagle,"Habitat for Humanity of Eagle and Lake Counties, Inc.",8000.00,Avon,Program,Low Income Housing,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,Literacy Outreach,5000.00,Glenwood Springs,General Operating,Self Sufficiency,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Summit,Mountain Hope Foundation,8000.00,Breckenridge,General Operating,Disabled,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,"River Center of New Castle, Inc.",5000.00,New Castle,General Operating,"Civic, Community, and Capacity Building",11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Eagle,Roaring Fork Outdoor Volunteers,5000.00,Basalt,Program,Youth Development,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,"Sopris Sun, LLC",5000.00,Carbondale,General Operating,"Civic, Community, and Capacity Building",11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Eagle,SOS Outreach,8000.00,Avon,Program,Youth Development,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Summit,Summit County Youth and Family Services,5000.00,Frisco,Program,Youth Development,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Pitkin,The Buddy Program,7500.00,Aspen,General Operating,Youth Development,11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,Third Street Center,10000.00,Carbondale,General Operating,"Civic, Community, and Capacity Building",11/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,WindWalkers,5000.00,Carbondale,Program,Disabled,4/30/13,,,,
Anschutz Family Foundation,2013,Mountain,Garfield,YouthZone,10000.00,Glenwood Springs,General Operating,Youth Development,4/30/13,,,,
Boettcher Foundation,2009,Mountain,Garfield,Colorado Mountain College Foundation,150000.00,Glenwood Springs,Capital,Education,,,,,
Boettcher Foundation,2009,Mountain,Garfield,"Colorado West Regional Mental Health, Inc.",150000.00,Glenwood Springs,Capital,Health                                                                     ,,,,,
Boettcher Foundation,2009,Mountain,Lake,High Mountain Institute,45000.00,Leadville,Capital,,,,,,
Boettcher Foundation,2009,Mountain,Pitkin,Spellbinders,5000.00,Woody Creek,General Operating,,,,,,
Boettcher Foundation,2010,Mountain,Pitkin,Aspen Institute,100000.00,Aspen,Capital,,,,,,
Boettcher Foundation,2010,Mountain,Lake,Colorado Mountain College,75000.00,Leadville,Capital,Education,,,,,
Boettcher Foundation,2010,Mountain,Summit,Colorado Mountain College,75000.00,Breckenridge,Capital,Education,,,,,
Boettcher Foundation,2010,Mountain,Garfield,Marble Charter School,25000.00,Marble,Capital,,,,,,
Boettcher Foundation,2010,Mountain,Eagle,Roundup River Ranch,25000.00,Avon,Capital,,,,,,
Boettcher Foundation,2010,Mountain,Pitkin,Spellbinders,5000.00,Woody Creek,General Operating,,,,,,
Boettcher Foundation,2011,Mountain,Garfield,Mountain Family Health Center,50000.00,Glenwood Springs,Capital,,,,,,
Boettcher Foundation,2011,Mountain,Pitkin,Spellbinders,5000.00,Woody Creek,General Operating,,,,,,
Boettcher Foundation,2011,Mountain,Garfield,Third Street Center,40000.00,Carbondale,Capital,,,,,,
Boettcher Foundation,2011,Mountain,Eagle,Walking Mountains Science Learning Center,25000.00,Avon,Capital,,,,,,
Boettcher Foundation,2012,Mountain,Lake,Advocates of Lake County,20000.00,Leadville,Capital,,,,,,
Boettcher Foundation,2012,Mountain,Pitkin,The Thrift Shop of Aspen,25000.00,Aspen,Capital,,,,,,
Boettcher Foundation,2013,Mountain,Garfield,Garfield County Public Library Foundation,20000.00,Rifle,Capital,Community ,7/11/2013,,,,
Boettcher Foundation,2013,Mountain,Pitkin,Aspen Historical Society,10000.00,Aspen,Capital,Arts & Culture,7/11/2013,,,,
Caring for Colorado Foundation,2010,Mountain,Garfield,Roaring Fork Family Resource,35000.00,Carbondale,Program,Health                                                                     ,,,,,
Caring for Colorado Foundation,2011,Mountain,Garfield,Mountain Family Health Centers,150000.00,Glenwood Springs,Capital,Health                                                                     ,,,,,
Caring for Colorado Foundation,2011,Mountain,Pitkin,Roaring Forks (RE-1) School District,35000.00,Carbondale,Program,Health                                                                     ,,,,,
Caring for Colorado Foundation,2011,Mountain,Summit,Summit Community Care Clinic,45493.00,Frisco,Program,Health                                                                     ,,,,,
Caring for Colorado Foundation,2011,Mountain,Eagle,Western Eagle County Ambulance,50000.00,Eagle,Program,Health                                                                     ,,,,,
Caring for Colorado Foundation,2012,Mountain,Eagle,Eagle County Schools,50000.00,Eagle,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Mountain,Garfield,"Family Visitor Programs of Garfield County, Inc.",79000.00,Glenwood Springs,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Mountain,Garfield,Garfield County Public Health,56528.00,Rifle,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Mountain,Garfield,Mountain Family Health Centers,100000.00,Glenwood Springs,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Mountain,Garfield,Roaring Fork Family Resource Centers,40000.00,Carbondale,Program,Health,996 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Mountain,Summit,Summit Community Care Clinic,58240.00,Frisco,Program,Health,1005 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Mountain,Eagle,"Vail Valley Charitable Fund, Inc.",10400.00,Edwards,Program,Health,1009 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2013,Mountain,Summit,Family & Intercultural Resource Center,15000.00,Dillon,Project/Program,,1/17/13,,,,
Caring for Colorado Foundation,2013,Mountain,Garfiled,"Family Visitor Program of Garfield County Inc., DBA Family Visitor Programs",89800.00,Glenwood Springs,Project/Program,,1/17/13,,,,
Caring for Colorado Foundation,2013,Mountain,Garfiled,Garfield County Public Health,52364.00,Rifle,Project/Program,,1/17/13,,,,
Caring for Colorado Foundation,2013,Mountain,Garfiled,Mountain Family Health Centers,30000.00,Glenwood Springs,,,10/1/12,,,,
Caring for Colorado Foundation,2013,Mountain,Garfiled,Mountain Family Health Centers,100000.00,Glenwood Springs,Technical Assistance,,8/14/13,,,,
Caring for Colorado Foundation,2013,Mountain,Eagle,Samaritan Center of the Rockies,30000.00,Edwards,Project/Program,,6/20/13,,,,
Caring for Colorado Foundation,2013,Mountain,Lake,St. Vincent Hospital Foundation,50000.00,Leadville,Capital,,1/17/13,,,,
Caring for Colorado Foundation,2013,Mountain,Summit,Summit Community Care Clinic,10000.00,Frisco,Technical Assistance,,6/20/13,,,,
Daniels Fund,2009,Mountain,Summit,"Advocates for Victims of Assault, Inc.",10000.00,Frisco,General Operating,"Domestic Violence Shelters, Services",,,,,
Daniels Fund,2009,Mountain,Summit,Breckenridge Outdoor Education Center,5000.00,Breckenridge,General Operating,Health                                                                     ,,,,,
Daniels Fund,2009,Mountain,Garfield,Columbine Home Health,10000.00,Glenwood Springs,Program,Health                                                                     ,,,,,
Daniels Fund,2009,Mountain,Garfield,"Community Health Initiatives, Inc.",25000.00,Carbondale,Program,Health                                                                     ,,,,,
Daniels Fund,2009,Mountain,Garfield,Computers for Kids Foundation,10000.00,Carbondale,Program,Children and Youth Services,,,,,
Daniels Fund,2009,Mountain,Garfield,Feed My Sheep Ministry,20000.00,New Castle,General Operating,Human Services,,,,,
Daniels Fund,2009,Mountain,Lake,"Full Circle of Lake County, Inc",20000.00,Leadville,Program,Children and Youth Services,,,,,
Daniels Fund,2009,Mountain,Summit,High Country Soccer Association,5000.00,Silverthorne,Program,Health                                                                     ,,,,,
Daniels Fund,2009,Mountain,Garfield,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),10000.00,Glenwood Springs,General Operating,Human Services,,,,,
Daniels Fund,2009,Mountain,Garfield,Mountain Board of Cooperative Education Services,10000.00,Glenwood Springs,Program,Education,,,,,
Daniels Fund,2009,Mountain,Garfield,Mountain Valley Developmental Services,5000.00,Glenwood Springs,Program,Disabled Persons,,,,,
Daniels Fund,2009,Mountain,Eagle,SOS Outreach,10000.00,Avon,General Operating,Health                                                                     ,,,,,
Daniels Fund,2009,Mountain,Summit,Summit County Department of Youth and Family Services,15000.00,Frisco,Program,Children and Youth Services,,,,,
Daniels Fund,2009,Mountain,Pitkin,The Buddy Program,15000.00,Aspen,General Operating,Children and Youth Services,,,,,
Daniels Fund,2009,Mountain,Pitkin,"The Right Door, Inc.",15000.00,Aspen,General Operating,Health                                                                     ,,,,,
Daniels Fund,2009,Mountain,Garfield,Valley View Hospital Association,60000.00,Glenwood Springs,Program,Health                                                                     ,,,,,
Daniels Fund,2010,Mountain,Garfield,"Colorado West Regional Mental Health, Inc.",25000.00,Glenwood Springs,Program,Health                                                                     ,,,,,
Daniels Fund,2010,Mountain,Summit,Breckenridge Outdoor Education Center,10000.00,Breckenridge,General Operating,Education,,,,,
Daniels Fund,2010,Mountain,Garfield,Mountain Valley Developmental Services,10000.00,Glenwood Springs,Program,Disabled Persons,,,,,
Daniels Fund,2010,Mountain,Pitkin,City of Aspen,10000.00,Aspen,Program,Children and Youth Services,,,,,
Daniels Fund,2010,Mountain,Garfield,Elbie and Wilma Gann Memorial Foundation,8000.00,Carbondale,Other,Children and Youth Services,,,,,
Daniels Fund,2010,Mountain,Summit,"Advocates for Victims of Assault, Inc.",15000.00,Frisco,Program,"Domestic Violence Shelters, Services",,,,,
Daniels Fund,2010,Mountain,Garfield,Computers for Kids Foundation,15000.00,Carbondale,Program,Children and Youth Services,,,,,
Daniels Fund,2010,Mountain,Garfield,Roaring Fork School District No RE-1,2500.00,Glenwood Springs,Program,Children and Youth Services,,,,,
Daniels Fund,2010,Mountain,Garfield,YouthZone,15000.00,Glenwood Springs,Program,Children and Youth Services,,,,,
Daniels Fund,2011,Mountain,Garfield,Columbine Home Health,10000.00,Glenwood Springs,Program,Health                                                                     ,,,,,
Daniels Fund,2011,Mountain,Garfield,Valley View Hospital Association,30000.00,Glenwood Springs,Program,Health                                                                     ,,,,,
Daniels Fund,2011,Mountain,Eagle,SOS Outreach,15000.00,Avon,General Operating,Health                                                                     ,,,,,
Daniels Fund,2011,Mountain,Eagle,Early Childhood Partners,15000.00,Eagle,Program,Education,,,,,
Daniels Fund,2011,Mountain,Garfield,Roaring Fork Valley Early Learning Fund,32000.00,Glenwood Springs,Program,Education,,,,,
Daniels Fund,2011,Mountain,Garfield,Feed My Sheep Ministry,25000.00,New Castle,General Operating,"Housing, Homeless shelters",,,,,
Daniels Fund,2011,Mountain,Garfield,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),25000.00,Rifle,General Operating,Human Services,,,,,
Daniels Fund,2011,Mountain,Pitkin,The Buddy Program,15000.00,Basalt,General Operating,Children and Youth Services,,,,,
Daniels Fund,2011,Mountain,Lake,"Full Circle of Lake County, Inc",20000.00,Leadville,Program,Children and Youth Services,,,,,
Daniels Fund,2011,Mountain,Garfield,Roaring Fork School District RE-1,2500.00,Glenwood Springs,Program,Education,,,,,
Daniels Fund,2011,Mountain,Summit,Summit County Department of Youth and Family Services,15000.00,Frisco,Program,Children and Youth Services,,,,,
Daniels Fund,2012,Mountain,Garfield,Colorado Baptist General Convention - Feed My Sheep Ministry,10000.00,New Castle,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Mountain,Garfield,Computers for Kids Foundation,75000.00,Carbondale,Program,Youth Development,,,,,
Daniels Fund,2012,Mountain,Garfield,The Manaus Fund,80000.00,Carbondale,Program,Early Childhood Education,,,,,
Daniels Fund,2012,Mountain,Eagle,The Youth Foundation,25000.00,Edwards,Program,Early Childhood Education,,,,,
Daniels Fund,2012,Mountain,Garfield,Valley View Hospital Association,30000.00,Glenwood Springs,Program,Alcoholism and Substance Abuse,,,,,
Daniels Fund,2013,Mountain,Pitkin,The Buddy Program,10000.00,Aspen,Program / Project,Youth Development,4/1/13,,,,
Daniels Fund,2013,Mountain,Garfield,"Computers for Kids Foundation, dba YouthEntity",47500.00,Carbondale,Program / Project,Youth Development,9/16/13,,,,
Daniels Fund,2013,Mountain,Eagle,"Early Childhood Partners, Incorporated",20000.00,Eagle,Program / Project,Early Childhood Education,2/4/13,,,,
