Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Anschutz Family Foundation,2013,Heart of Colorado,Summit,CASA of the Continental Divide,"$5,000.00",Dillon,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Summit,Mountain Hope Foundation,"$8,000.00",Breckenridge,General Operating,Disabled,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Summit,Summit County Youth and Family Services,"$5,000.00",Frisco,Program,Youth Development,4/30/13
Anschutz Family Foundation,2013,Northeast,Kit Carson,"Dynamic Dimension, Inc.","$7,500.00",Burlington,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northeast,Lincoln,Colorado East Community Action Agency,"$8,000.00",Limon,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Northeast,Morgan,Brush Main Street Foundation,"$5,000.00",Brush,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Northeast,Morgan,OneMorgan County,"$5,000.00",Fort Morgan,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Northeast,Morgan,"S.A.R.A., Inc.","$7,000.00",Fort Morgan,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Northeast,Phillips,"Phillips County Family Education Services, Inc.","$7,500.00",Holyoke,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Northeast,Phillips,The Dragon's Wagon,"$5,000.00",Holyoke,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Northeast,Phillips,The Haxtun Community Childcare Center,"$7,500.00",Haxtun,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northeast,Washington,"Golden Plains, Inc.","$8,000.00",Akron,Program,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Northeast,Yuma,"Encore Life, Inc.","$10,000.00",Wray,General Operating,Senior Programs,11/30/13
Anschutz Family Foundation,2013,Northeast,Yuma,Rural Communities Resource Center,"$7,500.00",Yuma,Program,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Advocates for a Violence-Free Community,"$5,000.00",Hot Sulphur Springs,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Grand Beginnings,"$8,000.00",Hot Sulphur Springs,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northwest,Grand,"Grand County Council on Aging, Inc.","$5,000.00",Granby,Program,Senior Programs,4/30/13
Anschutz Family Foundation,2013,Northwest,Grand,"Grand County Rural Health Network, Inc.","$7,500.00",Hot Sulphur Springs,General Operating,Health & Hospice,4/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Grand Foundation,"$5,000.00",Winter Park,Program,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Habitat for Humanity of Grand County,"$5,000.00",Granby,Program,Low Income Housing,4/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Mountain Family Center,"$10,000.00",Granby,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Northwest,Grand,National Sports Center for the Disabled,"$5,000.00",Winter Park,Program,Disabled,4/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Project Sanctuary,"$5,000.00",Granby,Program,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Northwest,Grand,Shining Stars Foundation,"$5,000.00",Tabernash,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Northwest,Moffat,Boys and Girls Clubs of Northwest Colorado,"$7,500.00",Craig,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northwest,Moffat,Yampa Valley Data Partners,"$7,500.00",Craig,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Northwest,Rio Blanco,Giant Step Preschool & Child Care Center,"$5,000.00",Rangely,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Advocates Building Peaceful Communities,"$5,000.00",Steamboat Springs,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Grand Futures Prevention Coalition,"$5,000.00",Steamboat Springs,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Northwest Rocky Mountain CASA,"$5,000.00",Steamboat Springs,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Partners in Routt County,"$7,500.00",Steamboat Springs,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Rocky Mountain Youth Corps,"$10,000.00",Steamboat Springs,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Steamboat Adaptive Recreational Sports,"$5,000.00",Steamboat Springs,Program,Disabled,4/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Yampa Valley Autism Program,"$5,000.00",Steamboat Springs,Program,Disabled,4/30/13
Anschutz Family Foundation,2013,Northwest,Routt,Yampatika,"$5,000.00",Steamboat Springs,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northwest,Routt,"Young Tracks, Inc.","$7,500.00",Steamboat Springs,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Alamosa,"La Llave Family Resource Center, Inc.","$7,500.00",Alamosa,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Alamosa,San Luis Valley Local Foods Coalition,"$10,000.00",Alamosa,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Alamosa,"Tu Casa, Inc.","$10,000.00",Alamosa,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,San Luis Valley,Conejos,Little Treasures Preschool,"$5,000.00",La Jara,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Costilla,Revitalizing Sustainable Agriculture,"$8,750.00",San Luis,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Costilla,"Tiny Hands Daycare Center, Inc.","$10,000.00",Blanca,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Mineral,Creede Arts Council,"$3,500.00",Creede,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,San Luis Valley,Saguache,Crestone Musical Festival,"$3,500.00",Crestone,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,Gunnison Country Partners,"$5,000.00",Gunnison,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,Gunnison County Library District,"$5,000.00",Gunnison,Program,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,Gunnison/Hinsdale Confidential Advocacy Center,"$8,000.00",Gunnison,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,"Habitat For Humanity of Gunnison Valley, Inc.","$5,000.00",Gunnison,Program,Low Income Housing,11/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,Mountain Roots Food Project,"$5,000.00",Crested Butte,General Operating,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,Paradise Place Christian Preschool,"$5,000.00",Crested Butte,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,"Six Points Evaluation & Training, Inc.","$5,000.00",Gunnison,General Operating,Disabled,11/30/13
Anschutz Family Foundation,2013,San Juan,Gunnison,Stepping Stones Children's Center,"$5,000.00",Crested Butte,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,San Juan,Montrose,"CASA of the Seventh Judicial District, Inc.","$5,000.00",Montrose,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,San Juan,Montrose,Haven House of Montrose,"$7,500.00",Montrose,General Operating,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,San Juan,Montrose,Montrose Regional Library District,"$5,000.00",Montrose,Program,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,San Juan,Montrose,Paradox Valley School,"$7,500.00",Paradox,Program,Youth Development,4/30/13
Anschutz Family Foundation,2013,San Juan,Montrose,"Partners of Delta, Montrose and Ouray","$7,500.00",Montrose,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Juan,Montrose,Sharing Ministries Food Bank,"$7,500.00",Montrose,General Operating,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,San Juan,Ouray,Second Chance Humane Society,"$8,000.00",Ridgway,Program,Humane Animal Services,11/30/13
Anschutz Family Foundation,2013,San Juan,San Miguel,"Angel Baskets, Inc.","$5,000.00",Telluride,General Operating,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,San Juan,San Miguel,EcoAction Partners,"$7,500.00",Telluride,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,San Juan,San Miguel,One to One,"$5,000.00",Telluride,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,San Juan,San Miguel,"Telluride Historical Museum, Inc.","$5,000.00",Telluride,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,San Juan,San Miguel,The Wright Stuff Community Foundation,"$7,500.00",Norwood,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Southeast,Bent,Bent County/Las Animas Community Center,"$7,500.00",Las Animas,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Southeast,Huerfano,La Veta Fire Protection District,"$7,500.00",La Veta,Program,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Southeast,Kiowa,Plainview School,"$5,000.00",Sheridan Lake,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Southeast,Las Animas,Earth Mountain Education Farm,"$5,000.00",Weston,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Southeast,Las Animas,"Southern Colorado Repertory Theatre, LTD","$5,000.00",Trinidad,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,Southeast,Otero,Otero County Department of Human Services,"$7,000.00",La Junta,Program,Senior Programs,11/30/13
Anschutz Family Foundation,2013,Southeast,Otero,"Tri-County Family Care Center, Inc.","$7,500.00",Rocky Ford,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Southwest,Archuleta,"Pagosa Crisis Pregnancy Center, Inc.","$5,000.00",Pagosa Springs,Program,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Southwest,Archuleta,Seeds of Learning,"$5,000.00",Pagosa Springs,Program,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,Southwest,Dolores,Students Taking action against Underage Drinking,"$3,000.00",Dove Creek,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,"Adaptive Sports Association, Inc.","$8,000.00",Durango,General Operating,Disabled,11/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,"$10,000.00",Durango,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,Durango Education Center,"$10,000.00",Durango,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,Manna Soup Kitchen,"$10,000.00",Durango,General Operating,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,Sexual Assault Services Organization,"$10,000.00",Durango,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,Southwest Conservation Corps,"$7,500.00",Durango,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,Volunteers of America Colorado Branch,"$7,500.00",Durango,Program,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Southwest,La Plata,"Women's Resource Center in Durango, Inc.","$5,000.00",Durango,Program,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,Children's Kiva,"$7,500.00",Cortez,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,Mancos Public Library District,"$7,500.00",Mancos,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,Mancos Valley Resources,"$4,800.00",Mancos,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,Montezuma School to Farm Project,"$5,000.00",Mancos,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,School Community Youth Collaborative,"$7,500.00",Cortez,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,The Bridge Emergency Shelter,"$7,500.00",Cortez,General Operating,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,The NEST,"$5,000.00",Cortez,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Southwest,Montezuma,The Pinon Project,"$7,500.00",Cortez,Program,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Western Slope,Delta,Delta County Citizens for Animal Welfare and Shelter,"$5,000.00",Paonia,General Operating,Humane Animal Services,11/30/13
Anschutz Family Foundation,2013,Western Slope,Delta,Drug Free Delta County,"$5,000.00",Delta,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Western Slope,Delta,Mountain Harvest Festival,"$2,500.00",Paonia,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Western Slope,Delta,The Abraham Connection,"$7,500.00",Delta,General Operating,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,Western Slope,Delta,Valley Food Partnership,"$5,000.00",Hotchkiss,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,Western Slope,Mesa,Community Food Bank,"$7,500.00",Grand Junction,General Operating,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Western Slope,Mesa,Food Bank of the Rockies,"$10,000.00",Palisade,Program,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,Western Slope,Mesa,"Grand Valley Catholic Outreach, Inc.","$7,500.00",Grand Junction,General Operating,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Western Slope,Mesa,Grand Valley Peace & Justice,"$9,250.00",Grand Junction,General Operating,Food/Shelter/Homeless,11/30/13
Anschutz Family Foundation,2013,Western Slope,Mesa,Western Slope Center for Children,"$5,000.00",Grand Junction,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Western Slope,Eagle,English in Action,"$5,000.00",Basalt,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Western Slope,Eagle,"Habitat for Humanity of Eagle and Lake Counties, Inc.","$8,000.00",Avon,Program,Low Income Housing,11/30/13
Anschutz Family Foundation,2013,Western Slope,Eagle,Roaring Fork Outdoor Volunteers,"$5,000.00",Basalt,Program,Youth Development,4/30/13
Anschutz Family Foundation,2013,Western Slope,Eagle,SOS Outreach,"$8,000.00",Avon,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,Advocate Safehouse Project,"$5,000.00",Glenwood Springs,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,"Alpine Legal Services, Inc.","$7,500.00",Glenwood Springs,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,Family Resource Center of the Roaring Fork School District,"$5,000.00",Carbondale,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,Family Visitor Programs,"$7,500.00",Glenwood Springs,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,Literacy Outreach,"$5,000.00",Glenwood Springs,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,"River Center of New Castle, Inc.","$5,000.00",New Castle,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,"Sopris Sun, LLC","$5,000.00",Carbondale,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,Third Street Center,"$10,000.00",Carbondale,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,WindWalkers,"$5,000.00",Carbondale,Program,Disabled,4/30/13
Anschutz Family Foundation,2013,Western Slope,Garfield,YouthZone,"$10,000.00",Glenwood Springs,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Western Slope,Pitkin,The Buddy Program,"$7,500.00",Aspen,General Operating,Youth Development,11/30/13
AV Hunter Trust,2013,San Luis Valley,Alamosa ,"Tu Casa, Inc.","$10,000.00",Alamosa,General Operating,Indigent,8/29/13
AV Hunter Trust,2013,San Luis Valley,Alamosa ,Boys & Girls Club of the San Luis Valley,"$20,000.00",Alamosa,General Operating,Youth,11/18/13
AV Hunter Trust,2013,San Luis Valley,Alamosa ,La Puente Home,"$30,000.00",Alamosa,General Operating,Indigent,11/18/13
AV Hunter Trust,2013,Western Slope,Eagle,Bright Future Foundation,"$5,000.00",Avon,Program,Indigent,8/29/13
AV Hunter Trust,2013,Western Slope,Eagle,SOS Outreach,"$5,000.00",Avon,Program,Youth,11/18/13
AV Hunter Trust,2013,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,"$15,000.00",Breckenridge,Program,Disabled,11/18/13
AV Hunter Trust,2013,Heart of Colorado,Chaffee,Chaffee County Habitat for Humanity,"$5,000.00",Buena Vista,General Operating,Indigent,8/29/13
AV Hunter Trust,2013,Heart of Colorado,Fremont,Loaves and Fishes Ministries of Fremont County,"$5,000.00",Canon City,General Operating,Indigent,5/22/13
AV Hunter Trust,2013,Heart of Colorado,Fremont,Canon Literacy Center,"$2,500.00",Canon City,General Operating,Youth,8/29/13
AV Hunter Trust,2013,Heart of Colorado,Fremont,"Canon City Golden Age Center, Inc.","$10,000.00",Canon City,Program,Seniors,11/18/13
AV Hunter Trust,2013,Heart of Colorado,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Seniors,11/18/13
AV Hunter Trust,2013,San Luis Valley,Conejos,Valle del Sol Community Center,"$10,000.00",Capulin,General Operating,Youth,11/18/13
AV Hunter Trust,2013,Southwest,Montezuma,Four Corners Child Advocacy Center,"$5,000.00",Cortez,General Operating,Youth,8/29/13
AV Hunter Trust,2013,Southwest,Montezuma,Four Corners Child Advocacy Center,"$2,500.00",Cortez,General Operating,Youth,12/19/13
AV Hunter Trust,2013,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,"$7,500.00",Craig,General Operating,Youth,11/18/13
AV Hunter Trust,2013,San Luis Valley,Rio Grande,High Valley Community Center,"$10,000.00",Del Norte,Program,Youth,11/18/13
AV Hunter Trust,2013,Heart of Colorado,Summit,CASA of the Continental Divide,"$5,000.00",Dillon,General Operating,Youth,8/29/13
AV Hunter Trust,2013,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,"$7,500.00",Durango,General Operating,Youth,5/22/13
AV Hunter Trust,2013,Southwest,La Plata,Manna - The Durango Soup Kitchen,"$10,000.00",Durango,General Operating,Indigent,5/22/13
AV Hunter Trust,2013,Southwest,La Plata,Adaptive Sports Association,"$10,000.00",Durango,General Operating,Disabled,11/18/13
AV Hunter Trust,2013,Southwest,La Plata,Alternative Horizons Corporation,"$10,000.00",Durango,Program,Youth,11/18/13
AV Hunter Trust,2013,Southwest,La Plata,Boys & Girls Club of La Plata County,"$5,000.00",Durango,General Operating,Youth,11/18/13
AV Hunter Trust,2013,Southwest,La Plata,La Plata Family Centers Coalition,"$10,000.00",Durango,Program,Youth,11/18/13
AV Hunter Trust,2013,Southwest,La Plata,Sexual Assault Services Organization,"$5,000.00",Durango,Program,Youth,11/18/13
AV Hunter Trust,2013,Northeast,Morgan,"S.A.R.A., Inc.","$5,000.00",Fort Morgan,General Operating,Youth,8/29/13
AV Hunter Trust,2013,Northeast,Morgan,Kids At Their Best,"$7,500.00",Fort Morgan,General Operating,Youth,11/18/13
AV Hunter Trust,2013,Western Slope,Garfield,Advocate Safehouse Project,"$5,000.00",Glenwood Springs,General Operating,Indigent,8/29/13
AV Hunter Trust,2013,Western Slope,Garfield,Family Visitor Programs,"$11,250.00",Glenwood Springs,Program,Youth,8/29/13
AV Hunter Trust,2013,Western Slope,Mesa,Counseling and Education Center,"$7,500.00",Grand Junction,General Operating,Indigent,5/22/13
AV Hunter Trust,2013,Western Slope,Mesa,Mesa County Partners,"$7,500.00",Grand Junction,Program,Youth,5/22/13
AV Hunter Trust,2013,Western Slope,Mesa,CASA of Mesa County,"$5,000.00",Grand Junction,General Operating,Youth,8/29/13
AV Hunter Trust,2013,Western Slope,Mesa,Grand Valley Catholic Outreach,"$5,000.00",Grand Junction,General Operating,Indigent,8/29/13
AV Hunter Trust,2013,Western Slope,Mesa,Western Slope Center for Children,"$5,000.00",Grand Junction,General Operating,Youth,8/29/13
AV Hunter Trust,2013,Western Slope,Mesa,"Mesa County RSVP, Inc.","$15,000.00",Grand Junction,General Operating,Seniors,11/18/13
AV Hunter Trust,2013,Western Slope,Mesa,Western Slope Center for Children,"$2,500.00",Grand Junction,General Operating,Youth,12/19/13
