funder,year,region,county,nonprofit,amount,city,type ,category,
Boettcher Foundation,2012,San Luis Valley,Alamosa,"La Puente, Inc.",10000.00,Alamosa,Capital,,
Caring for Colorado Foundation,2012,San Luis Valley,Conejos,Conejos County Hospital,93389.00,La Jara,Program,Health,990 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.",30000.00,Alamosa,Program,Health,990 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,San Luis Valley,Mineral,Mineral County Public Health,8250.00,Creede,Program,Health,990 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",100000.00,Alamosa,Program,Health,1010 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2013,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,40000.00,Alamosa,Project/Program,,1/17/13
Daniels Fund,2012,San Luis Valley,Alamosa,Adams State College Foundation,2500.00,Alamosa,Program,Youth Development,
Daniels Fund,2012,San Luis Valley,Alamosa,Alamosa Senior Citizens,12000.00,Alamosa,General Operating,Aging,
Daniels Fund,2012,San Luis Valley,Costilla,Canto Al Pueblo,15000.00,San Luis,Program,Youth Development,
Daniels Fund,2012,San Luis Valley,Alamosa,City of Alamosa,20000.00,Alamosa,Capital,Amateur Sports,
Daniels Fund,2012,San Luis Valley,Alamosa,La Puente Home,90000.00,Alamosa,General Operating,Homeless and Disadvantaged,
Daniels Fund,2012,San Luis Valley,Conejos,Little Treasures Early Childhood Center,30000.00,La Jara,Capital,Early Childhood Education,
Daniels Fund,2012,San Luis Valley,Alamosa,South-Central Colorado Seniors,30000.00,Alamosa,Program,Aging,
Daniels Fund,2013,San Luis Valley,Alamosa,Adams State College Foundation,2500.00,Alamosa,Program / Project,Youth Development,5/29/13
Daniels Fund,2013,San Luis Valley,Alamosa,"La Puente Home, Incorporated",90000.00,Alamosa,General Operating Support,Homeless and Disadvantaged,11/18/13
Daniels Fund,2013,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,15000.00,Alamosa,Program / Project,Homeless and Disadvantaged,4/1/13
El Pomar Foundation,2012,San Luis Valley,Alamosa,Boys and Girls Clubs of the San Luis Valley,20000.00,Alamosa,General Operating,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Conejos,Conejos County Library District ,5130.00,La Jara,Program,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Saguache,Northern Saguache County Library District,2500.00,Saguache,Program,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Saguache,Saguache County Community Council,15000.00,Center,Program,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Conejos,Valle del Sol Community Center,3000.00,Capulin,General Operating,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Conejos,Conejos County Hospital Corporation,50000.00,La Jara,Program,Health,
El Pomar Foundation,2012,San Luis Valley,Costilla,Tiny Hands Day Care Center,2500.00,Blanca,General Operating,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Mineral,Creede Repertory Theater,25000.00,Creede,General Operating,Arts & Humanities,
El Pomar Foundation,2012,San Luis Valley,Alamosa,Dedicated Hearts Foundation,10000.00,Alamosa,Program,Human Services ,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.",35000.00,Alamosa,Program,Human Services ,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc.",10000.00,Alamosa,Program,Human Services ,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"Velley-Wide Health Systems, Inc.",10000.00,Alamosa,Program,Human Services ,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.",3000.00,Alamosa,Program,Child and Youth Services,
El Pomar Foundation,2012,San Luis Valley,Alamosa,Wright Stuff Community Foundation,45000.00,Alamosa,Program,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.",5000.00,Alamosa,General Operating,"Housing, Homeless shelters",
El Pomar Foundation,2012,San Luis Valley,Alamosa,"Tu Casa, Inc.",14000.00,Alamosa,Program,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Rio Grande,Rio Grande Family Development Center and Family Services,20000.00,Del Norte,Program,Civic and Community,
El Pomar Foundation,2012,San Luis Valley,Rio Grande,Town of Del Norte,80000.00,Del Norte,Capital,Civic and Community,
El Pomar Foundation,2013,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.",5000.00,Alamosa,General Operating,Civic and Community,12/17/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.",5000.00,Alamosa,General Operating,Civic and Community,12/17/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.",5000.00,Alamosa,General Operating,Civic and Community,12/17/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.",5000.00,Alamosa,General Operating,Civic and Community,12/17/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",2500.00,Del Norte,General Operating,Civic and Community,12/17/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,Monte Vista Community Fund,2500.00,Monte Vista,Program,Education,12/17/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,San Luis Valley Local Foods Coalition,5000.00,Alamosa,Program,Human Services,12/17/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,Adams State University Foundation,10000.00,Alamosa,Program,Education,9/29/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.",7500.00,Alamosa,General Operating,Civic and Community,9/29/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,"La Puente Home, Inc.",5000.00,Alamosa,General Operating,Human Services,9/29/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,Adams State University Foundation,5000.00,Alamosa,Program,Education,8/20/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,Alamosa Fire Department,4990.00,Alamosa,Capital,Human Services,8/20/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,Rio Grande County,16263.00,Del Norte,Program,Human Services,8/20/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,Rio Grande Family Development Center & Family Services,20000.00,Del Norte,Program,Education,8/20/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,Rio Grande Headwaters Land Trust ,25000.00,Monte Vista,General Operating,Civic and Community,8/20/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,San Luis Valley Regional Medical Center,7935.09,Alamosa,Program,Human Services,8/20/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,The Del Norte Fire Protection District - Del Norte VFD,400.00,Del Norte,Capital,Human Services,8/20/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,"Tu Casa, Inc.",25000.00,Alamosa,Capital,Human Services,8/20/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,Adams State University Foundation,45000.00,Alamosa,Program,Education,5/8/13
El Pomar Foundation,2013,San Luis Valley,Rio Grande,Upper Rio Grande Animal Society (URGAS),10000.00,Monte Vista,Program,Civic and Community,5/8/13
El Pomar Foundation,2013,San Luis Valley,Saguache,Rio Grande Watershed Conservation & Education Initiative,2500.00,Center,Program,Civic and Community,2/27/13
El Pomar Foundation,2013,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,5000.00,Alamosa,Program,Education,2/27/13
Helen K. and Arthur E. Johnson Foundation,2012,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.",35000.00,Alamosa,Program,Youth Development,
Helen K. and Arthur E. Johnson Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.",22500.00,Alamosa,Program,"Housing, Homeless Shelters",
Helen K. and Arthur E. Johnson Foundation,2012,San Luis Valley,Alamosa,Tu Casa Incorporated,10000.00,Alamosa,Program,"Housing, Homeless Shelters",
Helen K. and Arthur E. Johnson Foundation,2013,San Luis Valley,Alamosa,Boys And Girls Clubs Of The San Luis Valley Inc,35000.00,Alamosa,General Operating,Youth Development,12/6/13
Helen K. and Arthur E. Johnson Foundation,2013,San Luis Valley,Alamosa,La Puente Home Incorporated,25000.00,Alamosa,General Operating,Comprehensive Assistance,6/20/13
Helen K. and Arthur E. Johnson Foundation,2013,San Luis Valley,Alamosa,Tu Casa Incorporated,10000.00,Alamosa,General Operating,Domestic Violence,12/6/13
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,Children's Garden Early Learning Center,30000.00,Alamosa,General Operating,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Mineral,Creede Early Learning Center,5000.00,Creede,Program,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,Early Childhood Council of the San Luis Valley,70000.00,Alamosa,Program,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,Gingerbread House Early Learning Center,15000.00,Alamosa,Capital,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,La Llave Family Resource Center,25000.00,Alamosa,Program,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Conejos,Little Treasures Preschool,25000.00,La Jara,Capital,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,Sargent Early Learning Center,15000.00,Monte Vista,Program,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,Sargent Early Learning Center,17000.00,Monte Vista,Program,Early Childhood,
Temple Hoyne Buell Foundation,2013,San Luis Valley,Alamosa,Valley-Wide Health Systems,12000.00,Alamosa,Program,Early Childhood,
The Colorado Health Foundation,2012,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,18590.00,Alamosa,Program,Health,
The Colorado Health Foundation,2012,San Luis Valley,Alamosa,San Luis Valley Comprehensive Mental Health Center,500000.00,Alamosa,Program,Health,
The Colorado Health Foundation,2012,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",1000000.00,Alamosa,Program,Health,
The Colorado Trust,2012,San Luis Valley,Rio Grande,Valley Citizen's Foundation for Health Care,10000.00,Del Norte,Directed,,
The Colorado Trust,2013,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,11158.00,Alamosa,Program,Convening for Colorado,2/22/13
The Colorado Trust,2013,San Luis Valley,Rio Grande,"High Valley Community Center, Inc",11970.00,Del Norte,Program,Convening for Colorado,1/16/13
The Colorado Trust,2013,San Luis Valley,Alamosa,Lutheran Hospital Association of the San Luis Valley,1000.00,Alamosa,Program,Health Equity Learning Series,5/22/13
Gates Family Foundation,2013,San Luis Valley,Alamosa,"Tu Casa, Inc.",35000.00,Alamosa,Remodeling,"Well-being of Children, Youth & Families",12/12/12
Adolph Coors Foundation,2009,San Luis Valley,Costilla,Costilla County Senior Citizens Club,25000.00,San Luis,Program,Human Services,
Adolph Coors Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,10000.00,Alamosa,General Operating,Human Services,
Adolph Coors Foundation,2009,San Luis Valley,Alamosa,"San Luis Valley Museum, The",10000.00,Alamosa,Program,"Community, Public Affairs",
Adolph Coors Foundation,2010,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",5000.00,Alamosa,General Operating,Human Services,
Adolph Coors Foundation,2010,San Luis Valley,Alamosa,Boys & Girls Club of the San Luis Valley,15000.00,Alamosa,General Operating,Children and Youth Services,
Adolph Coors Foundation,2011,San Luis Valley,Alamosa,Center for Restorative Programs,7500.00,Alamosa,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Saguache,Crestone Youth Plaza,10000.00,Crestone,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Rio Grande,High Valley Community Center,7500.00,Del Norte,General Operating,,
Adolph Coors Foundation,2012,San Luis Valley,Alamosa,Durango Adult Education Center,7500.00,Durango,General Operating,Education,
Adolph Coors Foundation,2012,San Luis Valley,Saguache,Friends of the Saguache Library,10000.00,Saguache,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,Center for Restorative Programs,5000.00,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Mineral,Creede Arts Council,5000.00,Creede,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Saguache,Crestone Youth Programs,5000.00,Crestone,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Rio Grande,High Valley Community Center,5000.00,Del Norte,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",10000.00,Alamosa,General Operating,Human Services,
Anschutz Family Foundation,2009,San Luis Valley,Costilla,Rio Culebra Growers Educational Corporation,5000.00,San Luis,Program,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Saguache,ScSEED,5000.00,Moffat,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,SLV Immigrant Resource Center,5000.00,Alamosa,General Operating,,
Anschutz Family Foundation,2009,San Luis Valley,Conejos,Valle del Sol Community Center,5000.00,Capulin,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,San Luis Valley,Mineral,Creede Arts Council,5000.00,Creede,Program,"Community, Public Affairs",
Anschutz Family Foundation,2010,San Luis Valley,Conejos,Little Treasures Preschool,5000.00,La Jara,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,San Luis Valley,Alamosa,"Tu Casa, Inc.",5000.00,Alamosa,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,San Luis Valley,Alamosa,Boys and Girls Clubs of the San Luis Valley Inc.,5000.00,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Rio Grande,High Valley Community Center,5000.00,Del Norte,Program,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Conejos,Little Treasures Preschool,5000.00,La Jara,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Saguache,Crestone Musical Festival,5000.00,Crestone,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,San Luis Valley,Saguache,ScSEED,5000.00,Villa Grove,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,"La Puente Home, Inc.",10000.00,Alamosa,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,SLVIRC,5000.00,Alamosa,General Operating,Legal Services,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,Alamosa Senior Center,5000.00,Alamosa,Capital,,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,"Tu Casa, Inc.",5000.00,Alamosa,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,Center for Restorative Programs,5000.00,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Mineral,"Creede Repertory Theatre, Inc.",5000.00,Creede,Program,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Saguache,Crestone Youth Place,5000.00,Crestone,General Operating,Children and Youth Services,
Boettcher Foundation,2009,San Luis Valley,Alamosa,Adam's State College,18944.00,Alamosa,Student Aid/Scholarship,Education,
Boettcher Foundation,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",10000.00,Crestone,Capital,,
Boettcher Foundation,2009,San Luis Valley,Alamosa,Great Sand Dunes National Park & Preserve,3000.00,Mosca,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Saguache,Kundalini,3000.00,Crestone,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Alamosa,"La Puente, Inc.",5000.00,Alamosa,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Costilla,Mariachi San Luis,1500.00,San Pablo,General Operating,Education,
Boettcher Foundation,2009,San Luis Valley,Mineral,Shumei International Institute,1000.00,Crestone,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Costilla,Sierra Grande School District R-30,25000.00,Blanca,Capital,,
Boettcher Foundation,2009,San Luis Valley,Mineral,The Spiritual Life Institute,1000.00,Crestone,General Operating,,
Boettcher Foundation,2010,San Luis Valley,Alamosa,Adams State College,27060.00,Alamosa,Student Aid/Scholarship,Education,
Boettcher Foundation,2010,San Luis Valley,Costilla,Costilla County Senior Citizens Club,25000.00,San Luis,Capital,,
Boettcher Foundation,2010,San Luis Valley,Mineral,Creede Repertory Theatre,25000.00,Creede,Capital,,
Boettcher Foundation,2010,San Luis Valley,Alamosa,"La Puente, Inc.",5000.00,Alamosa,General Operating,,
Boettcher Foundation,2010,San Luis Valley,Rio Grande,Rio Grande Headwaters Land Trust,1000.00,Del Norte,General Operating,,
Boettcher Foundation,2011,San Luis Valley,Alamosa,Adams State College,27016.00,Alamosa,Student Aid/Scholarship,Education,
Boettcher Foundation,2011,San Luis Valley,Alamosa,"La Puente Home, Inc.",15000.00,Alamosa,Capital,,
Boettcher Foundation,2011,San Luis Valley,Rio Grande,Rio Grande Headwaters Land Trust,2500.00,Del Norte,General Operating,,
Boettcher Foundation,2011,San Luis Valley,Saguache,Town of Crestone,25000.00,Crestone,Capital,,
Caring for Colorado Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",30000.00,Alamosa,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Mineral,Mineral County Board of County Commissioners,10000.00,Creede,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,48130.00,Alamosa,General Operating,,
Caring for Colorado Foundation,2009,San Luis Valley,Alamosa,Valley-Wide Health Services Inc.,63266.00,Alamosa,General Operating,,
Caring for Colorado Foundation,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",30000.00,Alamosa,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,San Luis Valley,Alamosa,San Luis Valley Regional Medical Center,47500.00,Alamosa,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,San Luis Valley,Alamosa,Adams State College,79878.00,Alamosa,Program,Education,
Caring for Colorado Foundation,2011,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,49692.00,Alamosa,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",100000.00,Alamosa,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",100000.00,Alamosa,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.",175000.00,Alamosa,Program,Health                                                                     ,
Daniels Fund,2009,San Luis Valley,Alamosa,Alamosa School District RE-11J,15000.00,Alamosa,Program,Education,
Daniels Fund,2009,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",10000.00,Alamosa,General Operating,"Community, Public Affairs",
Daniels Fund,2009,San Luis Valley,Alamosa,"Boys & Girls Clubs of the San Luis Valley, Inc.",55000.00,Alamosa,General Operating,Children and Youth Services,
Daniels Fund,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",8000.00,Crestone,Program,Children and Youth Services,
Daniels Fund,2009,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",10000.00,Del Norte,Program,Children and Youth Services,
Daniels Fund,2009,San Luis Valley,Saguache,Saguache County Public Library,8000.00,Saguache,Program,"Community, Public Affairs",
Daniels Fund,2009,San Luis Valley,Saguache,Town of Crestone,25000.00,Crestone,Capital,"Housing, Homeless shelters",
Daniels Fund,2010,San Luis Valley,Conejos,Antonito Senior Citizens Association,5000.00,Antonito,General Operating,"Community, Public Affairs",
Daniels Fund,2010,San Luis Valley,Conejos,Antonito Senior Citizens Association,2500.00,Antonito,General Operating,"Community, Public Affairs",
Daniels Fund,2010,San Luis Valley,Conejos,"Northerners Senior Citizens, Inc",5000.00,La Jara,General Operating,"Community, Public Affairs",
Daniels Fund,2010,San Luis Valley,Alamosa,"La Puente Home, Inc.",90000.00,Alamosa,General Operating,"Housing, Homeless shelters",
Daniels Fund,2010,San Luis Valley,Rio Grande,City of Monte Vista,75000.00,Monte Vista,Program,Children and Youth Services,
Daniels Fund,2011,San Luis Valley,Alamosa,Alamosa School District RE-11J,25000.00,Alamosa,Program,Education,
Daniels Fund,2011,San Luis Valley,Alamosa,Alamosa School District RE-11J,2500.00,Alamosa,Program,Education,
Daniels Fund,2011,San Luis Valley,Alamosa,"La Puente Home, Inc.",90000.00,Alamosa,General Operating,"Housing, Homeless shelters",
Daniels Fund,2011,San Luis Valley,Alamosa,Adams State College Foundation,2500.00,Alamosa,Program,Children and Youth Services,
Daniels Fund,2011,San Luis Valley,Rio Grande,"High Valley Community Center, Inc.",12000.00,Del Norte,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",5000.00,Alamosa,General Operating,Human Services,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Beaver Creek Camp Commission,10000.00,South Fork,Capital,Disabled Persons,
El Pomar Foundation,2009,San Luis Valley,Conejos,Capulin Fire Department,10000.00,Capulin,Capital,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Costilla,Centennial School District R-1,10000.00,San Luis,Other,Education,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,City of Monte Vista,2500.00,Monte Vista,Other,Economic Development      ,
El Pomar Foundation,2009,San Luis Valley,Mineral,Creede Repertory Theatre,25000.00,Creede,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Saguache,"Crestone Performances, Inc.",2500.00,Crestone,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Costilla,Saint Andrew Avelino Youth Guild and Family Learning Center,15000.00,Fort Garland,Program,Education,
El Pomar Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,5000.00,Alamosa,General Operating,Minorities,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",15000.00,Alamosa,Program,Human Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc.",10000.00,Alamosa,Program,Human Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Tu Casa, Inc.",15000.00,Alamosa,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Valley-Wide Health Services,  Inc.",10000.00,Alamosa,Program,Health                                                                     ,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Alamosa Community Greenhouse, Inc.",2500.00,Alamosa,General Operating,"Environment, Conservation",
El Pomar Foundation,2009,San Luis Valley,Alamosa,Alamosa School District RE-11J,5000.00,Alamosa,Program,Education,
El Pomar Foundation,2009,San Luis Valley,Alamosa,Boys and Girls Club of the San Luis Valley,10000.00,Alamosa,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Canegie Library- South Fork Branch,7800.00,South Fork,Other,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Alamosa,Center for Restorative Programs,25000.00,Alamosa,Capital,,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,City of Monte Vista,1500.00,Monte Vista,Program,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Conejos,Conejos County Government,10000.00,Conejos,Capital,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Costilla,Costilla County Economic Development Council,12500.00,San Luis,Program,Economic Development      ,
El Pomar Foundation,2009,San Luis Valley,Mineral,Creede Arts Council,2500.00,Credence,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Mineral,"Creede Repertory Theatre, Inc.",1500.00,Credence,Not Provided,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",5000.00,Crestone,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Alamosa,"Hospice Del Valle, Inc.",2200.00,Alamosa,General Operating,Hospice,
El Pomar Foundation,2009,San Luis Valley,Rio Grande,"Monte Vista Community Center, Inc.",15000.00,Monte Vista,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,San Luis Valley,Rio Grande,Mountain Trails Camp,10000.00,Monte Vista,Program,Children and Youth Services,
El Pomar Foundation,2009,San Luis Valley,Saguache,"Crestone Performances, Inc.",2500.00,Crestone,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,San Luis Valley,Conejos,"Notherners Senior Citizens Association, Inc.",1500.00,La Jara,Program,Human Services,
