funder,year,region,county,nonprofit,amount,city,type,category
Anschutz Family Foundation,2011,Northwest,Routt,Northwest Colorado Rural Philanthropy Days Interim Program,5000.00,Steamboat Springs,Program,
Anschutz Family Foundation,2011,Northwest,Routt,Community Cultivation Program,5000.00,Steamboat Springs,Capital,Disabled Persons
Anschutz Family Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2011,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Routt,Yampatika,5000.00,Steamboat Springs,Program,Children and Youth Services
Anschutz Family Foundation,2012,Northwest,Routt,Advocates Building Peaceful Communities,5000.00,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2012,Northwest,Routt,Integrated Community,5000.00,Steamboat Springs,Program,"Community, Public Affairs"
Anschutz Family Foundation,2012,Northwest,Routt,"Northwest Colorado Visiting Nurse Assn., Inc.",5000.00,Steamboat Springs,Program,"Community, Public Affairs"
Anschutz Family Foundation,2012,Northwest,Routt,Northwest Rocky Mountain CASA,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2012,Northwest,Routt,Partners in Routt County,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2012,Northwest,Routt,"Young Tracks, Inc.",5000.00,Steamboat Springs,General Operating,Children and Youth Services
Boettcher Foundation,2010,Northwest,Grand,Fraser Valley Recreation Foundation,75000,Winter Park,Capital,
Boettcher Foundation,2010,Northwest,Grand,Rocky Mountain Repertory Theatre,50000,Grand Lake,Capital,
Boettcher Foundation,2011,Northwest,Grand,National Sports Center for the Disabled,3000,Winter Park,General Operating,Disabled Persons
Boettcher Foundation,2011,Northwest,Grand,Rocky Mountain Repertory Theatre - Grand Lake,3000,Grand Lake,General Operating,
Boettcher Foundation,2009,Northwest,Jackson,North Park School District R-1,50000.00,Walden,Capital,
Boettcher Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services
Boettcher Foundation,2010,Northwest,Moffat,The Memorial Hospital Foundation,50000.00,Craig,Capital,
Boettcher Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,50000.00,Rangely,Capital,Education
Boettcher Foundation,2010,Northwest,Rio Blanco,Meeker Food Bank,10000.00,Meeker,Capital,
Boettcher Foundation,2009,Northwest,Routt,East Routt Library District,25000.00,Steamboat Springs,Capital,
Boettcher Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,75000.00,Steamboat Springs,Capital,
Boettcher Foundation,2012,Northwest,Routt,Horizons Specialized Services,20000.00,Steamboat Springs,Capital,Disabled Persons
Boettcher Foundation,2012,Northwest,Routt,Tread of Pioneers Museum,20000.00,Steamboat Springs,Capital,"Arts, Culture & Humanities "
Bonfils Stanton Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,12500.00,Steamboat Springs,Program,Children and Youth Services
Bonfils Stanton Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",5000.00,Steamboat Springs,Capital,Health                                                                     
Bonfils Stanton Foundation,2010,Northwest,Routt,Rocky Mountain Youth Corps,12500.00,Steamboat Springs,Student Aid/Scholarship,
Bonfils Stanton Foundation,2011,Northwest,Routt,Come Let's Dance,9000.00,Steamboat Springs,Program,
Caring for Colorado Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",25000,Hot Sulphur Springs,Program,Health                                                                     
Caring for Colorado Foundation,2011,Northwest,Grand,Middle Park Medical Foundation,50000,Kremmling,Capital,Health                                                                     
Caring for Colorado Foundation,2012,Northwest,Grand,"Grand County Rural Health Network, Inc.",30000,Hot Sulphur Springs,Not Provided,Health
Caring for Colorado Foundation,2010,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",80038.00,Craig,Program,
Caring for Colorado Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",36715.00,Craig,Capital,
Caring for Colorado Foundation,2011,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",81979.00,Craig,Program,Health                                                                     
Caring for Colorado Foundation,2011,Northwest,Moffat,Northwest Colorado Dental Coalition,42000.00,Craig,Program,Health                                                                     
Caring for Colorado Foundation,2012,Northwest,Moffat,Memorial Hospital Foundation,50000.00,Craig,Not Provided,Health
Caring for Colorado Foundation,2009,Northwest,Rio Blanco,Rangely District Hospital,25000.00,Rangely,General Operating,Health                                                                     
Caring for Colorado Foundation,2009,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",50000.00,Steamboat Springs,General Operating,
Caring for Colorado Foundation,2010,Northwest,Routt,Colorado Nonprofit Development,25500.00,Steamboat Springs,Program,
Caring for Colorado Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurses Association, Inc.",50000.00,Steamboat Springs,Program,Health                                                                     
Caring for Colorado Foundation,2011,Northwest,Routt,"Centennial Mental Health Center, Inc.",50000.00,Sterling,Program,Health                                                                     
Daniels Fund,2009,Northwest,Grand,Fraser Creative Learning Center,3000,Fraser,Program,Education
Daniels Fund,2010,Northwest,Grand,Grand County Council on Aging,4929,Granby,Capital,"Community, Public Affairs"
Daniels Fund,2010,Northwest,Grand,Grand Futures Prevention Coalition,25000,Granby,Program,Health                                                                     
Daniels Fund,2011,Northwest,Grand,"Heart of the Mountains Volunteer Hospice, Inc.",15000,Hot Sulphur Springs,General Operating,Hospice
Daniels Fund,2012,Northwest,Grand,Grand County Council on Aging,10000,Granby,Program,"Community, Public Affairs"
Daniels Fund,2010,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services
Daniels Fund,2010,Northwest,Rio Blanco,North Routt Preschool,8000.00,Clark,Other,Children and Youth Services
Daniels Fund,2009,Northwest,Routt,"Horizons Specialized Services, Inc.",10000.00,Steamboat Springs,General Operating,Disabled Persons
Daniels Fund,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,150000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2009,Northwest,Routt,Partners in Routt County,12500.00,Steamboat Springs,Program,Children and Youth Services
Daniels Fund,2009,Northwest,Routt,Rocky Mountain Youth Corps,15000.00,Steamboat Springs,General Operating,Children and Youth Services
Daniels Fund,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",150000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2010,Northwest,Routt,Lift-Up of Routt County,7200.00,Steamboat Springs,Program,"Housing, Homeless shelters"
Daniels Fund,2010,Northwest,Routt,Partners in Routt County,12000.00,Steamboat Springs,Program,Children and Youth Services
Daniels Fund,2011,Northwest,Routt,Grand Futures Prevention Coalition,25000.00,Steamboat Springs,General Operating,Health                                                                     
Daniels Fund,2011,Northwest,Routt,"Horizon Specialized Services, Inc.",15000.00,Steamboat Springs,Program,Disabled Persons
Daniels Fund,2011,Northwest,Routt,Northwest Colorado Boces,30000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2011,Northwest,Routt,Partners in Routt County,12000.00,Steamboat Springs,Program,Children and Youth Services
Daniels Fund,2011,Northwest,Routt,Rocky Mountain Youth Corps,18000.00,Steamboat Springs,Program,Children and Youth Services
Daniels Fund,2012,Northwest,Routt,"Routt County Council on Aging, Inc.",10000.00,Steamboat Springs,Program,"Community, Public Affairs"
El Pomar Foundation,2009,Northwest,Grand,Rocky Mountain Repertory Theatre,10000,Grand Lake,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2009,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,
El Pomar Foundation,2009,Northwest,Grand,Mountain Family Center,10000,Hot Sulphur Springs,Program,Health                                                                     
El Pomar Foundation,2010,Northwest,Grand,Advocates Victim Assistance Team,5000,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services"
El Pomar Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Granby,General Operating,Health                                                                     
El Pomar Foundation,2011,Northwest,Grand,Mountain Family Cneter,10000,Hot Sulphur Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Grand,Advocates Victim Assistance Team,5000,Hot Sulphur Springs,General Operating,Human Services
El Pomar Foundation,2012,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Hot Sulphur Springs,General Operating,Health
El Pomar Foundation,2012,Northwest,Grand,Grand Huts Association,2500,Fraser,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Grand,Mountain Family Center,10000,Hot Sulphur Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Grand,Mountain Family Center,10000,Hot Sulphur Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Grand,Mountain Family Center,10000,Hot Sulphur Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Grand,Rocky Mountain Repertory Theatre,10000,Grand Lake,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2012,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,"Community, Public Affairs"
El Pomar Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000.00,Walden,General Operating,Health                                                                     
El Pomar Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000.00,Walden,General Operating,Health                                                                     
El Pomar Foundation,2012,Northwest,Jackson,"North Park Medical Clinic, Inc.",1500.00,Walden,General Operating,Health
El Pomar Foundation,2012,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000.00,Walden,General Operating,Health
El Pomar Foundation,2009,Northwest,Moffat,Memorial Hospital of Craig Foundation,30000.00,Craig,Program,Health                                                                     
El Pomar Foundation,2010,Northwest,Moffat,Yampa Valley Partners,10000.00,Craig,General Operating,"Community, Public Affairs"
El Pomar Foundation,2010,Northwest,Moffat,Love Inc of the Yampa Valley,5000.00,Craig,Program,Human Services
El Pomar Foundation,2010,Northwest,Moffat,Advocates Crisis Support Services,10000.00,Craig,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,Northwest,Moffat,Boys and Girls Club of Craig,2500.00,Craig,Program,Children and Youth Services
El Pomar Foundation,2010,Northwest,Moffat,Memorial Hospital of Craig Foundation,1500.00,Craig,General Operating,Health                                                                     
El Pomar Foundation,2011,Northwest,Moffat,Boys and Girls Clubs of Northwest Colorado,15000.00,Craig,Program,Children and Youth Services
El Pomar Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,15000.00,Craig,Other,Health                                                                     
El Pomar Foundation,2011,Northwest,Moffat,Community Budget Center of Craig,5000.00,Craig,Program,Emergency Assistance      
El Pomar Foundation,2011,Northwest,Moffat,Love Inc. of the Yampa Valley,5000.00,Craig,Program,Human Services
El Pomar Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,1500.00,Craig,General Operating,Health                                                                     
El Pomar Foundation,2012,Northwest,Moffat,Advocates - Crisis Support Services,10000.00,Craig,Program,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Advocates - Crisis Support Services,2000.00,Craig,Program,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Boys & Girls Club of Northwest Colorado,2500.00,Craig,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Moffat,Boys & Girls Club of Northwest Colorado,15000.00,Craig,Program,Education
El Pomar Foundation,2012,Northwest,Moffat,Boys & Girls Club of Northwest Colorado,5000.00,Craig,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Moffat,Community Budget Center of Craig,5000.00,Craig,Program,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Community Budget Center of Craig,7500.00,Craig,Program,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Friends of Moffat County Education,2000.00,Craig,General Operating,Education
El Pomar Foundation,2012,Northwest,Moffat,Love Inc. of the Yampa Valley,5000.00,Craig,General Operating,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Love Inc. of the Yampa Valley,5000.00,Craig,Program,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Love Inc. of the Yampa Valley,1500.00,Craig,Program,Human Services
El Pomar Foundation,2012,Northwest,Moffat,Moffat County High School,5000.00,Craig,Program,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Moffat,"Northwest Colorado Dental Coalition, Inc.",10000.00,Craig,General Operating,Health
El Pomar Foundation,2012,Northwest,Moffat,The Memorial Hospital of Craig Foundation,1500.00,Craig,Program,Health
El Pomar Foundation,2012,Northwest,Moffat,The Memorial Hospital of Craig Foundation,1500.00,Craig,General Operating,Health
El Pomar Foundation,2012,Northwest,Moffat,The Memorial Hospital of Craig Foundation,1500.00,Craig,General Operating,Health
El Pomar Foundation,2012,Northwest,Moffat,The Memorial Hospital of Craig Foundation,15000.00,Craig,Capital,Health
El Pomar Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,30000.00,Rangely,Student Aid/Scholarship,Education
El Pomar Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1500.00,Rangely,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Rio Blanco,Colorado Northwestern Community College,30000.00,Rangely,Program,Education
El Pomar Foundation,2012,Northwest,Rio Blanco,Human Resources Center,1500.00,Rangely,General Operating,Human Services
El Pomar Foundation,2012,Northwest,Rio Blanco,"Rangely Food Bank, Inc.",1000.00,Rangely,Program,Human Services
El Pomar Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,5000.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2009,Northwest,Routt,Hayden School District RE-1,15000.00,Hayden,Capital,Education
El Pomar Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,10000.00,Steamboat Springs,Capital,Health                                                                     
El Pomar Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services
El Pomar Foundation,2009,Northwest,Routt,Strings in the Mountains,15000.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2009,Northwest,Routt,Yampa Valley Community Foundation,5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,37350.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2009,Northwest,Routt,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),15000.00,Steamboat Springs,Program,Emergency Assistance      
El Pomar Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,2500.00,Steamboat Springs,Program,Children and Youth Services
El Pomar Foundation,2010,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Education
El Pomar Foundation,2010,Northwest,Routt,Yampa Valley Medical Center,35000.00,Steamboat Springs,Other,Health                                                                     
El Pomar Foundation,2010,Northwest,Routt,Lift-Up of Routt County,5000.00,Steamboat Springs,Program,Emergency Assistance      
El Pomar Foundation,2010,Northwest,Routt,Advocates Against Battering and Abuse dba Advocates Building Peaceful Communities,10000.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2011,Northwest,Routt,"Community Agriculture Alliance, Inc.",5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2011,Northwest,Routt,Steamboat Institute,50000.00,Steamboat Springs,Program,"Community, Public Affairs"
El Pomar Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,Program,Health                                                                     
El Pomar Foundation,2011,Northwest,Routt,Partners in Routt County,2500.00,Steamboat Springs,Program,Children and Youth Services
El Pomar Foundation,2011,Northwest,Routt,Lift-Up of Routt County,5000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2011,Northwest,Routt,Hayden School District Re-1,50000.00,Hayden,Other,Education
El Pomar Foundation,2012,Northwest,Routt,Advocates Against Battering and Abuse,15000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,Advocates Against Battering and Abuse,5000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,Advocates Against Battering and Abuse,10000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,"Community Agriculture Alliance, Inc.",5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Routt,"Friends of Perry-Mansfield, Inc.",2500.00,Steamboat Springs,Program,"Arts, Culture & Humanities "
El Pomar Foundation,2012,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,Human Services
El Pomar Foundation,2012,Northwest,Routt,Hayden School District RE-1,15000.00,Hayden,Capital,Education
El Pomar Foundation,2012,Northwest,Routt,Hayden School District RE-1,50000.00,Hayden,Capital,Education
El Pomar Foundation,2012,Northwest,Routt,"Horizons Specialized Services, Inc.",15000.00,Steamboat Springs,Capital,Human Services
El Pomar Foundation,2012,Northwest,Routt,Lift Up of Routt County,15000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,Lift Up of Routt County,5000.00,Steamboat Springs,General Operating,Human Services
El Pomar Foundation,2012,Northwest,Routt,Lift Up of Routt County,5000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,Lift Up of Routt County,7500.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,North Routt Community Charter School,2500.00,Clark,General Operating,Education
El Pomar Foundation,2012,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Education
El Pomar Foundation,2012,Northwest,Routt,Northwest Colorado Visiting Nurse Association,10000.00,Steamboat Springs,Capital,Health
El Pomar Foundation,2012,Northwest,Routt,Northwest Colorado Visiting Nurse Association,10000.00,Steamboat Springs,General Operating,Health
El Pomar Foundation,2012,Northwest,Routt,Partners in Routt County,2500.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,Rocky Mountain Youth Corps,2500.00,Steamboat Springs,Program,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Routt,"Routt County Council on Aging, Inc.",5000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2012,Northwest,Routt,Steamboat Institute,5000.00,Steamboat Springs,Program,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Routt,Strings Music Festival,15000.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2012,Northwest,Routt,Tread of Pioneers Historical Commission,10000.00,Steamboat Springs,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2012,Northwest,Routt,Yampa Valley Community Foundation,5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Routt,Yampa Valley Medical Center,35000.00,Steamboat Springs,Capital,Health
El Pomar Foundation,2012,Northwest,Routt,Yampa Valley Partners,10000.00,Craig,General Operating,"Community, Public Affairs"
El Pomar Foundation,2012,Northwest,Routt,Yampa Valley Partners,3000.00,Craig,General Operating,"Community, Public Affairs"
Gates Family Foundation,2009,Northwest,Grand,Fraser Valley Recreation,50000,Winter Park,Capital,"Environment, Conservation"
Gates Family Foundation,2010,Northwest,Grand,Rocky Mountain Repertory Theatre,200000,Grand Lake,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2009,Northwest,Moffat,Yampa Valley Partners,25000.00,Craig,General Operating,"Community, Public Affairs"
Gates Family Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services
Gates Family Foundation,2011,Northwest,Rio Blanco,Rio Blanco County 4-H,50000.00,Meeker,Capital,Children and Youth Services
Gates Family Foundation,2009,Northwest,Routt,Hayden School District RE-1,75000.00,Hayden,Capital,Education
Gates Family Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,100000.00,Steamboat Springs,Capital,Health                                                                     
Gates Family Foundation,2010,Northwest,Routt,North Routt Community Charter School,200000.00,Clark,Capital,Education
Gates Family Foundation,2010,Northwest,Routt,North Routt Preschool,15000.00,Clark,Capital,Education
