funder,year,region,county,nonprofit,amount,city,type,category
El Pomar Foundation,2009,Northwest,Grand,Mountain Family Center,10000.00,Hot Sulphur Springs,Program,Health                                                                     
El Pomar Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,2500.00,Steamboat Springs,Program,Children and Youth Services
El Pomar Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,30000.00,Rangely,Student Aid/Scholarship,Education
El Pomar Foundation,2009,Northwest,Moffat,Memorial Hospital of Craig Foundation,30000.00,Craig,Program,Health                                                                     
El Pomar Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000.00,Walden,General Operating,Health                                                                     
El Pomar Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000.00,Walden,General Operating,Health                                                                     
Gates Family Foundation,2009,Northwest,Grand,Fraser Valley Recreation,50000.00,Winter Park,Capital,"Environment, Conservation"
Gates Family Foundation,2009,Northwest,Routt,Hayden School District RE-1,75000.00,Hayden,Capital,Education
Gates Family Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,100000.00,Steamboat Springs,Capital,Health                                                                     
Gates Family Foundation,2009,Northwest,Moffat,Yampa Valley Partners,25000.00,Craig,General Operating,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,25000.00,Craig,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000.00,Steamboat Springs,Program,Health                                                                     
Kenneth King Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig,5000.00,Craig,General Operating,Children and Youth Services
Kenneth King Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig,1000.00,Craig,Other,Children and Youth Services
Kenneth King Foundation,2009,Northwest,Moffat,Maybell Elementary School,1000.00,Maybell,Capital,Education
Kenneth King Foundation,2009,Northwest,Moffat,Maybell Elementary School,1000.00,Maybell,Capital,Education
Kenneth King Foundation,2009,Northwest,Routt,"Night Walker Enterprises, Inc.",1000.00,Steamboat Springs,Not Provided,
Kenneth King Foundation,2009,Northwest,Rio Blanco,Rio Blanco Colorado Historical Society,1500.00,Meeker,Other,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,25000.00,Craig,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2009,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,Neighborhood Development
Temple Hoyne Buell Foundation,2009,Northwest,Grand,Fraser Creative Learning Center and Day Care,20000.00,Fraser,General Operating,Education
Temple Hoyne Buell Foundation,2009,Northwest,Grand,Fraser Creative Learning Center and Day Care,4000.00,Fraser,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2009,Northwest,Rio Blanco,Human Resource Center,5600.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2009,Northwest,Rio Blanco,Human Resource Center,2000.00,Rangely,Other,Children and Youth Services
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Moffat County School District Re-1,22000.00,Craig,Other,Education
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Moffat County School District Re-1,8000.00,Craig,Other,Education
Temple Hoyne Buell Foundation,2009,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000.00,Steamboat Springs,Program,Education
Colorado Health Foundation,2009,Northwest,Grand,Grand County Rural Health Network,50000.00,Hot Sulphur Springs,Program,Health                                                                     
Colorado Health Foundation,2009,Northwest,Moffat,"Independent Life Center, Inc.",64000.00,Craig,Program,Health                                                                     
Colorado Health Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",50000.00,Walden,Program,Health                                                                     
Colorado Health Foundation,2009,Northwest,Moffat,"Northwest Colorado Dental Coalition, Inc.",27000.00,Craig,Program,Health                                                                     
Colorado Health Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,15000.00,Steamboat Springs,Program,Health                                                                     
Colorado Health Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,139440.00,Steamboat Springs,Program,Health                                                                     
Colorado Trust,2009,Northwest,Routt,Colorado West Regional Mental Health Center Steamboat,20000.00,Steamboat Springs,Program,Health                                                                     
Colorado Trust,2009,Northwest,Routt,Come Lets Dance,200.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Colorado Trust,2009,Northwest,Moffat,Moffat County Department of Social Services,7500.00,Craig,Program,Health                                                                     
Colorado Trust,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,462000.00,Steamboat Springs,Program,Health                                                                     
Colorado Trust,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,187500.00,Steamboat Springs,Program,Health                                                                     
Colorado Trust,2009,Northwest,Routt,Routt County Department of Human Services,7000.00,Steamboat Springs,Program,Health                                                                     
Adolph Coors Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,15000.00,Craig,General Operating,Children and Youth Services
Adolph Coors Foundation,2010,Northwest,Routt,Northwest CO Visiting Nurse Association,20000.00,Steamboat Springs,General Operating,
Adolph Coors Foundation,2010,Northwest,Routt,Partners in Routt Coutny,7000.00,Steamboat Springs,General Operating,
Adolph Coors Foundation,2010,Northwest,Routt,Steamboat Training Adaptive Recreational Sports,5000.00,Steamboat Springs,General Operating,
Animal Assistance Foundation,2010,Northwest,Routt,Born Free Wildlife,2500.00,Steamboat Springs,Not Provided,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Moffat,Humane Society of Moffat County,5000.00,Craig,Program,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Routt,Humble Ranch Education & Therapy Center,3000.00,Steamboat Springs,Program,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Routt,Routt County Humane Society,9000.00,Steamboat Springs,Program,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Rio Blanco,Town of Rangely Animal Shelter,5000.00,Rangely,Program,Animal Protection and Welfare
Anschutz Family Foundation,2010,Northwest,Moffat,Yampa Valley Partners,2325.00,Craig,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",5000.00,Craig,Program,Disabled Persons
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,2500.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2010,Northwest,Routt,Family Development Center of Steamboat Springs,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Rio Blanco,Giant Step Preschool & Child Care Center,5000.00,Rangely,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Grand,Grand Beginnings,5000.00,Hot Sulphur Springs,Program,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Jackson,North Park School District R-1,7500.00,Walden,Program,Education
Anschutz Family Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Hot Sulphur Springs,General Operating,Health                                                                     
Anschutz Family Foundation,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,5000.00,Craig,General Operating,Health                                                                     
Anschutz Family Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Assn., Inc.",5000.00,Steamboat Springs,General Operating,Hospice
Anschutz Family Foundation,2010,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,Health                                                                     
Anschutz Family Foundation,2010,Northwest,Routt,Integrated Community,5000.00,Steamboat Springs,Program,
Anschutz Family Foundation,2010,Northwest,Grand,The Mountain Family Center,5000.00,Hot Sulphur Springs,General Operating,
Anschutz Family Foundation,2010,Northwest,Grand,Advocates for a Violence-Free Community,5000.00,Hot Sulphur Springs,Program,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2010,Northwest,Routt,Partners in Routt Coutny,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,Yampatika,5000.00,Steamboat Springs,Program,Children and Youth Services
Boettcher Foundation,2010,Northwest,Grand,Fraser Valley Recreation Foundation,75000.00,Winter Park,Capital,
Boettcher Foundation,2010,Northwest,Rio Blanco,Meeker Food Bank,10000.00,Meeker,Capital,
Boettcher Foundation,2010,Northwest,Grand,Rocky Mountain Repertory Theatre,50000.00,Grand Lake,Capital,
Boettcher Foundation,2010,Northwest,Moffat,The Memorial Hospital Foundation,50000.00,Craig,Capital,
Bonfils Stanton Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",5000.00,Steamboat Springs,Capital,Health                                                                     
Bonfils Stanton Foundation,2010,Northwest,Routt,Rocky Mountain Youth Corps,12500.00,Steamboat Springs,Student Aid/Scholarship,
Caring for Colorado Foundation,2010,Northwest,Routt,Colorado Nonprofit Development,25500.00,Steamboat Springs,Program,
Caring for Colorado Foundation,2010,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",80038.00,Craig,Program,
Caring for Colorado Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",25000.00,Hot Sulphur Springs,Program,Health                                                                     
Caring for Colorado Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",36715.00,Craig,Capital,
Caring for Colorado Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurses Association, Inc.",50000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2010,Northwest,Grand,Grand County Council on Aging,4929.00,Granby,Capital,"Community, Public Affairs"
Daniels Fund,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",150000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2010,Northwest,Grand,Grand Futures Prevention Coalition,25000.00,Granby,Program,Health                                                                     
Daniels Fund,2010,Northwest,Rio Blanco,North Routt Preschool,8000.00,Clark,Other,Children and Youth Services
Daniels Fund,2010,Northwest,Routt,Lift-Up of Routt County,7200.00,Steamboat Springs,Program,"Housing, Homeless shelters"
Daniels Fund,2010,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services
Daniels Fund,2010,Northwest,Routt,Partners in Routt County,12000.00,Steamboat Springs,Program,Children and Youth Services
El Pomar Foundation,2010,Northwest,Moffat,Yampa Valley Partners,10000.00,Craig,General Operating,"Community, Public Affairs"
El Pomar Foundation,2010,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Education
El Pomar Foundation,2010,Northwest,Routt,Yampa Valley Medical Center,35000.00,Steamboat Springs,Other,Health                                                                     
El Pomar Foundation,2010,Northwest,Grand,Advocates Victim Assistance Team,5000.00,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,Northwest,Routt,Lift-Up of Routt County,5000.00,Steamboat Springs,Program,Emergency Assistance      
El Pomar Foundation,2010,Northwest,Moffat,Love Inc of the Yampa Valley,5000.00,Craig,Program,Human Services
El Pomar Foundation,2010,Northwest,Moffat,Advocates Crisis Support Services,10000.00,Craig,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,Northwest,Routt,Advocates Against Battering and Abuse dba Advocates Building Peaceful Communities,10000.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,Northwest,Moffat,Boys and Girls Club of Craig,2500.00,Craig,Program,Children and Youth Services
El Pomar Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1500.00,Rangely,General Operating,"Community, Public Affairs"
El Pomar Foundation,2010,Northwest,Moffat,Memorial Hospital of Craig Foundation,1500.00,Craig,General Operating,Health                                                                     
Gates Family Foundation,2010,Northwest,Grand,Rocky Mountain Repertory Theatre,200000.00,Grand Lake,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2010,Northwest,Routt,North Routt Community Charter School,200000.00,Clark,Capital,Education
Gates Family Foundation,2010,Northwest,Routt,North Routt Preschool,15000.00,Clark,Capital,Education
Gates Family Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000.00,Steamboat Springs,General Operating,Health                                                                     
Kenneth King Foundation,2010,Northwest,Routt,Come Lets Dance,1500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2010,Northwest,Routt,Come Lets Dance,500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2010,Northwest,Routt,Humble Ranch Education & Therapy Center,1500.00,Steamboat Springs,General Operating,Health                                                                     
Kenneth King Foundation,2010,Northwest,Rio Blanco,United Methodist Church of Meeker,2500.00,Meeker,General Operating,Human Services
Kenneth King Foundation,2010,Northwest,Routt,Yampa Valley Community Foundation,2500.00,Steamboat Springs,General Operating,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000.00,Steamboat Springs,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2010,Northwest,Routt,North Routt Preschool,20000.00,Clark,Capital,Education
Temple Hoyne Buell Foundation,2010,Northwest,Grand,Church of the Eternal Hills,5000.00,Tabernash,General Operating,Education
Temple Hoyne Buell Foundation,2010,Northwest,Grand,Church of the Eternal Hills,10000.00,Tabernash,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1200.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1000.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,8000.00,Rangely,General Operating,Education
Colorado Health Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",64000.00,Craig,Program,Health                                                                     
Colorado Health Foundation,2010,Northwest,Routt,North Routt Preschool,35000.00,Clark,Program,Health                                                                     
Colorado Health Foundation,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,104000.00,Craig,Program,Health                                                                     
Colorado Health Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",400000.00,Steamboat Springs,Program,Health                                                                     
Colorado Health Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",127696.00,Steamboat Springs,Program,Health                                                                     
Colorado Trust,2010,Northwest,Routt,First Impressions of Routt County,121580.00,Steamboat Springs,Program,Health                                                                     
Colorado Trust,2010,Northwest,Moffat,Moffat County Department of Social Services,178390.00,Craig,Program,Health                                                                     
Colorado Trust,2010,Northwest,Moffat,Moffat County Department of Social Services,5000.00,Craig,Program,Health                                                                     
Colorado Trust,2010,Northwest,Routt,Northwest Colorado Visiting Nurse Association,25000.00,Steamboat Springs,Program,Health                                                                     
Adolph Coors Foundation,2011,Northwest,Routt,Family Resource Center,10000.00,Sterling,General Operating,
Adolph Coors Foundation,2011,Northwest,Routt,Steamboat Springs Pregnancy Resource Center,8000.00,Steamboat Springs,General Operating,
Animal Assistance Foundation,2011,Northwest,Moffat,Humane Society of Moffat County ,2500.00,Craig,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,Northwest,Rio Blanco,Town of Rangely Animal Shelter,5000.00,Rangely,Program,Animal Protection and Welfare
Anschutz Family Foundation,2011,Northwest,Grand,Grand Foundation,5000.00,Winter Park,Program,
Anschutz Family Foundation,2011,Northwest,Routt,Northwest Colorado Rural Philanthropy Days Interim Program,5000.00,Steamboat Springs,Program,
Anschutz Family Foundation,2011,Northwest,Routt,Community Cultivation Program,5000.00,Steamboat Springs,Capital,Disabled Persons
Anschutz Family Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,5000.00,Fraser,Program,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Grand,Grand Beginnings,5000.00,Hot Sulphur Springs,Program,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Grand,Grand Kids,5000.00,Fraser,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Hot Sulphur Springs,General Operating,Health                                                                     
Anschutz Family Foundation,2011,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,Health                                                                     
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Council on Aging, Inc.",4800.00,Granby,Capital,Disabled Persons
Anschutz Family Foundation,2011,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,5000.00,Craig,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Routt,Yampatika,5000.00,Steamboat Springs,Program,Children and Youth Services
Boettcher Foundation,2011,Northwest,Grand,National Sports Center for the Disabled,3000.00,Winter Park,General Operating,Disabled Persons
Boettcher Foundation,2011,Northwest,Grand,Rocky Mountain Repertory Theatre - Grand Lake,3000.00,Grand Lake,General Operating,
Bonfils Stanton Foundation,2011,Northwest,Routt,Come Let's Dance,9000.00,Steamboat Springs,Program,
Caring for Colorado Foundation,2011,Northwest,Routt,"Centennial Mental Health Center, Inc.",50000.00,Sterling,Program,Health                                                                     
Caring for Colorado Foundation,2011,Northwest,Moffat,"Colorado West Regional Mental Health Center, Inc.",81979.00,Craig,Program,Health                                                                     
Caring for Colorado Foundation,2011,Northwest,Grand,Middle Park Medical Foundation,50000.00,Kremmling,Capital,Health                                                                     
Caring for Colorado Foundation,2011,Northwest,Moffat,Northwest Colorado Dental Coalition,42000.00,Craig,Program,Health                                                                     
Daniels Fund,2011,Northwest,Grand,"Heart of the Mountains Volunteer Hospice, Inc.",15000.00,Hot Sulphur Springs,General Operating,Hospice
Daniels Fund,2011,Northwest,Routt,Grand Futures Prevention Coalition,25000.00,Steamboat Springs,General Operating,Health                                                                     
Daniels Fund,2011,Northwest,Routt,"Horizon Specialized Services, Inc.",15000.00,Steamboat Springs,Program,Disabled Persons
Daniels Fund,2011,Northwest,Routt,Northwest Colorado Boces,30000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2011,Northwest,Routt,Partners in Routt County,12000.00,Steamboat Springs,Program,Children and Youth Services
Daniels Fund,2011,Northwest,Routt,Rocky Mountain Youth Corps,18000.00,Steamboat Springs,Program,Children and Youth Services
El Pomar Foundation,2011,Northwest,Moffat,Boys and Girls Clubs of Northwest Colorado,15000.00,Craig,Program,Children and Youth Services
El Pomar Foundation,2011,Northwest,Routt,"Community Agriculture Alliance, Inc.",5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2011,Northwest,Routt,Steamboat Institute,50000.00,Steamboat Springs,Program,"Community, Public Affairs"
El Pomar Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Granby,General Operating,Health                                                                     
El Pomar Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,15000.00,Craig,Other,Health                                                                     
El Pomar Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,Program,Health                                                                     
El Pomar Foundation,2011,Northwest,Routt,Partners in Routt County,2500.00,Steamboat Springs,Program,Children and Youth Services
El Pomar Foundation,2011,Northwest,Moffat,Community Budget Center of Craig,5000.00,Craig,Program,Emergency Assistance      
El Pomar Foundation,2011,Northwest,Routt,Lift-Up of Routt County,5000.00,Steamboat Springs,Program,Human Services
El Pomar Foundation,2011,Northwest,Moffat,Love Inc. of the Yampa Valley,5000.00,Craig,Program,Human Services
El Pomar Foundation,2011,Northwest,Grand,Mountain Family Cneter,10000.00,Hot Sulphur Springs,Program,Human Services
El Pomar Foundation,2011,Northwest,Routt,Hayden School District Re-1,50000.00,Hayden,Other,Education
El Pomar Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,1500.00,Craig,General Operating,Health                                                                     
Gates Family Foundation,2011,Northwest,Routt,Solandt Memorial Hospital,50000.00,Hayden,Capital,"Community, Public Affairs"
Gates Family Foundation,2011,Northwest,Rio Blanco,Rio Blanco County 4-H,50000.00,Meeker,Capital,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2011,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2011,Northwest,Routt,Northwest Colorado Visiting Nurse Association,45000.00,Steamboat Springs,General Operating,Health                                                                     
Kenneth King Foundation,2011,Northwest,Moffat,Boys and Girls Club of Northwest Colorado,5000.00,Craig,General Operating,Children and Youth Services
Kenneth King Foundation,2011,Northwest,Routt,Come Let's Dance,2500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2011,Northwest,Routt,Come Let's Dance,1500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,10000.00,Craig,Capital,Health                                                                     
Kenneth King Foundation,2011,Northwest,Rio Blanco,United Methodist Church of Meeker,2500.00,Meeker,General Operating,Human Services
Kenneth King Foundation,2011,Northwest,Routt,Yampa Valley Community Foundation,500.00,Steamboat Springs,General Operating,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2011,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2011,Northwest,Moffat,Boys & Girls Clubs of Craig,35000.00,Craig,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2011,Northwest,Routt,Steamboat Springs Discovery Learning Center,35000.00,Steamboat Springs,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2011,Northwest,Moffat,"Connections 4 Kids, Moffat County",25000.00,Craig,Student Aid/Scholarship,Children and Youth Services
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,20000.00,Fraser,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Church of the Eternal Hills,15000.00,Tabernash,Other,Education
Temple Hoyne Buell Foundation,2011,Northwest,Rio Blanco,Human Resources Centeer,15000.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Grand Beginnings,14000.00,Hot Sulphur Springs,Program,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Grand County Department of Social Services,10000.00,Hot Sulphur Springs,Program,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Wapiti Child Care Center Parent Organization,7000.00,Fraser,Other,Children and Youth Services
Colorado Health Foundation,2011,Northwest,Routt,Hayden School District Re-1495,10000.00,Hayden,Program,Health                                                                     
Colorado Health Foundation,2011,Northwest,Jackson,"North Park Medical Clinic, Inc.",887500.00,Walden,Program,Health                                                                     
