funder,year,region,county,nonprofit,amount,city
Anschutz Family Foundation,2011,WesternSlope,Mesa,Artspace & Open Studios,3200.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,CASA of Mesa County,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,Mesa County Partnership for Children and Families,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,The Literacy Center/Mesa County Libraries,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,"Black Canyon Boys & Girls Club, Inc.",5000.00,Montrose
Anschutz Family Foundation,2011,WesternSlope,Mesa,Girls on the Run of Western Colorado,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,Colorado Discover Ability,7500.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Montrose,Voices for Children,5000.00,Montrose
Anschutz Family Foundation,2011,WesternSlope,Montrose,End of the Trail Horse Rescue/Sanctuary,5000.00,Olathe
Anschutz Family Foundation,2011,WesternSlope,Montrose,Christ's Kitchen,5000.00,Montrose
Anschutz Family Foundation,2011,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose
Anschutz Family Foundation,2011,WesternSlope,Montrose,The Dolphin House,7500.00,Montrose
Anschutz Family Foundation,2011,WesternSlope,Montrose,"All Points Transit, Inc.",7500.00,Montrose
Anschutz Family Foundation,2011,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway
Anschutz Family Foundation,2011,WesternSlope,San Miguel,Telluride Adaptive Sports Program,5000.00,Telluride
Anschutz Family Foundation,2011,WesternSlope,San Miguel,The Wright Stuff Community Foundation,5000.00,Norwood
Anschutz Family Foundation,2012,WesternSlope,Delta,Spirit Wind Horse Rescue,2500.00,Hotchkiss
Anschutz Family Foundation,2012,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss
Anschutz Family Foundation,2012,WesternSlope,Delta,Families Plus,7500.00,Delta
Anschutz Family Foundation,2012,WesternSlope,Delta,The Abraham Connection,7500.00,Delta
Anschutz Family Foundation,2012,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",7500.00,Eckert
Anschutz Family Foundation,2012,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison
Anschutz Family Foundation,2012,WesternSlope,Gunnison,Paradise Place Community School,5000.00,Crested Butte
Anschutz Family Foundation,2012,WesternSlope,Mesa,CASA of Mesa County,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Child & Migrant Services,5000.00,Palisade
Anschutz Family Foundation,2012,WesternSlope,Mesa,Colorado Discover Ability,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Girls on the Run of Western Colorado,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Grand Valley Peace & Justice,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Mesa County Partners,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Mesa County Partnership for Children and Families,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,St. Mary's Hospital Foundation,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,Grand Junction Community Homeless Shelter,7500.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",7500.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Mesa,"Karis, Inc.",7500.00,Grand Junction
Anschutz Family Foundation,2012,WesternSlope,Montrose,Montrose Regional Library District,5000.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Montrose,Haven House of Montrose,6000.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Montrose,"Black Canyon Boys and Girls Club, Inc.",7000.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Montrose,"All Points Transit, Inc.",7500.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Montrose,Paradox Valley School,7500.00,Paradox
Anschutz Family Foundation,2012,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",7500.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Montrose,The Dolphin House,7500.00,Montrose
Anschutz Family Foundation,2012,WesternSlope,Ouray,"Ouray County Neighbor to Neighbor, Inc.",5000.00,Ouray
Anschutz Family Foundation,2012,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway
Anschutz Family Foundation,2012,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway
Anschutz Family Foundation,2012,WesternSlope,San Miguel,"Angel Baskets, Inc.",5000.00,Telluride
Anschutz Family Foundation,2012,WesternSlope,San Miguel,San Miguel Resource Center,5000.00,Telluride
Boettcher Foundation,2009,WesternSlope,Delta,Colorado FFA Association,1700.00,Hasty
Boettcher Foundation,2009,WesternSlope,Gunnison,Western Colorado Community Foundation,1000.00,Gunnison
Boettcher Foundation,2009,WesternSlope,Gunnison,Crested Butte Land Trust,2500.00,Crested Butte
Boettcher Foundation,2009,WesternSlope,Mesa,Western Colorado Community Foundation,1000.00,Grand Junction
Boettcher Foundation,2009,WesternSlope,Mesa,Mesa State College,24261.00,Grand Junction
Boettcher Foundation,2009,WesternSlope,Mesa,Mesa State College,200000.00,Grand Junction
Boettcher Foundation,2010,WesternSlope,Gunnison,Rocky Mountain Biolog ical Laborato ry,3000.00,Crested Butte
Boettcher Foundation,2010,WesternSlope,Gunnison,Crested Butte Land Trust,5000.00,Crested Butte
Boettcher Foundation,2010,WesternSlope,Gunnison,Western State College,15000.00,Gunnison
Boettcher Foundation,2010,WesternSlope,Gunnison,Marble Charter School,25000.00,Marble
Boettcher Foundation,2010,WesternSlope,Hinsdale,Lake City Area Medical Center,25000.00,Lake City
Boettcher Foundation,2010,WesternSlope,Mesa,Mesa State College,28210.00,Grand Junction
Boettcher Foundation,2010,WesternSlope,Mesa,City of Fruita,75000.00,Fruita
Boettcher Foundation,2010,WesternSlope,Montrose,Colorado FFA Foundation,1170.00,Montrose
Boettcher Foundation,2010,WesternSlope,San Miguel,Telluride Foundation,25000.00,Grand Junction
Boettcher Foundation,2010,WesternSlope,San Miguel,Ah Haa School for the Arts,25000.00,Telluride
Boettcher Foundation,2011,WesternSlope,Gunnison,Crested Butte Land Trust,2500.00,Crested Butte
Boettcher Foundation,2011,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,2500.00,Crested Butte
Boettcher Foundation,2011,WesternSlope,Gunnison,Western State College,15000.00,Gunnison
Boettcher Foundation,2011,WesternSlope,Mesa,The Parenting Place of Western Colorado,10000.00,Grand Junction
Boettcher Foundation,2011,WesternSlope,Mesa,Colorado Mesa University,15000.00,Grand Junction
Boettcher Foundation,2011,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,15000.00,Grand Junction
Boettcher Foundation,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc",40000.00,Grand Junction
Boettcher Foundation,2011,WesternSlope,San Miguel,Telluride Medical Center,25000.00,Telluride
Boettcher Foundation,2012,WesternSlope,Delta,Paonia Public Library Foundation,25000.00,Paonia
Boettcher Foundation,2012,WesternSlope,Gunnison,Crested Butte Land Trust,3000.00,Crested Butte
Boettcher Foundation,2012,WesternSlope,Gunnison,Western State College,15000.00,Gunnison
Boettcher Foundation,2012,WesternSlope,Mesa,Western Colorado Community Foundation,1000.00,Grand Junction
Boettcher Foundation,2012,WesternSlope,Mesa,Mesa State College,24261.00,Grand Junction
Boettcher Foundation,2012,WesternSlope,Mesa,Mesa State College,200000.00,Grand Junction
Boettcher Foundation,2012,WesternSlope,Montrose,Colorado FFA Foundation,1162.00,Montrose
Boettcher Foundation,2012,WesternSlope,Montrose,Montrose Regional Library District,25000.00,Montrose
Boettcher Foundation,2012,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,75000.00,Montrose
Caring for Colorado Foundation,2009,WesternSlope,Gunnison,"Gunnison County Health and Human Services, Multicultural Resource Office",49088.00,Gunnison
Caring for Colorado Foundation,2009,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Hilltop Community Resources,35000.00,Grand Junction
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,40000.00,Grand Junction
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Mesa State College,50000.00,Grand Junction
Caring for Colorado Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",50000.00,Grand Junction
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),56000.00,Grand Junction
Caring for Colorado Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J,37675.00,Montrose
Caring for Colorado Foundation,2009,WesternSlope,San Miguel,Uncompahgre Medical Center,51000.00,Norwood
Caring for Colorado Foundation,2009,WesternSlope,San Miguel,Telluride Foundation,53782.00,Telluride
Caring for Colorado Foundation,2009,WesternSlope,San Miguel,Norwood Fire Protection District,68559.00,Norwood
Caring for Colorado Foundation,2010,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,49088.00,Gunnison
Caring for Colorado Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade
Caring for Colorado Foundation,2010,WesternSlope,Mesa,Mesa State College,33573.00,Grand Junction
Caring for Colorado Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,35000.00,Grand Junction
Caring for Colorado Foundation,2010,WesternSlope,Mesa,Family Health West,100000.00,Fruita
Caring for Colorado Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",100000.00,Grand Junction
Caring for Colorado Foundation,2010,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),100000.00,Grand Junction
Caring for Colorado Foundation,2010,WesternSlope,Montrose,Montrose County Senior Citizens Transportation dba All Points Transit,30000.00,Montrose
Caring for Colorado Foundation,2010,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,50000.00,Montrose
Caring for Colorado Foundation,2010,WesternSlope,San Miguel,The Telluride Medical Center Foundation,10600.00,Telluride
Caring for Colorado Foundation,2010,WesternSlope,San Miguel,Uncompahgre Medical Center,125000.00,Norwood
Caring for Colorado Foundation,2011,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,50000.00,Gunnison
Caring for Colorado Foundation,2011,WesternSlope,Hinsdale,"LCMC Endowment Fund, Inc.",100000.00,Lake City
Caring for Colorado Foundation,2011,WesternSlope,Mesa,"VOANS PACE, Inc. dba Senior CommUnity Care",52000.00,Montrose
Caring for Colorado Foundation,2011,WesternSlope,Montrose,Montrose County School District RE-1J,10473.00,Montrose
Caring for Colorado Foundation,2011,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc. dba All Points Transit",30000.00,Montrose
Caring for Colorado Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,72284.00,Telluride
Caring for Colorado Foundation,2011,WesternSlope,San Miguel,Uncompahgre Combined Clinics dba Uncompahgre Medical Center,100000.00,Norwood
Caring for Colorado Foundation,2012,WesternSlope,Gunnison,Gunnison County Health and Human Services,50000.00,Gunnison
Caring for Colorado Foundation,2012,WesternSlope,Mesa,Hilltop Community Resources,35000.00,Grand Junction
Caring for Colorado Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",39885.00,Grand Junction
Caring for Colorado Foundation,2012,WesternSlope,Montrose,Montrose County Senior Citizens Transportation,35000.00,Montrose
Caring for Colorado Foundation,2012,WesternSlope,Montrose,"Olathe Community Clinic, Inc.",46250.00,Olathe
Caring for Colorado Foundation,2012,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,47940.00,Montrose
Caring for Colorado Foundation,2012,WesternSlope,San Miguel,Tri-County Health Network,69595.00,Telluride
Caring for Colorado Foundation,2012,WesternSlope,San Miguel,Uncompahgre Combined Clinics,100000.00,Norwood
Colorado Health Foundation,2012,Western Slope,Delta,Delta County School District 50(J),406897.00,Delta
Colorado Health Foundation,2012,Western Slope,Mesa,"Mesa County RSVP, Inc.",120000.00,Grand Junction
Colorado Health Foundation,2012,Western Slope,Mesa,Hospice and Palliative Care of Western Colorado,188000.00,Grand Junction
Colorado Health Foundation,2012,Western Slope,Mesa,St. Mary's Family Medical Center,199100.00,Grand Junction
Colorado Health Foundation,2012,Western Slope,Mesa,Mesa County Valley School District 51,275000.00,Grand Junction
Colorado Health Foundation,2012,Western Slope,Montrose,"Midwestern Colorado Mental Health Center, Inc",95171.00,Montrose
Colorado Health Foundation,2012,Western Slope,Montrose,"RSVP Colorado West, Inc.",120000.00,Montrose
Colorado Health Foundation,2012,Western Slope,Montrose,Senior CommUnity Care,170000.00,Montrose
Colorado Health Foundation,2012,Western Slope,Montrose,"Midwestern Colorado Mental Health Center, Inc",189162.00,Montrose
Colorado Health Foundation,2012,Western Slope,Montrose,Olathe Community Clinic,242267.00,Olathe
Colorado Health Foundation,2012,Western Slope,San Miguel,The Wright Stuff Community Foundation,10000.00,Norwood
Colorado Health Foundation,2012,Western Slope,San Miguel,Norwood School District,25000.00,Norwood
Colorado Health Foundation,2012,Western Slope,San Miguel,Tri-County Health Network,150000.00,Telluride
Colorado Health Foundation,2012,Western Slope,San Miguel,Uncompahgre Medical Center,254000.00,Norwood
Daniels Fund,2009,WesternSlope,Delta,All American Families,5000.00,Delta
Daniels Fund,2009,WesternSlope,Delta,Delta County,125000.00,Delta
Daniels Fund,2009,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte
Daniels Fund,2009,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison
Daniels Fund,2009,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction
Daniels Fund,2009,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction
Daniels Fund,2009,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",15000.00,Grand Junction
Daniels Fund,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction
Daniels Fund,2009,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",20000.00,Grand Junction
Daniels Fund,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,20904.00,Grand Junction
Daniels Fund,2009,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction
Daniels Fund,2009,WesternSlope,Montrose,Dream Catcher Therapy Center Incorporated,5000.00,Olathe
Daniels Fund,2009,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose
Daniels Fund,2009,WesternSlope,Montrose,Christ's Kitchen,10000.00,Montrose
Daniels Fund,2009,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",15000.00,Montrose
Daniels Fund,2009,WesternSlope,Montrose,"Delta Montrose Youth Services, Inc.",20000.00,Montrose
Daniels Fund,2009,WesternSlope,Montrose,"Sharing Ministries, Inc.",31000.00,Montrose
Daniels Fund,2009,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood
Daniels Fund,2010,WesternSlope,Delta,"Senior CommUnity Meals, Inc.",20000.00,Eckert
Daniels Fund,2010,WesternSlope,Delta,Delta County School District 50-J,35000.00,Delta
Daniels Fund,2010,WesternSlope,Delta,Delta County Meth Task Force,40000.00,Delta
Daniels Fund,2010,WesternSlope,Mesa,Community Friends of Collbran Job Corps,5000.00,Collbran
Daniels Fund,2010,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor,10000.00,Grand Junction
