funder,region,county,nonprofit,amount,city,type,category,year
The Colorado Trust,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,20000.00,Grand Junction,Program,Health ,2009
Daniels Fund,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction,Program,"Philanthropy, Volunteerism, Grants",2009
Daniels Fund,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction,Capital,Human Services,2009
Daniels Fund,WesternSlope,Mesa,Grand Valley Catholic Outreach,20904.00,Grand Junction,Capital,Human Services,2009
Daniels Fund,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",20000.00,Grand Junction,General Operating,Children and Youth Services,2009
Daniels Fund,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction,Program,Children and Youth Services,2009
Daniels Fund,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction,General Operating,Children and Youth Services,2009
Daniels Fund,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",15000.00,Grand Junction,Program,Children and Youth Services,2009
El Pomar Foundation,WesternSlope,Mesa,Museum of Western Colorado,10000.00,Grand Junction,Capital,"Arts, Culture & Humanities ",2009
El Pomar Foundation,WesternSlope,Mesa,"Legends of the Grand Valley, Inc.",5000.00,Grand Junction,Program,"Arts, Culture & Humanities ",2009
El Pomar Foundation,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants",2009
El Pomar Foundation,WesternSlope,Mesa,Mesa State College Foundation,13130.00,Grand Junction,Program,Education,2009
El Pomar Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",15000.00,Grand Junction,Other,Health ,2009
El Pomar Foundation,WesternSlope,Mesa,St. Mary's Hospital Foundation,50000.00,Grand Junction,Capital,Health ,2009
El Pomar Foundation,WesternSlope,Mesa,Western Colorado Area Health Education Center,5000.00,Grand Junction,General Operating,Health ,2009
El Pomar Foundation,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,Program,"Community, Public Affairs",2009
El Pomar Foundation,WesternSlope,Mesa,Grand Junction Housing Authority,10000.00,Grand Junction,Capital,"Housing, Homeless shelters",2009
El Pomar Foundation,WesternSlope,Mesa,Housing Resources of Western Colorado,10000.00,Grand Junction,Program,"Housing, Homeless shelters",2009
El Pomar Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,General Operating,Children and Youth Services,2009
Gates Family Foundation,WesternSlope,Mesa,Dominquez Archaeological Research Group,11100.00,Grand Junction,Capital,"Arts, Culture & Humanities ",2009
Gates Family Foundation,WesternSlope,Mesa,Western Colorado Botanical Society,20000.00,Grand Junction,Capital,"Environment, Conservation",2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,20000.00,Grand Junction,Program,Human Services,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Hilltop Community Resources,20000.00,Grand Junction,General Operating,,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Capital,Health ,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Program,Health ,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Mesa County Partners,50000.00,Grand Junction,Capital,Children and Youth Services,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Grand Valley Senior Daybreak,7500.00,Grand Junction,General Operating,"Community, Public Affairs",2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,2009
 Kenneth King Foundation,WesternSlope,Mesa,Child & Migrant Services (CMS),1500.00,Palisade,Not Provided,Children and Youth Services,2009
 Kenneth King Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,1500.00,Grand Junction,Program,Human Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Mesa District Group of CAEYC,40000.00,Grand Junction,Program,,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health ,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health ,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",15000.00,Grand Junction,General Operating,"Environment, Conservation",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Mesa County District Group of CAEYC,15000.00,Grand Junction,Program,,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",12000.00,Grand Junction,General Operating,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",10000.00,Grand Junction,General Operating,"Community, Public Affairs",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Western Colorado Center for the Arts,8000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities ",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Mesa Youth Services, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,Program,"Community, Public Affairs",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health ,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",4000.00,Grand Junction,Other,"Employment, Job training",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",3930.00,Grand Junction,Other,"Employment, Job training",2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Child & Migrant Services (CMS),3500.00,Palisade,General Operating,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1000.00,Grand Junction,Program,Hospice,2009
Adolph Coors Foundation,WesternSlope,Montrose,"Crisis Pregnancy Center of Montrose, Inc.",8500.00,Montrose,General Operating,Human Services,2009
Adolph Coors Foundation,WesternSlope,Montrose,"Sharing Ministries, Inc.",20000.00,Montrose,Capital,Human Services,2009
Adolph Coors Foundation,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,Program,Children and Youth Services,2009
Animal Assistance Foundation,WesternSlope,Montrose,Dream Catcher Therapy Center,5000.00,Olathe,Program,Animal Protection and Welfare,2009
Animal Assistance Foundation,WesternSlope,Montrose,Montrose Animal Protection,5000.00,Montrose,Program,Animal Protection and Welfare,2009
Anschutz Family Foundation,WesternSlope,Montrose,Hospice & Palliative Care of Western Colorado,5000.00,Montrose,Program,Hospice,2009
Anschutz Family Foundation,WesternSlope,Montrose,"All Points Transit, Inc.",7500.00,Montrose,General Operating,,2009
Anschutz Family Foundation,WesternSlope,Montrose,Retired Seniors Volunteer Program-Colorado West,5000.00,Montrose,General Operating,,2009
Anschutz Family Foundation,WesternSlope,Montrose,Black Canyon Boys and Girls Club,5000.00,Montrose,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",5000.00,Montrose,General Operating,Children and Youth Services,2009
Boettcher Foundation,WesternSlope,Montrose,Colorado FFA Foundation,1162.00,Montrose,General Operating,,2009
Boettcher Foundation,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,75000.00,Montrose,Capital,Health ,2009
Boettcher Foundation,WesternSlope,Montrose,Montrose Regional Library District,25000.00,Montrose,Capital,,2009
Caring for Colorado Foundation,WesternSlope,Montrose,Montrose County School District,37675.00,Montrose,Not Provided,,2009
The Colorado Health Foundation,WesternSlope,Montrose,Basin Medical Clinic,16438.00,Naturita,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Montrose,"Basin Medical Clinic, Montrose Memorial Hospital",84448.00,Montrose,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,159561.00,Montrose,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,200000.00,Montrose,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Montrose,Montrose County School District RE-1J126,10443.00,Montrose,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Montrose,Montrose County School District RE-1J126,34000.00,Montrose,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Montrose,"Voans Pace, Inc.",152000.00,Montrose,Program,Health ,2009
The Colorado Trust,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,324500.00,Montrose,Program,Health ,2009
The Colorado Trust,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,20000.00,Montrose,Program,Health ,2009
Daniels Fund,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",15000.00,Montrose,General Operating,"Community, Public Affairs",2009
Daniels Fund,WesternSlope,Montrose,Dream Catcher Therapy Center Incorporated,5000.00,Olathe,General Operating,Disabled Persons,2009
Daniels Fund,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose,Other,Education,2009
Daniels Fund,WesternSlope,Montrose,Christ's Kitchen,10000.00,Montrose,General Operating,Human Services,2009
Daniels Fund,WesternSlope,Montrose,"Sharing Ministries, Inc.",31000.00,Montrose,General Operating,Human Services,2009
Daniels Fund,WesternSlope,Montrose,"Delta Montrose Youth Services, Inc.",20000.00,Montrose,General Operating,Children and Youth Services,2009
El Pomar Foundation,WesternSlope,Montrose,Rimrocker Historical Society of Western Montrose County,1500.00,Nucla,Other,"Arts, Culture & Humanities ",2009
El Pomar Foundation,WesternSlope,Montrose,Black Canyon Boys & Girls Club,15000.00,Montrose,General Operating,Children and Youth Services,2009
El Pomar Foundation,WesternSlope,Montrose,Paradox Valley School,5000.00,Paradox,Program,Education,2009
El Pomar Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,2500.00,Montrose,Program,Health ,2009
El Pomar Foundation,WesternSlope,Montrose,RSVP Colorado West,5000.00,Montrose,General Operating,,2009
Gates Family Foundation,WesternSlope,Montrose,Nucla Public Library,19000.00,Nucla,Capital,"Arts, Culture & Humanities ",2009
Gates Family Foundation,WesternSlope,Montrose,Black Canyon Land Trust,70000.00,Montrose,Capital,"Environment, Conservation",2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,General Operating,Children and Youth Services,2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,General Operating,"Community, Public Affairs",2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",20000.00,Montrose,General Operating,Children and Youth Services,2009
 Kenneth King Foundation,WesternSlope,Montrose,All Points Transit,1500.00,Montrose,Not Provided,,2009
 Kenneth King Foundation,WesternSlope,Montrose,Dream Catcher Therapy Center,1500.00,Olathe,General Operating,Health ,2009
 Kenneth King Foundation,WesternSlope,Montrose,Montrose Children's Network,1500.00,Montrose,Program,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Black Canyon Boys & Girls Club,25000.00,Montrose,General Operating,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,23000.00,Montrose,Program,Health ,2009
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Passage Charter School,12000.00,Montrose,General Operating,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose Regional Library District,10000.00,Montrose,Program,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Paradox Valley School,5000.00,Paradox,Student Aid/Scholarship,Education,2009
Animal Assistance Foundation,WesternSlope,Ouray,San Juan Riding Program,3000.00,Ridgway,Program,Animal Protection and Welfare,2009
Anschutz Family Foundation,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway,Program,Animal Protection and Welfare,2009
Anschutz Family Foundation,WesternSlope,Ouray,Neighbor to Neighbor,5000.00,Ouray,General Operating,,2009
Gates Family Foundation,WesternSlope,Ouray,Voyager Youth Program,10702.00,Ridgway,Capital,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,16000.00,Ridgway,Program,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Ouray,Friends of the Ridgway Library & Arts Center,1000.00,Ridgway,General Operating,"Arts, Culture & Humanities ",2009
Temple Hoyne Buell Foundation,WesternSlope,Ouray,Ouray School District R-1,800.00,Ouray,Other,Education,2009
Adolph Coors Foundation,WesternSlope,San Miguel,Telluride Adaptive Ski Program,10000.00,Telluride,General Operating,Human Services,2009
Anschutz Family Foundation,WesternSlope,San Miguel,One to One,5000.00,Telluride,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,San Miguel,Prime Time Early Learning Center,7500.00,Norwood,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,San Miguel,One Telluride,5000.00,Telluride,Program,Education,2009
Anschutz Family Foundation,WesternSlope,San Miguel,San Miguel Resource Center,5000.00,Telluride,General Operating,"Domestic Violence Shelters, Services",2009
Caring for Colorado Foundation,WesternSlope,San Miguel,Norwood Fire Protection District,68559.00,Norwood,General Operating,,2009
Caring for Colorado Foundation,WesternSlope,San Miguel,Telluride Foundation,53782.00,Telluride,General Operating,,2009
Caring for Colorado Foundation,WesternSlope,San Miguel,Uncompahgre Medical Center,51000.00,Norwood,General Operating,,2009
The Colorado Health Foundation,WesternSlope,San Miguel,Uncompahgre Combined Clinics,90000.00,Norwood,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,San Miguel,Uncompahgre Combined Clinics,86793.00,Norwood,Program,Health ,2009
The Colorado Trust,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,7500.00,Telluride,Program,Health ,2009
The Colorado Trust,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,165000.00,Telluride,Program,Health ,2009
Daniels Fund,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood,Program,Education,2009
El Pomar Foundation,WesternSlope,San Miguel,Telluride Adaptive Ski Program,7500.00,Telluride,Capital,Disabled Persons,2009
Gates Family Foundation,WesternSlope,San Miguel,Ah Haa School for the Arts,100000.00,Telluride,Capital,"Arts, Culture & Humanities ",2009
Gates Family Foundation,WesternSlope,San Miguel,Town of Mountain Village,20000.00,Mountain Village,Capital,Education,2009
 Kenneth King Foundation,WesternSlope,San Miguel,San Miguel Resource Center,1500.00,Telluride,Program,Emergency Assistance,2009
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Wright Stuff Community Foundation,6500.00,Norwood,Student Aid/Scholarship,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,"Rainbow School and Day Care Center, Inc.",2000.00,Telluride,Other,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Mountain Sprouts Preschool,1610.00,Telluride,Other,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Telluride Preschool,1610.00,Telluride,Other,Education,2009
Animal Assistance Foundation,WesternSlope,Delta,Friends of Cedaredge Animal Control,3000.00,Cedaredge,Program,Animal Protection and Welfare,2010
Animal Assistance Foundation,WesternSlope,Delta,Spirit Wind Horse Rescue,3500.00,Hotchkiss,Other,Animal Protection and Welfare,2010
Anschutz Family Foundation,WesternSlope,Delta,Kids' Pasta Project,5000.00,Hotchkiss,General Operating,"Community, Public Affairs",2010
