funder,year,region,county,nonprofit,amount,city,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,2500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,15000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Meth Task Force,35000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,"Delta Food Pantry, Inc.",2500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,"Delta Food Pantry, Inc.",2000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,"Delta Food Pantry, Inc.",1500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Kids' Pasta Project,2500.00,Hotchkiss,,
El Pomar Foundation,2009,WesternSlope,Delta,Kids' Pasta Project,2500.00,Hotchkiss,,
El Pomar Foundation,2009,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia,,
El Pomar Foundation,2009,WesternSlope,Delta,"Rotary Club of Paonia Foundation, Inc.",1000.00,Paonia,,
El Pomar Foundation,2009,WesternSlope,Delta,Spirit Wind Horse Rescue,2500.00,Hotchkiss,,
El Pomar Foundation,2009,WesternSlope,Delta,Surface Creek Community Services,5000.00,Cedaridge,,
El Pomar Foundation,2009,WesternSlope,Delta,Surface Creek Community Services,2000.00,Cedaridge,,
Gates Family Foundation,2009,WesternSlope,Delta,High Country News,22500.00,Paonia,,
Gates Family Foundation,2009,WesternSlope,Delta,Needlerock Health Clinic,50000.00,Crawford,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Delta,College For Every Student Inc,60000.00,Essex,,
Kenneth King Foundation,2009,WesternSlope,Delta,Needlerock Mobile Family Health Clinic,2500.00,Crawford,,
Kenneth King Foundation,2009,WesternSlope,Delta,Volunteers of America National Services,2500.00,Eckert,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Delta County School District #50,14000.00,Delta,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Little Sprouts Community Preschool,12000.00,Cedaredge,,
Animal Assistance Foundation,2010,WesternSlope,Delta,Spirit Wind Horse Rescue,3600.00,Hotchkiss,Other,Animal Protection and Welfare
Anschutz Family Foundation,2010,WesternSlope,Delta,Kids' Pasta Project,6000.00,Hotchkiss,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Delta,Delta County School District #50,5000.00,Delta,Program,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Student Aid/Scholarship,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Delta,FAMILIES PLUS,5000.00,Delta,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelter,5000.00,Paonia,General Operating,Animal Protection and Welfare
Anschutz Family Foundation,2010,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",7500.00,Eckert,General Operating,"Food, Agriculture, Nutrition"
El Pomar Foundation,2010,WesternSlope,Delta,"Altrusa International of Delta, Colorado, Inc.",2500.00,Delta,Other,"Community, Public Affairs"
El Pomar Foundation,2010,WesternSlope,Delta,Kids Pasta Project,2500.00,Delta,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,Program,Education
El Pomar Foundation,2010,WesternSlope,Delta,"Delta Food Pantry, Inc",2000.00,Delta,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Delta,Kids' Pasta Project,2500.00,Hotchkiss,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,45000.00,Delta,Program,Education
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Paonia,Other,Education
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,35000.00,Delta,Program,Education
Gates Family Foundation,2010,WesternSlope,Delta,High Country News,30000.00,Paonia,General Operating,"Arts, Culture & Humanities "
Gates Family Foundation,2010,WesternSlope,Delta,North Fork River Improvement Association,28000.00,Paonia,Capital,"Environment, Conservation"
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Delta County School District #50,14000.00,Delta,Program,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Delta County Joint School District No. 50,12000.00,Delta,Other,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Little Sprouts Community Preschool,10000.00,Cedaredge,General Operating,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Little Sprouts Community Preschool,4278.00,Cedaredge,Other,Children and Youth Services
Animal Assistance Foundation,2011,WesternSlope,Delta,Friends of Cedaredge Animal Control,3000.00,Cedaredge,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,WesternSlope,Delta,Spirit Wind Horse Rescue,3500.00,Hotchkiss,Other,Animal Protection and Welfare
Anschutz Family Foundation,2011,WesternSlope,Delta,Kids' Pasta Project,5000.00,Hotchkiss,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2011,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Hotchkiss,General Operating,
Anschutz Family Foundation,2011,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Delta,Creamery Arts Center,5000.00,Hotchkiss,Program,
Daniels Fund,2011,WesternSlope,Delta,"Senior CommUnity Meals, Inc.",20000.00,Eckert,Program,Human Services
Daniels Fund,2011,WesternSlope,Delta,Delta County Meth Task Force,40000.00,Delta,Program,Health                                                                     
Daniels Fund,2011,WesternSlope,Delta,Delta County School District 50-J,35000.00,Delta,Program,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,10000.00,Delta,Program,Education
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Delta,General Operating,Health                                                                     
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelters,5000.00,Crawford,Program,Animal Protection and Welfare
El Pomar Foundation,2011,WesternSlope,Delta,Spirt Wind Horse Rescue,2500.00,Hotchkiss,Other,Animal Protection and Welfare
El Pomar Foundation,2011,WesternSlope,Delta,Delta County School District 50-J,1000.00,Delta,Program,Education
El Pomar Foundation,2011,WesternSlope,Delta,"Delta Food Pantry, Inc.",2500.00,Delta,Program,Human Services
El Pomar Foundation,2011,WesternSlope,Delta,"Rotary Club of Paonia Foundation, Inc.",1000.00,Paonia,Program,Human Services
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta,Program,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Delta,Delta County,10000.00,Delta,Program,"Public safety, Emergency relief"
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,5000.00,Delta,Other,Education
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,Program,Education
Gates Family Foundation,2011,WesternSlope,Delta,North Fork River Improvement Association,22000.00,Paonia,Capital,"Environment, Conservation"
Gates Family Foundation,2011,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation"
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,Delta County School District 50-J,10000.00,Delta,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,Delta County School District,6500.00,Crawford,Other,Education
The Colorado Health Foundation,2011,WesternSlope,Delta,All American Families,90000.00,Delta,Program,Health                                                                     
Adolph Coors Foundation,2012,WesternSlope,Delta,All American Families,3000.00,Delta,General Operating,Children and Youth Services
Animal Assistance Foundation,2012,WesternSlope,Delta,Delta County Humane Society,3000.00,Delta,Program,Animal Protection and Welfare
Animal Assistance Foundation,2012,WesternSlope,Delta,Town of Cedaredge,3000.00,Cedaredge,Capital,Animal Protection and Welfare
Anschutz Family Foundation,2012,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Program,Children and Youth Services
Boettcher Foundation,2012,WesternSlope,Delta,Paonia Public Library Foundation,25000.00,Paonia,Capital,
Daniels Fund,2012,WesternSlope,Delta,All American Families,5000.00,Delta,General Operating,Human Services
Daniels Fund,2012,WesternSlope,Delta,Delta County,125000.00,Delta,Not Provided,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia,Program,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Delta,Surface Creek Community Services,5000.00,Cedaredge,Program,Human Services
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Meth Task Force,35000.00,Hotchkiss,Program,Health                                                                     
Gates Family Foundation,2012,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation"
Kenneth King Foundation,2012,WesternSlope,Delta,Needlerock Mobile Family Health Clinic,1500.00,Crawford,General Operating,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Delta County Joint School District No. 50,7063.00,Delta,Other,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Delta County Public Library,15000.00,Hotchkiss,Program,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Little Sprouts Community Preschool,8200.00,Cedaredge,Other,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Little Sprouts Community Preschool,8000.00,Cedaredge,General Operating,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,North Fork Community Montessori School,2000.00,Hotchkiss,Other,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Wee Care Learning Center,13000.00,Hotchkiss,Other,Education
The Colorado Trust,2012,WesternSlope,Delta,Delta Barracuda Swim Team,1000.00,Paonia,General Operating,Children and Youth Services
The Colorado Trust,2012,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",122149.00,Eckert,Program,Health                                                                     
Adolph Coors Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison,,
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,,
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Paradise Place Community School,5000.00,Crested Butte,,
Boettcher Foundation,2009,WesternSlope,Gunnison,Crested Butte Land Trust,2500.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",10000.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Center for the Arts,3500.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,City of Gunnison,7106.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Community Foundation of the Gunnison Valley,10000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Crested Butte Mountain Heritage Museum,1000.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,"Crested Butte Music Festival, Inc.",2500.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Council for the Arts,1500.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,7500.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,1500.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,3000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,2500.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,10000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,4000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,2500.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,10000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,20000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,12000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,10000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,6000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,"Gunnison Valley Animal Welfare League, Inc.",5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Watershed School District RE 1J,1500.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Habitat for Humanity of Gunnison Valley,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Jubilee House of Gunnison County,3000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory at Gothic,2500.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Town of Crested Butte,25000.00,Crested Butte,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,50000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,5000.00,Gunnison,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,2500.00,Gunnison,,
Gates Family Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,50000.00,Gunnison,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,,
Kenneth King Foundation,2009,WesternSlope,Gunnison,Paradise Place,500.00,Crested Butte,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,28000.00,Gunnison,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Stepping Stones Children's Center,20000.00,Crested Butte,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Community Foundation of the Gunnison Valley,10000.00,Gunnison,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Gunnison Hinsdale Early Childhood Council,10000.00,Gunnison,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,8000.00,Gunnison,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,"Six Points Evaluation and Training, Inc.",5000.00,Gunnison,,
The Colorado Trust,2009,WesternSlope,Gunnison,Gunnison County Health and Human Services,60878.00,Gunnison,,
Anschutz Family Foundation,2010,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte,General Operating,Disabled Persons
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte,Student Aid/Scholarship,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,5000.00,Gunnison,General Operating,Children and Youth Services
Boettcher Foundation,2010,WesternSlope,Gunnison,Crested Butte Land Trust,2500.00,Crested Butte,General Operating,
Boettcher Foundation,2010,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,2500.00,Crested Butte,General Operating,
Boettcher Foundation,2010,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,Education
Caring for Colorado Foundation,2010,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,50000.00,Gunnison,Program,Health                                                                     
Daniels Fund,2010,WesternSlope,Gunnison,Paradise Place Community Christian School,8300.00,Crested Butte,Program,Education
Daniels Fund,2010,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Gunnison,Crested Butte Mountain Heritage Museum,1000.00,Crested Butte,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2010,WesternSlope,Gunnison,Town of Crested Butte,25000.00,Crested Butte,Capital,"Community, Public Affairs"
El Pomar Foundation,2010,WesternSlope,Gunnison,Telluride Academy,5000.00,Telluride,Program,Education
El Pomar Foundation,2010,WesternSlope,Gunnison,Western State College Foundation,5000.00,Gunnison,Program,Education
El Pomar Foundation,2010,WesternSlope,Gunnison,Habitat for Humanity of Gunnison Valley,5000.00,Gunnison,Program,"Housing, Homeless shelters"
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Food Pantry,7500.00,Gunnison,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,12000.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,Other,
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,2500.00,Gunnison,General Operating,
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,20000.00,Gunnison,Other,Health                                                                     
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Watershed School District RE-1J,1500.00,Gunnison,Program,Health                                                                     
Gates Family Foundation,2010,WesternSlope,Gunnison,Crested Butte Land Trust,72940.00,Crested Butte,Capital,"Environment, Conservation"
Gates Family Foundation,2010,WesternSlope,Gunnison,Town of Crested Butte,10000.00,Crested Butte,Capital,"Environment, Conservation"
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,Human Services
Kenneth King Foundation,2010,WesternSlope,Gunnison,Paradise Place,1000.00,Crested Butte,Capital,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,10000.00,Gunnison,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,Student Aid/Scholarship,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,8400.00,Gunnison,Other,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,General Operating,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,8000.00,Gunnison,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Interim Western Slope Rural Philanthropy Days,5000.00,Crested Butte,General Operating,
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte,Student Aid/Scholarship,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Office for Resource Efficiency (ORE),5000.00,Crested Butte,Program,Economic Development      
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Gunnison County Partners,5000.00,Gunnison,General Operating,Children and Youth Services
Boettcher Foundation,2011,WesternSlope,Gunnison,Crested Butte Land Trust,5000.00,Crested Butte,General Operating,
Boettcher Foundation,2011,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,3000.00,Crested Butte,General Operating,
Boettcher Foundation,2011,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,Education
Caring for Colorado Foundation,2011,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,49088.00,Gunnison,Other,Health                                                                     
El Pomar Foundation,2011,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,General Operating,Education
El Pomar Foundation,2011,WesternSlope,Gunnison,"Gunnison Valley Animal Welfare League, Inc.",5000.00,Gunnison,General Operating,Animal Protection and Welfare
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,Program,Human Services
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison County Health and Human Services,2500.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2011,WesternSlope,Gunnison,"Jubilee House of Gunnison County, Inc.",3000.00,Gunnison,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,3000.00,Gunnison,Program,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Council for the Arts,1500.00,Gunnison,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison County Health and Human Services,10000.00,Gunnison,Program,Health                                                                     
Gates Family Foundation,2011,WesternSlope,Gunnison,Gunnison Ranchland Conservation Legacy,22650.00,Gunnison,Capital,"Environment, Conservation"
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,
Kenneth King Foundation,2011,WesternSlope,Gunnison,Living Journeys,1500.00,Crested Butte,General Operating,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Health                                                                     
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,General Operating,Education
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Gunnison County Library District,10000.00,Gunnison,Program,Education
The Colorado Trust,2011,WesternSlope,Gunnison,Gunnison County Health and Human Services,60878.00,Gunnison,Program,Health                                                                     
The Colorado Trust,2011,WesternSlope,Gunnison,Gunnisun Legacy Fund,3000.00,Gunnison,General Operating,
Adolph Coors Foundation,2012,WesternSlope,Gunnison,Gunnison County Partners,10000.00,Gunnison,General Operating,Children and Youth Services
Adolph Coors Foundation,2012,WesternSlope,Gunnison,Gunnison Valley Alliance for Community & Restor.,3500.00,Gunnison,General Operating,Human Services
Animal Assistance Foundation,2012,WesternSlope,Gunnison,Gunnison Valley Animal Welfare League,2000.00,Gunnison,General Operating,Animal Protection and Welfare
Anschutz Family Foundation,2012,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte,General Operating,Disabled Persons
Anschutz Family Foundation,2012,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison,General Operating,Children and Youth Services
Anschutz Family Foundation,2012,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education
Anschutz Family Foundation,2012,WesternSlope,Gunnison,Paradise Place Community Christian School,2983.50,Crested Butte,General Operating,Children and Youth Services
Boettcher Foundation,2012,WesternSlope,Gunnison,Crested Butte Land Trust,3000.00,Crested Butte,General Operating,
Boettcher Foundation,2012,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,
