funder,year,region,county,nonprofit,amount,city,type ,category,,,,
The Colorado Trust,2011,WesternSlope,Mesa,Western Colorado Math and Science Center,10000.00,Grand Junction,General Operating,Education,,,,
The Colorado Trust,2011,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,General Operating,Children and Youth Services,,,,
The Colorado Trust,2012,WesternSlope,Gunnison,Gunnison Legacy Fund,1000.00,Gunnison,Matching,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,Mesa County Partnership for Children and Families,122000.00,Grand Junction,Program,Access to Health,,,,
The Colorado Trust,2012,WesternSlope,Mesa,John McConnell Math & Science Center of Western Colorado,10000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,Mesa County Land Conservancy Inc.,5000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",10000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,Colorado Mesa University Foundation,20000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,"Colorado Riverfront Foundation, Inc.",10000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,John McConnell Math & Science Center of Western Colorado,10000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,Mesa County Land Conservancy Inc.,2000.00,Grand Junction,Matching,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",2000.00,Grand Junction,Matching,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,Directed,,,,,
The Colorado Trust,2012,WesternSlope,San Miguel,San Miguel Resource Center,9900.00,Telluride,Program,Access to Health,,,,
The Colorado Trust,2013,WesternSlope,Delta,All American Families,5000.00,Delta,General Operating,Western Slope RPD,,,,
The Colorado Trust,2013,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",5000.00,Grand Junction,General Operating,Western Slope RPD,,,,
The Colorado Trust,2013,WesternSlope,Gunnison,Gunnison/Hinsdale Confidential Advocacy Center,5000.00,Gunnison,General Operating,Western Slope RPD,,,,
The Colorado Trust,2013,WesternSlope,Montrose,"Haven House Of Montrose, Inc.",5000.00,Olathe,General Operating,Western Slope RPD,,,,
The Colorado Trust,2013,WesternSlope,Montrose,Hispanic Affairs Project,1000.00,Montrose,Program,Health Equity Learning Series,,,,
The Colorado Trust,2013,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,5000.00,Montrose,General Operating,Western Slope RPD,,,,
The Colorado Trust,2013,WesternSlope,Mesa,"Western Colorado Health Network, Inc.",1000.00,Grand Junction,Program,Health Equity Learning Series,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,40000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,375000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",5000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",200000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Mesa County,50000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Quality Health Network,640000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,75000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,Basin Medical Clinic,16438.00,Naturita,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,"Basin Medical Clinic, Montrose Memorial Hospital",84448.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,159561.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,200000.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J126,10443.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J126,34000.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,Montrose,"Voans Pace, Inc.",152000.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,San Miguel,Uncompahgre Combined Clinics,90000.00,Norwood,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2009,WesternSlope,San Miguel,Uncompahgre Combined Clinics,86793.00,Norwood,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Delta,All American Families,90000.00,Delta,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,330000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Mesa,Mesa County Retired and Senior Volunteer Program,207209.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Mesa,Quality Health Network,640000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Montrose,Northside Child Health Center,70000.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Montrose,Paradox Valley School,10500.00,Paradox,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,Montrose,"Voans Pace, Inc.",85600.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,San Miguel,Telluride Foundation,190000.00,Telluride,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,San Miguel,Uncompahgre Combined Clinic,10000.00,Norwood,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2010,WesternSlope,San Miguel,Uncompahgre Combined Clinic,385055.00,Norwood,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Mesa,Colorado Mesa University,471493.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,75000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Mesa,Mesa County Valley School District,13500.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,139104.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Montrose,Montrose County School District RE-1J,258442.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Montrose,Montrose Memorial Hospital,126229.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,Montrose,Paradox Valley School,93595.00,Paradox,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2011,WesternSlope,San Miguel,Uncompahgre Combined Clinics,650000.00,Norwood,Program,Health                                                                     ,,,,
The Colorado Health Foundation,2012,WesternSlope,Delta,Delta County School District 50(J),406897.00,Delta,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,Hospice and Pallliative Care of Western Colorado,188000.00,Grand Junction,Program,Hospice,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,Mesa County Retired and Senior Volunteer Program ,120000.00,Grand Junction,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,Mesa County Valley School District 51,275000.00,Grand Junction,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,Mesa Development Services,7000.00,Grand Junction,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,Quality Health Network,653500.00,Grand Junction,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Mesa,St. Mary's Family Medical Center,199100.00,Grand Junction,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,284333.00,Montrose,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Montrose,"Olathe Community Clinic, Inc.",242267.00,Olathe,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Montrose,"RSVP Coloraodo West, Inc.",120000.00,Montrose,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,Montrose,"Voans Pace, Inc.",170000.00,Montrose,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,San Miguel,Norwood School District ,25000.00,Norwood,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,San Miguel,Telluride Foundation,150000.00,Telluride,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,San Miguel,Uncompahgre Combined Clinics,254000.00,Norwood,Program,Health,,,,
The Colorado Health Foundation,2012,WesternSlope,San Miguel,Wright Stuff Community Foundation,10000.00,Norwood,Program,Health,,,,
The Colorado Health Foundation,2013,WesternSlope,Delta,Needlerock Family Health Outreach Clinic,47000.00,Crawford,Program,,,,,
The Colorado Health Foundation,2013,WesternSlope,Delta,Families Plus,51447.00,Delta,Program,,,,,
The Colorado Health Foundation,2013,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",419204.00,Grand Junction,Program,,,,,
The Colorado Health Foundation,2013,WesternSlope,Mesa,Mesa County Health Department,1057063.00,Grand Junction,Capacity Building,,,,,
The Colorado Health Foundation,2013,WesternSlope,Mesa,"Marillac Clinic, Inc.",503378.00,Grand Junction,Program,,,,,
The Colorado Health Foundation,2013,WesternSlope,Mesa,Mesa County Valley School District 51,265934.00,Grand Junction,Capital,,,,,
The Colorado Health Foundation,2013,WesternSlope,Montrose,"Midwestern Colorado Mental Health Center, Inc",34145.00,Montrose,Program,,,,,
The Colorado Health Foundation,2013,WesternSlope,Montrose,"Midwestern Colorado Mental Health Center, Inc",37500.00,Montrose,Program,,,,,
The Colorado Health Foundation,2013,WesternSlope,Montrose,Olathe Community Clinic,248185.00,Olathe,General Operating,,,,,
The Colorado Health Foundation,2013,WesternSlope,Montrose,Town of Nucla,100000.00,Nucla,Capital,,,,,
The Colorado Health Foundation,2013,WesternSlope,San Miguel,Tri-County Health Network,150000.00,Telluride,Project Support,,,,,
The Colorado Health Foundation,2013,WesternSlope,San Miguel,Tri-County Health Network,247125.00,Telluride,Capacity Building,,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Delta County Joint School District No. 50,7063.00,Delta,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Delta County Public Library,15000.00,Hotchkiss,Program,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Little Sprouts Community Preschool,8200.00,Cedaredge,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Little Sprouts Community Preschool,8000.00,Cedaredge,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,2000.00,Hotchkiss,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Wee Care Learning Center,13000.00,Hotchkiss,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Crystal Valley Preschool,25000.00,Marble,Capital,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Paradise Place Community Christian School,4000.00,Crested Butte,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Paradise Place Community Christian School,8000.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Stepping Stones Children's Center,5500.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Tenderfood Child & Family Development Center,22570.00,Gunnison,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Tenderfood Child & Family Development Center,14000.00,Gunnison,Other,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Child & Migrant Services (CMS),3500.00,Palisade,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities ",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1000.00,Grand Junction,Program,Hospice,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Mesa County District Group of CAEYC,15000.00,Grand Junction,Program,,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",15000.00,Grand Junction,General Operating,"Environment, Conservation",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Mesa District Group of CAEYC,40000.00,Grand Junction,Program,,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",4000.00,Grand Junction,Other,"Employment, Job training",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Rocky Mountain S.E.R./Jobs for Progress, Inc.",3930.00,Grand Junction,Other,"Employment, Job training",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",10000.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,Program,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Western Colorado Center for the Arts,8000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",12000.00,Grand Junction,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,25000.00,Montrose,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Montrose County Health and Human Services,23000.00,Montrose,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Montrose Regional Library District,10000.00,Montrose,Program,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Paradox Valley School,5000.00,Paradox,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Passage Charter School,12000.00,Montrose,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Ouray,Friends of the Ridgway Library & Arts Center,1000.00,Ridgway,General Operating,"Arts, Culture & Humanities ",,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,16000.00,Ridgway,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Ouray,Ouray School District R-1,800.00,Ouray,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,San Miguel,Mountain Sprouts Preschool,1610.00,Telluride,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,San Miguel,"Rainbow School and Day Care Center, Inc.",2000.00,Telluride,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,San Miguel,Telluride Preschool,1610.00,Telluride,Other,Education,,,,
Temple Hoyne Buell Foundation,2009,WesternSlope,San Miguel,Wright Stuff Community Foundation,6500.00,Norwood,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Delta County School District 50-J,10000.00,Delta,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Delta County School District,6500.00,Crawford,Other,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Gunnison County Library District,10000.00,Gunnison,Program,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Mesa Land Trust,15000.00,Grand Junction,General Operating,"Environment, Conservation",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Western Colorado Math & Science Center,12000.00,Grand Junction,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"St. Mary's Hospital and Medical Center, Inc.",10000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Western Colorado Center for the Arts,8000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities ",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Mesa Youth Service, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",3500.00,Palisade,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,27000.00,Montrose,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,18000.00,Montrose,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Passage Charter School,12000.00,Montrose,Not Provided,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Paradox Valley School,2000.00,Paradox,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Other,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Program,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,16000.00,Ridgway,Program,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Wright Stuff Community Foundation,30000.00,Norwood,Program,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Town of Mountain Village,25000.00,Mountain Village,Capital,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Bright Futures,18000.00,Telluride,Program,Education,,,,
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Mountain Sprouts Preschool,2000.00,Telluride,Other,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,Delta County School District #50,14000.00,Delta,Program,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,Delta County Joint School District No. 50,12000.00,Delta,Other,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,Little Sprouts Community Preschool,10000.00,Cedaredge,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Delta,Little Sprouts Community Preschool,4278.00,Cedaredge,Other,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,10000.00,Gunnison,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,Student Aid/Scholarship,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,8400.00,Gunnison,Other,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,8000.00,Gunnison,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Mesa District Group of CAEYC,45000.00,Grand Junction,Program,,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,35000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,General Operating,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Strong Families, Safe Kids",20000.00,Grand Junction,Capital,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services,,,,
