funder,year,region,county,nonprofit,amount,city,type ,category,
Anschutz Family Foundation,2013,Northeast,Washington,"Golden Plains, Inc.",8000.00,Akron,Program,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Northeast,Morgan,OneMorgan County,5000.00,Fort Morgan,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Northeast,Phillips,"Phillips County Family Education Services, Inc.",7500.00,Holyoke,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Northeast,Elbert,Pikes Peak Therapeutic Riding Center,5000.00,Elbert,General Operating,Disabled,4/30/13
Anschutz Family Foundation,2013,Northeast,Yuma,Rural Communities Resource Center,7500.00,Yuma,Program,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Northeast,Morgan,"S.A.R.A., Inc.",7000.00,Fort Morgan,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Northeast,Phillips,The Dragon's Wagon,5000.00,Holyoke,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Northeast,Phillips,The Haxtun Community Childcare Center,7500.00,Haxtun,General Operating,Youth Development,11/30/13
Boettcher Foundation,2009,Northeast,Phillips,East Phillips County Hospital District,50000.00,Holyoke,Capital,Health                                                                     ,
Boettcher Foundation,2009,Northeast,Kit Carson,Kit Carson County Memorial Hospital,3750.00,Burlington,General Operating,Health                                                                     ,
Boettcher Foundation,2009,Northeast,Lincoln,Limon Heritage Museum & Railroad Park,20000.00,Limon,Capital,,
Boettcher Foundation,2009,Northeast,Phillips,Phillips County,75000.00,Holyoke,Capital,,
Boettcher Foundation,2010,Northeast,Morgan,Eben Ezer Lutheran Care Center,25000.00,Brush,Capital,,
Boettcher Foundation,2010,Northeast,Logan,Frenchman RE-3 School District,10000.00,Fleming,Capital,,
Boettcher Foundation,2010,Northeast,Kit Carson,Kit Carson County Memorial Hospital,3000.00,Burlington,General Operating,Health                                                                     ,
Boettcher Foundation,2010,Northeast,Cheyenne,Prairie View Health Resources,25000.00,Cheyenne Wells,Capital,Health                                                                     ,
Boettcher Foundation,2011,Northeast,Logan,Sterling Public Library,25000.00,Sterling,Capital,,
Boettcher Foundation,2012,Northeast,Yuma,Wray Public Library,25000.00,Wray,Capital,,
Boettcher Foundation,2013,Northeast,Morgan,Fort Morgan Heritage Foundation,10000.00,Fort Morgan,Capital,Arts & Culture,7/11/2013
Boettcher Foundation,2013,Northeast,Morgan,Fort Morgan Bandshell Project,10000.00,Fort Morgan,Capital,Arts & Culture,7/11/2013
Caring for Colorado Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,72288.00,Sterling,General Operating,,
Caring for Colorado Foundation,2009,Northeast,Lincoln,Plains Medical Center,75000.00,Limon,General Operating,Health                                                                     ,
Caring for Colorado Foundation,2009,Northeast,Lincoln,Plains Medical Center,175000.00,Limon,General Operating,Health                                                                     ,
Caring for Colorado Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,30000.00,Yuma,General Operating,,
Caring for Colorado Foundation,2010,Northeast,Logan,"Centennial Mental Health Center, Inc.",50000.00,Sterling,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Cheyenne,Keefe Memorial Hospital,14100.00,Cheyenne,Program,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Morgan,Northeastern Colorado Association of Local Governments,35000.00,Fort Morgan,Not Provided,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Lincoln,"Plains Medical Center, Inc.",100000.00,Limon,Not Provided,Health                                                                     ,
Caring for Colorado Foundation,2010,Northeast,Lincoln,"Plains Medical Center, Inc.",50000.00,Limon,Not Provided,Health                                                                     ,
Caring for Colorado Foundation,2011,Northeast,Lincoln,"Plains Medical Center, Inc.",100000.00,Limon,Program,Health                                                                     ,
Caring for Colorado Foundation,2011,Northeast,Yuma,Regional Home Visitation Program,68818.00,Yuma,Program,,
Caring for Colorado Foundation,2011,Northeast,Yuma,Rural Communities Resource Center,44787.00,Yuma,Program,Health                                                                     ,
Caring for Colorado Foundation,2012,Northeast,Kit Carson,Kit Carson County Health Service District,50000.00,Burlington,Program,Health,990 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Lincoln,Lincoln Community Hospital and Nursing Home,50000.00,Hugo,Program,Health,990 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Morgan,"Northeastern Colorado Transportation Authority, Inc.",42000.00,Fort Morgan,Program,Health,990 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Lincoln,"Plains Medical Center, Inc.",100000.00,Limon,Program,Health,991 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Yuma,Regional Home Visitation Programs,87949.00,Yuma,Program,Health,995 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Yuma,Rural Communities Resource Center,44787.00,Yuma,Program,Health,998 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Sedgwick,Sedgwick County Memorial Hospital,50000.00,Julesburg,Program,Health,1000 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Washington,Washington County Clinic,100000.00,Akron,Program,Health,1011 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2012,Northeast,Yuma,"Wray Rehabilitation and Activities Center, Inc.",100000.00,Wray,Program,Health,1012 dated Oct 2011 through Sept 2012 
Caring for Colorado Foundation,2013,Northeast,Logan,"Centennial Mental Health Center, Inc.",50000.00,Sterling,Project/Program,,6/20/13
Caring for Colorado Foundation,2013,Northeast,Morgan,Eben Ezer Lutheran Care Center,30000.00,Brush,Capital,,6/20/13
Caring for Colorado Foundation,2013,Northeast,Logan,Northeast Colorado Health Department,42150.00,Sterling,Project/Program,,1/17/13
Caring for Colorado Foundation,2013,Northeast,Yuma,Regional Home Visitation Program dba Baby Bear Hugs,76209.00,Yuma,Project/Program,,6/20/13
Caring for Colorado Foundation,2013,Northeast,Yuma,Rural Communities Resource Center,90000.00,Yuma,Project/Program,,6/20/13
Caring for Colorado Foundation,2013,Northeast,Kit Carson,Town of Flagler,50000.00,Flagler,Capital,,6/20/13
Caring for Colorado Foundation,2013,Northeast,Yuma,"Wray Rehabilitation and Activities Center, Inc.",21574.00,Wray,Capital Equipment Purchase,,6/20/13
Daniels Fund,2009,Northeast,Elbert,Acts 19 11,5000.00,Elbert,General Operating,Disabled Persons,
Daniels Fund,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",25000.00,Fort Morgan,General Operating,Human Services,
Daniels Fund,2009,Northeast,Logan,Cooperating Ministry of Logan County,25000.00,Sterling,General Operating,Human Services,
Daniels Fund,2009,Northeast,Kit Carson,"Dynamic Dimensions, Inc.",10000.00,Burlington,Other,Disabled Persons,
Daniels Fund,2009,Northeast,Logan,Family Resource Center,20000.00,Sterling,Program,Children and Youth Services,
Daniels Fund,2009,Northeast,Lincoln,Limon Child Development Center,10000.00,Limon,Program,Disabled Persons,
Daniels Fund,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",10000.00,Holyoke,Program,Education,
Daniels Fund,2009,Northeast,Morgan,"SHARE , Inc.",12000.00,Fort Morgan,General Operating,Human Services,
Daniels Fund,2009,Northeast,Morgan,Wiggins School District RE-50J,10000.00,Wiggins,Capital,Education,
Daniels Fund,2009,Northeast,Yuma,Wray Community Child Care Center,12100.00,Wray,Program,Education,
Daniels Fund,2009,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc.",20000.00,Wray,General Operating,Children and Youth Services,
Daniels Fund,2010,Northeast,Morgan,Eben Ezer Lutheran Care Center,36440.00,Brush,Program,Health                                                                     ,
Daniels Fund,2010,Northeast,Morgan,Morgan County,13000.00,Fort Morgan,Program,Hospice,
Daniels Fund,2010,Northeast,Morgan,"Northeastern Colorado Transportation Authority, Inc.",20000.00,Fort Morgan,Other,,
Daniels Fund,2010,Northeast,Lincoln,Limon Child Development Center,10000.00,Limon,Program,Disabled Persons,
Daniels Fund,2010,Northeast,Logan,Northeast Colorado Health Department,40000.00,Sterling,Program,Disabled Persons,
Daniels Fund,2010,Northeast,Phillips,Haxtun Education Foundation,30000.00,Haxtun,Capital,Children and Youth Services,
Daniels Fund,2010,Northeast,Phillips,Phillips County,10000.00,Holyoke,Other,Children and Youth Services,
Daniels Fund,2010,Northeast,Yuma,The Cub's Den,20000.00,Idalia,Other,Children and Youth Services,
Daniels Fund,2010,Northeast,Morgan,Caring Ministries of Morqan County,27500.00,Fort Morgan,General Operating,Human Services,
Daniels Fund,2010,Northeast,Morgan,"SHARE, Inc",12000.00,Fort Morgan,General Operating,Human Services,
Daniels Fund,2010,Northeast,Cheyenne,Cheyenne County School District RE-5,10000.00,Cheyenne Wells,Program,Children and Youth Services,
Daniels Fund,2010,Northeast,Morgan,Morgan County School District RE-3,15000.00,Fort Morgan,Program,Children and Youth Services,
Daniels Fund,2010,Northeast,Morgan,Wiggins School District RE-50J,30000.00,Wiggins,Program,Children and Youth Services,
Daniels Fund,2010,Northeast,Yuma,Wray Rehabilitation & Activities Center,25000.00,Wray,General Operating,Children and Youth Services,
Daniels Fund,2011,Northeast,Morgan,Eben Ezer Lutheran Care Center,58845.00,Brush,Program,Health                                                                     ,
Daniels Fund,2011,Northeast,Elbert,Acts 19 11,7500.00,Elbert,General Operating,Disabled Persons,
Daniels Fund,2011,Northeast,Yuma,Wray Community Child Care Center,7000.00,Wray,General Operating,Education,
Daniels Fund,2011,Northeast,Yuma,Wray Community Child Care Center,5000.00,Wray,General Operating,Education,
Daniels Fund,2011,Northeast,Logan,Cooperating Ministry of Logan County,20000.00,Sterling,General Operating,Human Services,
Daniels Fund,2011,Northeast,Logan,Family Resource Center,25000.00,Sterling,Program,Children and Youth Services,
Daniels Fund,2012,Northeast,Morgan,Caring Ministries of Morgan County,30000.00,Fort Morgan,General Operating,Homeless and Disadvantaged,
Daniels Fund,2012,Northeast,Logan,Cooperating Ministry of Logan County,20000.00,Sterling,Program,Homeless and Disadvantaged,
Daniels Fund,2012,Northeast,Lincoln,East Central Board of Cooperative Educational Services,14780.00,Limon,Program,Amateur Sports,
Daniels Fund,2012,Northeast,Logan,Family Resource Center,20000.00,Sterling,Program,Youth Development,
Daniels Fund,2012,Northeast,Lincoln,Limon Child Development Center,10000.00,Limon,Program,Disabilities,
Daniels Fund,2012,Northeast,Morgan,Morgan County Family Center,20000.00,Fort Morgan,Program,Youth Development,
Daniels Fund,2012,Northeast,Yuma,Wray Area Foundation,30000.00,Wray,Program,Aging,
Daniels Fund,2012,Northeast,Yuma,Wray Community Child Care Center,13500.00,Wray,Program,Early Childhood Education,
Daniels Fund,2012,Northeast,Yuma,Wray Rehabilitation & Activities Center,50000.00,Wray,Program & Capital,Aging,
Daniels Fund,2012,Northeast,Yuma,Yuma Children's Academy,105000.00,Yuma,Capital,Early Childhood Education,
Daniels Fund,2013,Northeast,Logan,Family Resource Center,25000.00,Sterling,Program / Project,Youth Development,10/1/13
Daniels Fund,2013,Northeast,Lincoln,Limon Child Development Center,10000.00,Limon,Program / Project,Disabilities,6/21/13
Daniels Fund,2013,Northeast,Logan,Northeast Colorado Health Department,25000.00,Sterling,Program / Project,Disabilities,1/7/13
Daniels Fund,2013,Northeast,Morgan,"The Production Company, dba Kids at their Best",40000.00,Wiggins,General Operating Support,Youth Development,12/3/13
Daniels Fund,2013,Northeast,Yuma,Wray Community Child Care Center dba Wray Community Learning Center,10000.00,Wray,Program / Project,Early Childhood Education,12/3/13
Daniels Fund,2013,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Incorporated",40000.00,Wray,General Operating Support,Aging,10/21/13
Daniels Fund,2013,Northeast,Yuma,Young Americans Center for Financial Education - Wray,25000.00,Wray,General Operating Support,Youth Development,11/18/13
El Pomar Foundation,2009,Northeast,Morgan,East Morgan County Hospital District,25000.00,Brush,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Family Resource Center,5000.00,Sterling,Program,Human Services,
El Pomar Foundation,2009,Northeast,Kit Carson,Kit Carson County Health Services District,25000.00,Burlington,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,10000.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Morgan,OneMorgan County,2500.00,Fort Morgan,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Cheyenne,"Praire View Health Resources, Inc.",10000.00,Cheyenne Wells,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Morgan,Production Company,2500.00,Wiggins,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,15000.00,Yuma,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,7500.00,Wray,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",10000.00,Fort Morgan,Program,Human Services,
El Pomar Foundation,2009,Northeast,Logan,"Centennial Mental Health Center, Inc.",8000.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Cooperating Ministry of Logan County,20000.00,Sterling,General Operating,Human Services,
El Pomar Foundation,2009,Northeast,Elbert,Elbert County Coalition for Outreach,5000.00,Kiowa,Program,Human Services,
El Pomar Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,7000.00,Yuma,Program,Human Services,
El Pomar Foundation,2009,Northeast,Logan,Rural Solutions,5000.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Morgan,"Sara, Inc.",5000.00,Fort Morgan,Program,Abuse & Neglect Prevention,
El Pomar Foundation,2009,Northeast,Morgan,"SHARE, Inc.",5000.00,Fort Morgan,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Northeast,Morgan,Production Company,2500.00,Wiggins,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,2500.00,Yuma,Program,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Morgan,A Caring Crisis Pregnancy Center,1500.00,Brush,Event,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Cheyenne,Cheyenne County Public Health,4500.00,Cheyenne Wells,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Eastern Colorado Services for the Developmentally Disabled,1500.00,Sterling,Not Provided,Disabled Persons,
El Pomar Foundation,2009,Northeast,Logan,Frenchman School District RE-3,1500.00,Fleming,Capital,Education,
El Pomar Foundation,2009,Northeast,Cheyenne,Kit Carson Rural Development,1500.00,Kit Carson,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,10000.00,Fort Morgan,Program,Education,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,8333.00,Fort Morgan,Program,Education,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,4000.00,Fort Morgan,General Operating,Education,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,8333.00,Fort Morgan,Program,Education,
El Pomar Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,26000.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Northeastern Junior College Foundation,8334.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Northeastern Junior College Foundation,8333.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",8333.00,Holyoke,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",8334.00,Holyoke,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Kit Carson,Praire Heritage Arts Association,1500.00,Burlington,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,9500.00,Yuma,Program,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Yuma,City of Wray,25000.00,Wray,Capital,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Phillips,Phillips County,5000.00,Holyoke,Capital,Children and Youth Services,
El Pomar Foundation,2010,Northeast,Logan,Logan County Literacy Coalition,2500.00,Sterling,General Operating,Education,
El Pomar Foundation,2010,Northeast,Kit Carson,"Dynamic Dimensions, Inc.",10000.00,Burlington,Capital,Disabled Persons,
El Pomar Foundation,2010,Northeast,Morgan,High Plains Sexual Assault Center,5000.00,Fort Morgan,General Operating,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Yuma,Idalia Vision Foundation,5000.00,Idalia,Capital,Human Services,
El Pomar Foundation,2010,Northeast,Morgan,Morgan County Family Center,5000.00,Fort Morgan,General Operating,Human Services,
El Pomar Foundation,2010,Northeast,Yuma,"Wray Area Foundation, Inc.",5000.00,Wray,Program,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",14000.00,Fort Morgan,Program,Emergency Assistance      ,
El Pomar Foundation,2010,Northeast,Logan,Cooperating Ministries of Logan County,14000.00,Sterling,Program,Emergency Assistance      ,
El Pomar Foundation,2010,Northeast,Elbert,Elbert County Coalition for Outreach,5000.00,Elizabeth,Program,Emergency Assistance      ,
El Pomar Foundation,2010,Northeast,Logan,Help for Abused Partners,5000.00,Sterling,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,7000.00,Yuma,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Morgan,"SHARE, Inc",5000.00,Fort Morgan,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,3000.00,Yuma,Program,Children and Youth Services,
El Pomar Foundation,2010,Northeast,Cheyenne,Cheyenne County Public Health,2200.00,Cheyenne Wells,Program,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Logan,Family Resource Center,1500.00,Sterling,General Operating,,
El Pomar Foundation,2010,Northeast,Morgan,Morgan Community College Foundation,7500.00,Fort Morgan,Student Aid/Scholarship,Education,
El Pomar Foundation,2010,Northeast,Morgan,Morgan Community College Foundation,5000.00,Fort Morgan,Program,Education,
El Pomar Foundation,2010,Northeast,Logan,Northeast Colorado Health Department,13000.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Morgan,Northeastern Colorado Association of Local Governments,1500.00,Fort Morgan,Program,Human Services,
El Pomar Foundation,2010,Northeast,Logan,Northeastern Junior College Foundation,7500.00,Sterling,Student Aid/Scholarship,Education,
El Pomar Foundation,2010,Northeast,Logan,Northeastern Junior College Foundation,5000.00,Sterling,Program,Education,
El Pomar Foundation,2010,Northeast,Morgan,OneMorgan County,1500.00,Fort Morgan,Program,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Morgan,OneMorgan County,1500.00,Fort Morgan,General Operating,"Community, Public Affairs",
El Pomar Foundation,2010,Northeast,Cheyenne,Prairie View Health Resources ,1500.00,Cheyenne Wells,General Operating,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Yuma,Rural Communities Resource Center,4800.00,Yuma,Program,Health                                                                     ,
El Pomar Foundation,2010,Northeast,Yuma,Idalia High School,5000.00,Idalia,Other,Education,
El Pomar Foundation,2010,Northeast,Yuma,Wray High School,5000.00,Wray,Other,Education,
El Pomar Foundation,2011,Northeast,Phillips,"Haxtun Education Foundation, Inc.",20000.00,Haxtun,Program,Education,
El Pomar Foundation,2011,Northeast,Logan,"Centennial Mental Health Center, Inc.",20000.00,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2011,Northeast,Morgan,Eben Ezer Lutheran Care Center,10000.00,Brush,Other,Health                                                                     ,
