Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Teller,Victor Lowell Thomas Museum,"$20,000.00",Victor,Capital,Arts and Culture,8/28/2014,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Teller,Teller Senior Coalition Inc,"$10,000.00",Woodland Park,General Support,Senior Citizens,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Teller,Community Partnership Family Resource Center,"$18,000.00",Divide,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Teller,Teller/Park Early Childhood Council,"$20,000.00",Divide,Program,Early Childhood,8/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Heart of CO,Teller,Lake George Charter School,"$150,000.00",Lake George,Capital,Health,2/6/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Breckenridge Outdoor Education Center,"$10,000.00",Breckenridge,General Operating,Human Services,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Lake Dillon Foundation for the Performing Arts,"$2,000.00",Dillon,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Summit County Family Resource Center,"$2,500.00",Dillon,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Summit County School District Re-1,"$2,500.00",Frisco,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Summit Foundation,"$3,000.00",Breckenridge,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Town of Breckenridge,"$25,000.00",Breckenridge,Capital,Arts and Culture,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Summit ,Town of Breckenridge,"$15,000.00",Breckenridge,Capital,Civic and Community,7/24/14,,,,,,,,,,
Adolph Coors Foundation,2014,Heart of CO,Summit,Summit County Library Foundation,"$10,000.00",Frisco,Capital,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Summit,Breckenridge Outdoor Education Center,"$10,000.00",Breckenridge,General Operating,Disabled,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Summit,Domus Pacis Family Respite,"$8,000.00",Breckenridge,General Operating,Health & Hospice,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Summit,High Country Conservation Center,"$7,500.00",Frisco,Program,Families,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Summit,Keystone Science School,"$7,500.00",Keystone,Program,Outdoor Programs,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Summit,Breckenridge Outdoor Education Center,"$15,000.00",Breckenridge,Program Support,Disabled,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Summit,Breckenridge Outdoor Education Center,"$2,500.00",Breckenridge,General Operating,Disabled,12/4/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Summit,CASA of the Continental Divide,"$5,000.00",Dillon,General Operating,Youth,8/20/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Heart of CO,Summit,Summit Community Care Clinic,"$75,000.00",Frisco,Program,Health,1/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Heart of CO,Summit,Summit Community Care Clinic,"$100,000.00",Frisco,Program,Health,8/5/14,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Summit,Breckenridge Outdoor Education Center,"$20,000.00",Breckenridge,General Operating,Amateur Sports,,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Summit,Summit County Library Foundation,"$50,000.00",Breckenridge,Capital,Arts and Culture,4/30/2014,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Summit,Family & Intercultural Resource Center,"$45,000.00",Dillon,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Summit,Summit County Preschool,"$12,000.00",Frisco,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Summit,Lake Dillon Preschool and Early Learning Center,"$10,000.00",Dillon,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Summit,Summit County Youth and Family Services,"$5,000.00",Frisco,Program,Early Childhood,8/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Heart of CO,Summit,Summit Community Care Clinic,"$425,850.00",Frisco,General Operating,Health,6/12/14,,,,,,,,,,
The Colorado Health Foundation,2014,Heart of CO,Summit,Summit Community Care Clinic,"$89,000.00",Frisco,Program,Health,8/14/14,,,,,,,,,,
The Colorado Trust,2014,Heart of CO,Summit,"Summit Community Care Clinic, Inc.","$40,000.00",Frisco,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Park ,"Boys and Girls Club of South Park, Inc.","$28,124.00",Fairplay,General Operating,Civic and Community,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Park ,"Boys and Girls Club of South Park, Inc.","$2,500.00",Fairplay,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Park ,Mosquito Range Heritage Initiative,"$2,500.00",Alma,General Operating,Civic and Community,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Park ,Park County Government,"$10,000.00",Fairplay,Program,Civic and Community,5/7/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Park ,South Park Food Bank,"$2,500.00",Fairplay,General Operating,Human Services,9/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Park,Boys and Girls Club of South Park,$500.00,Fairplay,Program,"Civic, Community, and Technical Assistance",4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Park,Bristlecone Montessori School,"$5,000.00",Alma,General Operating,Early Childhood,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Park,Edith Teter Preschool,"$5,000.00",Fairplay,Program,Early Childhood,4/30/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Park,Boys and Girls Club of South Park Inc,"$12,500.00",Fairplay,General Support,Youth,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Park,Bristlecone Montessori School,"$10,500.00",Alma,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Park,South Park Early Childhood System,"$35,000.00",Fairplay,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Heart of CO,Park,Park County School District RE-2,"$105,035.00",Fairplay,Program,Health,2/14/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,Advocates of Lake County,"$2,500.00",Leadville,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,Lake County Human Services,"$300,000.00",Leadville,Program,Civic and Community,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,Lake County School District R-1,"$4,200.00",Leadville,Program,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,Lake County School District R-1,"$2,500.00",Leadville,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,Lake County School District R-1,"$2,500.00",Leadville,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,Leadville Arts Coalition,$800.00,Leadville,Program,Arts and Culture,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,National Mining Hall of Fame and Museum,"$10,000.00",Leadville,Capital,Arts and Culture,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Lake ,St. George Episcopal Church,"$10,000.00",Leadville,Program,Human Services,12/15/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Lake,"Advocates of Lake County, Inc.","$7,500.00",Leadville,General Operating,Crisis Intervention,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Lake,St. George Community Meals,"$20,000.00",Leadville,General Operating,Indigent,6/2/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$12,500.00",Leadville,Program Support,Indigent,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Lake,The Center,"$30,000.00",Leadville,Program Support,Youth,11/24/14,,,,,,,,,,
Boettcher Foundation,2014,Heart of CO,Lake,Colorado Outward Bound School,"$40,000.00",Leadville,Capital,Education,7/1/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Heart of CO,Lake,St. Vincent Hospital Foundation,"$50,000.00",Leadville,Capital,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Lake,"Full Circle of Lake County, Incorporated","$20,000.00",Leadville,Program,Youth Development,,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Lake,Lake County School District R-1,"$20,396.00",Leadville,General Operating,Education,11/14/2014,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Lake,Lake County,"$30,000.00",Leadville,Capital,Parks-Conservation-Recreation,4/30/2014,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Lake,Odyssey School (The),"$5,750.00",Leadville,General Operating,Education,8/29/2014,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Lake,Odyssey School (The),"$45,410.00",Leadville,General Operating,Education,11/28/2014,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Lake,Center Preschool,"$39,000.00",Leadville,General Operating,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Trust,2014,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$200,000.00",Leadville,General Operating,Health,11/4/14,,,,,,,,,,
The Colorado Trust,2014,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$40,000.00",Leadville,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,"Boys and Girls Club of Fremont County, Inc.","$28,350.00",Ca–on City,General Operating,Civic and Community,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,"Ca–on City Golden Age Council, Inc.","$5,000.00",Ca–on City,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,Ca–on City Pregnancy Center,"$2,500.00",Ca–on City,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,"Ca–on Literacy Center, Inc.","$1,500.00",Ca–on City,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,Desert Waters Correctional Outreach,"$2,500.00",Florence,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,Fremont RE - 1 School District,"$26,729.00",Ca–on City,Program,Education,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,Loaves and Fishes Ministries of Fremont County,"$2,500.00",Ca–on City,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,Senior Services Solutions Plus,"$2,500.00",Canon City,General Operating,Human Services,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,St. Thomas More Health Foundation,"$35,000.00",Ca–on City,Capital,Health,5/7/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Fremont ,Upper Arkansas Area Council of Governments,"$2,500.00",Ca–on City,General Operating,Human Services,9/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,Heart of CO,Fremont,Boys & Girls Club of Fremont County,"$15,000.00",Canon City,General Operating,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,Ark River EMS,"$5,000.00",Cotopaxi,General Operating,Health & Hospice,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,"Boys and Girls Club of Fremont County, Inc.","$10,000.00",Canon City,General Operating,Youth Development,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,"Ca–on Literacy Center, Inc.","$5,000.00",Canon City,General Operating,Literacy,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,Loaves and Fishes Ministries of Fremont County,"$10,000.00",Canon City,Program,Families,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Senior Programs,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,"The Canon City Golden Age Council, Inc.","$7,500.00",Canon City,General Operating,Senior Programs,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Fremont,The Florence Senior Center,"$5,000.00",Florence,General Operating,Senior Programs,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Fremont,Loaves and Fishes Ministries of Fremont County,"$5,000.00",Canon City,General Operating,Indigent,6/2/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Fremont,Canon Literacy Center,"$2,500.00",Canon City,General Operating,Youth,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Fremont,"Canon City Golden Age Center, Inc.","$10,000.00",Canon City,Program Support,Senior,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Senior,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Fremont,Senior Services Solutions Plus,"$2,500.00",Canon City,General Operating,Senior,12/4/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Fremont,Senior Services Solutions Plus,"$2,500.00",Canon City,General Operating,Senior,12/4/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Heart of CO,Fremont,"Canon City Golden Age Council, Inc.","$18,000.00",Canon City,Program,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Fremont,Upper Arkansas Area Council of Governments,"$30,000.00",Canon City,General Operating,Youth Development,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Fremont,"Canon City Golden Age Council, Inc.","$15,000.00",Cannon City,Capital,Senior Citizens,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Fremont,Starpoint,"$56,000.00",Ca–on City,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Fremont,Kinder Haus,"$25,000.00",Florence,Capital,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Fremont,Upper Arkansas Area Council of Governments,"$10,810.00",Canon City,Program,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Custer ,Crystal Mountain Center for Performing Arts,"$10,000.00",Westcliffe,Capital,Arts and Culture,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Custer ,Crystal Mountain Center for Performing Arts,"$2,000.00",Westcliffe,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Custer ,"Custer 2020, Inc.","$5,000.00",Westcliffe,Capital,Civic and Community,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Custer ,West Custer County Hospital District,"$3,000.00",Westcliffe,Program,Health,9/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,Heart of CO,Custer,Cross D Bar Recreation Center,"$6,000.00",Westcliffe,Program,,7/31/14,,,,,,,,,,
Adolph Coors Foundation,2014,Heart of CO,Custer,"Outdoor Buddies, Inc.","$5,000.00",Westcliffe,General Operating,,3/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Custer,'Cliffs Commercial District,"$7,500.00",Westcliffe,General Operating,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Custer,Club America WMV,"$5,000.00",Westcliffe,General Operating,Senior Programs,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Custer,"Outdoor Buddies, Inc.","$5,000.00",Westcliffe,General Operating,Disabled,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Custer,"Outdoor Buddies, Inc.","$5,000.00",Westcliffe,General Operating,Disabled,12/4/14,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Custer,"Custer County Senior Citizens Center, Incorporated","$10,000.00",Westcliffe,Capital,Aging,,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,Boys and Girls Clubs of Chaffee County,"$57,000.00",Salida,General Operating,Civic and Community,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,Boys and Girls Clubs of Chaffee County,"$2,500.00",Salida,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,Chaffee County Department of Health and Human Services,"$5,000.00",Salida,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,"Chaffee County Early Childhood Council, Inc.","$21,926.00",Salida,Program,Education,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,"Colorado Farm to Table, Inc.","$2,500.00",Salida,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,Salida Hospital Foundation,"$25,000.00",Salida,Capital,Health,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Chaffee ,Society of the First Presbyterian Church of Salida,"$2,500.00",Salida,Program,Human Services,9/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Chaffee,"Ark-Valley Humane Society, Inc.","$5,000.00",Buena Vista,Program,Humane Animal Services,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Chaffee,Boys and Girls Clubs of Chaffee County,"$5,000.00",Salida,General Operating,Youth Development,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Chaffee,Boys and Girls Clubs of Chaffee County,"$5,000.00",Salida,General Operating,Youth Development,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Chaffee,"Colorado Farm To Table, Inc.","$10,000.00",Salida,General Operating,Food/Shelter/Homeless,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Chaffee,Full Circle Restorative Justice,"$7,500.00",Salida,General Operating,Crisis Intervention,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Chaffee,Colorado Farm to Table,"$15,000.00",Salida,General Operating,Indigent,6/2/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Chaffee,Chaffee County Habitat for Humanity,"$5,000.00",Buena Vista,General Operating,Indigent,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Chaffee,Valley to Valley Senior Care Center,"$12,500.00",Salida,General Operating,Senior,11/24/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Heart of CO,Chaffee,Chaffee County Early Childhood Council Inc,"$26,169.00",Salida,Program,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Chaffee,Boys & Girls Club of Chaffee County,"$1,250.00",Salida,General Operating,Youth Development,,,,,,,,,,,
Gates Family Foundation,2014,Heart of CO,Chaffee,Land Trust of the Upper Arkansas,"$54,000.00",Salida,Capital,Natural Resources,7/31/2014,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Chaffee,Boys and Girls Clubs of Chaffee County,"$10,000.00",Salida,General Support,Youth,12/2/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Chaffee,Boys and Girls Clubs of Chaffee County,"$10,000.00",Salida,Capital,Youth,12/2/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Chaffee,"Colorado Farm to Table, Inc.","$50,000.00",Salida,General Support,Civic and Community,6/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Chaffee,Chaffee County Early Childhood Council,"$15,000.00",Salida,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Chaffee,Avery-Parsons Early Childhood Program,"$11,000.00",Buena Vista,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Chaffee,"Family & Youth Initiatives Division, Chaffee County","$28,000.00",Salida,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Heart of CO,Chaffee,Chaffee County Montessori School,"$16,500.00",Salida,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Heart of CO,Chaffee,Guidestone,"$70,000.00",Salida,Program,Health,12/23/14,,,,,,,,,,
The Colorado Health Foundation,2014,Heart of CO,Chaffee,Chaffee County Dental Coalition,"$48,382.00",Salida,Program,Health,10/9/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Chaffee,Guidestone,"$7,500.00",Salida,General Operating,Self Sufficiency,11/30/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,"Hospice of the Plains, Inc.","$5,000.00",Wray,General Operating,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,Regional Home Visitation Program,"$2,500.00",Yuma,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,Rural Communities Resource Center,"$5,000.00",Yuma,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,Rural Communities Resource Center,"$5,000.00",Yuma,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,Wray Community Child Care Center,"$2,500.00",Wray,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,"Wray Rehabilitation and Activities Center, Inc.","$20,000.00",Wray,General Operating,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,"Wray Rehabilitation and Activities Center, Inc.","$5,000.00",Wray,Capital,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,Yuma Children's Academy,"$15,000.00",Yuma,Capital,Human Services,5/7/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Yuma ,Yuma Children's Academy,"$2,500.00",Yuma,General Operating,Human Services,9/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,Northeast,Yuma,Rural Young Americans Center for Financial Education Wray,"$10,000.00",Wray,General Operating,,7/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Yuma,Cubs Den,"$5,000.00",Idalia,General Operating,Early Childhood,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Yuma,Rural Communities Resource Center,"$10,000.00",Yuma,Program,Food/Shelter/Homeless,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Yuma,Wray Community Learning Center,"$10,000.00",Wray,General Operating,Early Childhood,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc.","$10,000.00",Wray,General Operating,Health & Hospice,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,Northeast,Yuma,Wray Rehabilitation & Activities Center,"$7,500.00",Wray,Program Support,Senior,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Northeast,Yuma,Baby Bear Hugs,"$12,500.00",Yuma,General Operating,Youth,6/2/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Yuma,Encore Life Inc.,"$34,000.00",Wray,Program,Health,1/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Yuma,Regional Home Visitation Program,"$21,000.00",Yuma,Technical Assistance,Health,9/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Yuma,Regional Home Visitation Program,"$38,746.00",Yuma,Program,Health,6/25/14,,,,,,,,,,
