Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Anschutz Family Foundation,2011,Heart of Colorado,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,Heart of Colorado,Lake,"Advocates of Lake County, Inc.","$7,500.00",Leadville,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,Heart of Colorado,Park,Bristlecone Montessori School,"$5,000.00",Alma,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Park,South Park Early Childhood System,"$5,000.00",Fairplay,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Park,Rocky Mountain Rural Health,"$5,000.00",Fairplay,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,"$5,000.00",Breckenridge,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,Heart of Colorado,Summit,Breckenridge Montessori,"$5,000.00",Breckenridge,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Summit,Domus Pacis Family Respite,"$5,000.00",Breckenridge,General Operating,Hospice,
Anschutz Family Foundation,2011,Heart of Colorado,Summit,"Colorado West Regional Mental Health Center, Summit Center","$5,000.00",Frisco,Program,Health                                                                     ,
Anschutz Family Foundation,2011,Heart of Colorado,Summit,Family & Intercultural Resource Center,"$5,000.00",Dillon,General Operating,,
Anschutz Family Foundation,2011,Heart of Colorado,Summit,"Advocates for Victims of Assault, Inc.","$5,000.00",Frisco,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,Heart of Colorado,Summit,"Swan Center Outreach, Inc.","$5,000.00",Silverthorne,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Teller,Help the Needy,"$6,000.00",Woodland Park,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,Heart of Colorado,Teller,"Prospect Home Care & Hospice, Inc.","$5,000.00",Woodland Park,General Operating,Hospice,
Anschutz Family Foundation,2011,Heart of Colorado,Teller,Teller Senior Coalition,"$5,000.00",Woodland Park,General Operating,,
Anschutz Family Foundation,2011,Northeast,Lincoln,Wee Blew Inn Preschool,"$5,000.00",Burlington,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Logan,ECCLPS,"$5,000.00",Sterling,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Logan,The Family Resource Center,"$5,000.00",Sterling,General Operating,,
Anschutz Family Foundation,2011,Northeast,Logan,Cooperating Ministry of Logan County,"$7,500.00",Sterling,Program,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,Northeast,Logan,Logan County Literacy Coalition,"$2,500.00",Sterling,General Operating,Education,
Anschutz Family Foundation,2011,Northeast,Morgan,Fort Morgan Humane Society,"$3,000.00",Fort Morgan,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Northeast,Morgan,The School for the Performing Arts,"$5,000.00",Fort Morgan,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Phillips,"Phillips County Family Education Services, Inc.","$5,000.00",Holyoke,General Operating,Education,
Anschutz Family Foundation,2011,Northeast,Yuma,M12 Incorporated,"$5,000.00",Yuma,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,Northeast,Yuma,Baby Bear Hugs,"$5,000.00",Yuma,General Operating,,
Anschutz Family Foundation,2011,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc.","$5,000.00",Wray,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Northeast,Yuma,Wray Senior Community Center,"$7,500.00",Wray,General Operating,,
Anschutz Family Foundation,2011,Northwest,Grand,Grand Foundation,"$5,000.00",Winter Park,Program,,
Anschutz Family Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,"$5,000.00",Fraser,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Grand,Grand Beginnings,"$5,000.00",Hot Sulphur Springs,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Grand,Grand Kids,"$5,000.00",Fraser,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.","$7,500.00",Hot Sulphur Springs,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Northwest,Grand,Shining Stars Foundation,"$5,000.00",Tabernash,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Council on Aging, Inc.","$4,800.00",Granby,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,"$5,000.00",Craig,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Routt,Northwest Colorado Rural Philanthropy Days Interim Program,"$5,000.00",Steamboat Springs,Program,,
Anschutz Family Foundation,2011,Northwest,Routt,Community Cultivation Program,"$5,000.00",Steamboat Springs,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Northwest,Routt,Grand Futures Prevention Coalition,"$5,000.00",Steamboat Springs,General Operating,,
Anschutz Family Foundation,2011,Northwest,Routt,Rocky Mountain Youth Corps,"$5,000.00",Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northwest,Routt,Yampatika,"$5,000.00",Steamboat Springs,Program,Children and Youth Services,
Anschutz Family Foundation,2011,San Juan,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.","$5,000.00",Crested Butte,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,San Juan,Gunnison,Paradise Place Community Christian School,"$2,500.00",Crested Butte,Student Aid/Scholarship,Children and Youth Services,
Anschutz Family Foundation,2011,San Juan,Gunnison,Gunnison Country Partners,"$5,000.00",Gunnison,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Juan,Hinsdale,Community Food Bank,"$5,000.00",Grand Junction,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,San Juan,Montrose,The Dolphin House,"$7,500.00",Montrose,Program,Abuse & Neglect Prevention,
Anschutz Family Foundation,2011,San Juan,Montrose,Voices for Children,"$5,000.00",Montrose,General Operating,Abuse & Neglect Prevention,
Anschutz Family Foundation,2011,San Juan,Montrose,End of the Trail Horse Rescue/Sanctuary,"$5,000.00",Olathe,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,San Juan,Montrose,Christ's Kitchen,"$5,000.00",Montrose,General Operating,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2011,San Juan,Montrose,Passage Charter School,"$5,000.00",Montrose,General Operating,Education,
Anschutz Family Foundation,2011,San Juan,Montrose,"All Points Transit, Inc.","$7,500.00",Montrose,Program,Disabled Persons,
Anschutz Family Foundation,2011,San Juan,Ouray,Voyager Youth Program,"$5,000.00",Ridgway,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Juan,San Miguel,Telluride Adaptive Sports Program,"$5,000.00",Telluride,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,San Juan,San Miguel,The Wright Stuff Community Foundation,"$5,000.00",Norwood,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,"La Puente Home, Inc.","$10,000.00",Alamosa,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,SLVIRC,"$5,000.00",Alamosa,General Operating,Legal Services,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,Alamosa Senior Center,"$5,000.00",Alamosa,Capital,,
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,"Tu Casa, Inc.","$5,000.00",Alamosa,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,San Luis Valley,Alamosa,Center for Restorative Programs,"$5,000.00",Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Conejos,Little Treasures Preschool,"$5,000.00",La Jara,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Mineral,"Creede Repertory Theatre, Inc.","$5,000.00",Creede,Program,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Rio Grande,High Valley Community Center,"$5,000.00",Del Norte,Program,Children and Youth Services,
Anschutz Family Foundation,2011,San Luis Valley,Saguache,Crestone Musical Festival,"$5,000.00",Crestone,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,San Luis Valley,Saguache,ScSEED,"$5,000.00",Villa Grove,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,San Luis Valley,Saguache,Crestone Youth Place,"$5,000.00",Crestone,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,"Springfield Child Care Center, Inc.","$7,500.00",Springfield,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,Walsh Child Care Center,"$5,000.00",Walsh,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,"Blue Rose Ranch, Inc. Horse Rescue & Adoption","$5,000.00",Springfield,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Southeast,Bent,Las Animas Helping Hands,"$7,500.00",Las Animas,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,Southeast,Bent,Las Animas-Bent County Library District,"$5,000.00",Las Animas,Program,Education,
Anschutz Family Foundation,2011,Southeast,Bent,Bent County HealthCare Center,"$7,500.00",Las Animas,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Southeast,Kiowa,Kiowa County RE-2 Plainview Preschool,"$5,000.00",Sheridan Lake,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Las Animas,Trinidad State Junior College,"$5,000.00",Trinidad,Program,,
Anschutz Family Foundation,2011,Southeast,Las Animas,"Kim Equine Pavillion and Education Center, Inc.","$7,500.00",Kim,Capital,Economic Development      ,
Anschutz Family Foundation,2011,Southeast,Las Animas,Trinidad School District #1,"$5,000.00",Trinidad,Program,Education,
Anschutz Family Foundation,2011,Southeast,Las Animas,Noah's Ark Animal Welfare Association,"$5,000.00",Trinidad,Program,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Southeast,Otero,"Koshare Indian Museum, Inc.","$7,500.00",La Junta,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2011,Southeast,Otero,Inspiration Field,"$7,500.00",La Junta,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Southeast,Otero,"Southeast Colorado Regional Heritage Taskforce, Inc.","$10,000.00",Fowler,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,Southeast,Otero,La Junta Associated Charities,"$7,500.00",La Junta,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,Southwest,Archuleta,Seeds of Learning,"$5,000.00",Pagosa Springs,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Southwest,Dolores,Dolores County School District,"$3,000.00",Rico,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southwest,Dolores,Dove's Nest Early Care and Education Center,"$5,000.00",Dove Creek,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southwest,La Plata,RSAPP - Regional Substance Abuse Prevention Partners,"$5,000.00",Durango,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,Southwest,La Plata,"Riverhouse Children's Center, Inc.","$5,000.00",Durango,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southwest,La Plata,Durango Adult Education Center,"$5,000.00",Durango,Program,Education,
Anschutz Family Foundation,2011,Southwest,La Plata,Music in the Mountains,"$5,000.00",Durango,Program,Education,
Anschutz Family Foundation,2011,Southwest,La Plata,La Plata Family Centers Coalition,"$5,000.00",Durango,Program,,
Anschutz Family Foundation,2011,Southwest,La Plata,The Manna Soup Kitchen,"$7,500.00",Durango,General Operating,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2011,Southwest,La Plata,La Plata Home Fund,"$7,500.00",Durango,General Operating,Education,
Anschutz Family Foundation,2011,Southwest,La Plata,Trails 2000,"$5,000.00",Durango,Program,"Environment, Conservation",
Anschutz Family Foundation,2011,Southwest,La Plata,Alternative Horizons Corporation,"$5,000.00",Durango,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,Southwest,La Plata,Sexual Assult Services Organization,"$5,000.00",Durango,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,Southwest,La Plata,Boys and Girls Club of La Plata County,"$5,000.00",Durango,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southwest,Montezuma,Mancos Valley Resources,"$3,000.00",Mancos,General Operating,,
Anschutz Family Foundation,2011,Southwest,Montezuma,The Children's Kiva,"$5,000.00",Cortez,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southwest,Montezuma,Salvation Army Cortez CO Service Center,"$5,000.00",Cortez,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,Southwest,Montezuma,"For Pets' Sake, Inc.","$5,000.00",Cortez,Program,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Southwest,Montezuma,Medicine Horse Center: Therapeutic Riding & Equine,"$5,000.00",Mancos,Program,Health                                                                     ,
Anschutz Family Foundation,2011,Southwest,Montezuma,Mancos Public Library District,"$4,500.00",Mancos,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Delta,Kids' Pasta Project,"$6,000.00",Hotchkiss,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Delta,Delta County School District #50,"$5,000.00",Delta,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Delta,Little Sprouts Community Preschool,"$5,000.00",Cedaredge,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Delta,North Fork Community Montessori School,"$5,000.00",Hotchkiss,Student Aid/Scholarship,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Delta,FAMILIES PLUS,"$5,000.00",Delta,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Delta,Delta County Citizens for Animal Welfare and Shelter,"$5,000.00",Paonia,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Western Slope,Delta,"VOANS Senior CommUnity Meals, Inc.","$7,500.00",Eckert,General Operating,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2011,Western Slope,Eagle,Early Childhood Partners,"$5,000.00",Eagle,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Eagle,Family Learning Center,"$5,000.00",Edwards,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Eagle,The Salvation Army/Vail Valley,"$5,000.00",Edwards,General Operating,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2011,Western Slope,Eagle,Doctors Plus,"$5,000.00",Avon,Program,Health                                                                     ,
Anschutz Family Foundation,2011,Western Slope,Eagle,Vail Valley Charitable Fund,"$5,000.00",Edwards,Program,Health                                                                     ,
Anschutz Family Foundation,2011,Western Slope,Eagle,Eagle Valley Humane Society,"$5,000.00",Eagle,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Western Slope,Eagle,Eagly County School District RE 50J,"$5,000.00",Eagle,Program,Health                                                                     ,
Anschutz Family Foundation,2011,Western Slope,Eagle,Bright Future Foundation for Eagle County,"$5,000.00",Avon,Program,Emergency Assistance      ,
Anschutz Family Foundation,2011,Western Slope,Eagle,SOS Outreach,"$5,000.00",Avon,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Eagle,The Youth Foundation,"$7,500.00",Edwards,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Garfield,Wind Walkers Equine Assisted Learning & Therapy Center,"$5,000.00",Carbondale,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,Western Slope,Garfield,Roaring Fork Family Resource Centers,"$5,000.00",Carbondale,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Garfield,Feed My Sheep Ministry,"$5,000.00",New Castle,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,Western Slope,Garfield,LIFT-UP,"$5,000.00",Rifle,Program,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2011,Western Slope,Garfield,TOM'S Door,"$1,000.00",Carbondale,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2011,Western Slope,Garfield,Literacy Outreach,"$5,000.00",Glenwood Springs,General Operating,Education,
Anschutz Family Foundation,2011,Western Slope,Garfield,Colorado Mountain College,"$5,000.00",Glenwood Springs,Program,,
Anschutz Family Foundation,2011,Western Slope,Garfield,High Country RSVP,"$5,000.00",Glenwood Springs,General Operating,,
Anschutz Family Foundation,2011,Western Slope,Garfield,YouthEntity,"$5,000.00",Carbondale,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Garfield,YouthZone,"$5,000.00",Glenwood Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Mesa,CASA of Mesa County,"$5,000.00",Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Mesa,Colorado Discover Ability,"$7,500.00",Grand Junction,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,Western Slope,Mesa,Mesa County Partnership for Children and Families,"$5,000.00",Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Mesa,The Parenting Place of Western Colorado,"$5,000.00",Grand Junction,General Operating,Abuse & Neglect Prevention,
Anschutz Family Foundation,2011,Western Slope,Mesa,Grand Junction Imagination Library,"$3,000.00",Grand Junction,General Operating,Education,
Anschutz Family Foundation,2011,Western Slope,Mesa,The Literacy Center/Mesa County Libraries,"$5,000.00",Grand Junction,General Operating,Education,
Anschutz Family Foundation,2011,Western Slope,Mesa,Counseling and Education Center,"$5,000.00",Grand Junction,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Western Slope,Mesa,Artspace & Open Studios,"$3,200.00",Grand Junction,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2011,Western Slope,Mesa,St. Mary's Hospital and Medical Center,"$5,000.00",Grand Junction,General Operating,,
Anschutz Family Foundation,2011,Western Slope,Mesa,"Black Canyon Boys & Girls Club, Inc.","$5,000.00",Montrose,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Mesa,Girls on the Run of Western Colorado,"$5,000.00",Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Western Slope,Mesa,Mesa County Partners,"$7,500.00",Grand Junction,General Operating,Children and Youth Services,
AV Hunter Trust,2011,San Luis Valley,Alamosa ,"Tu Casa, Inc.","$10,000.00",Alamosa,General Operating,Indigent,8/29/11
AV Hunter Trust,2011,San Luis Valley,Alamosa ,Boys & Girls Club of the San Luis Valley,"$20,000.00",Alamosa,General Operating,Youth,11/22/11
AV Hunter Trust,2011,San Luis Valley,Alamosa ,La Puente Home,"$30,000.00",Alamosa,General Operating,Indigent,11/22/11
AV Hunter Trust,2011,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,"$15,000.00",Breckenridge,Program,Disabled,11/22/11
AV Hunter Trust,2011,Heart of Colorado,Fremont,"Canon City Golden Age Center, Inc.","$10,000.00",Canon City,Program,Seniors,11/22/11
AV Hunter Trust,2011,Heart of Colorado,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Seniors,11/22/11
AV Hunter Trust,2011,Heart of Colorado,Fremont,Senior Services Solutions Plus,"$2,500.00",Canon City,General Operating,Seniors,12/21/11
AV Hunter Trust,2011,San Luis Valley,Conejos,Valle del Sol Community Center,"$5,000.00",Capulin,General Operating,Youth,11/22/11
AV Hunter Trust,2011,Western Slope,Garfield,WindWalkers - Equine Assisted Learning & Therapy Center,"$5,000.00",Carbondale,General Operating,Disabled,11/22/11
AV Hunter Trust,2011,Southwest,Montezuma,Four Corners Child Advocacy Center,"$5,000.00",Cortez,General Operating,Youth,8/29/11
AV Hunter Trust,2011,Northwest,Moffat,Northwest Colorado Dental Coalition,"$10,000.00",Craig,General Operating,Indigent,6/3/11
AV Hunter Trust,2011,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,"$7,500.00",Craig,General Operating,Youth,11/22/11
AV Hunter Trust,2011,San Luis Valley,Rio Grande,High Valley Community Center,"$7,500.00",Del Norte,Program,Youth,11/22/11
AV Hunter Trust,2011,Heart of Colorado,Summit,CASA of the Continental Divide,"$5,000.00",Dillon,General Operating,Youth,8/29/11
AV Hunter Trust,2011,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,"$5,000.00",Durango,General Operating,Youth,6/3/11
AV Hunter Trust,2011,Southwest,La Plata,Manna - The Durango Soup Kitchen,"$10,000.00",Durango,General Operating,Indigent,6/3/11
AV Hunter Trust,2011,Southwest,La Plata,Habitat for Humanity of La Plata County,"$10,000.00",Durango,General Operating,Indigent,8/29/11
AV Hunter Trust,2011,Southwest,La Plata,Adaptive Sports Association,"$10,000.00",Durango,General Operating,Disabled,11/22/11
AV Hunter Trust,2011,Southwest,La Plata,Alternative Horizons Corporation,"$10,000.00",Durango,Program,Youth,11/22/11
AV Hunter Trust,2011,Southwest,La Plata,Boys & Girls Club of La Plata County,"$5,000.00",Durango,General Operating,Youth,11/22/11
AV Hunter Trust,2011,Southwest,La Plata,La Plata Family Centers Coalition,"$10,000.00",Durango,Program,Youth,11/22/11
AV Hunter Trust,2011,Southwest,La Plata,Sexual Assault Services Organization,"$5,000.00",Durango,Program,Youth,11/22/11
AV Hunter Trust,2011,Northeast ,Morgan,"S.A.R.A., Inc.","$5,000.00",Fort Morgan,General Operating,Youth,8/29/11
AV Hunter Trust,2011,Western Slope,Garfield,Advocate Safehouse Project,"$5,000.00",Glenwood Springs,General Operating,Indigent,8/29/11
AV Hunter Trust,2011,Western Slope,Garfield,Family Visitor Programs,"$10,000.00",Glenwood Springs,Program,Youth,8/29/11
AV Hunter Trust,2011,Western Slope,Mesa,Counseling and Education Center,"$5,000.00",Grand Junction,General Operating,Indigent,6/3/11
AV Hunter Trust,2011,Western Slope,Mesa,Mesa County Partners,"$7,500.00",Grand Junction,Program,Youth,6/3/11
AV Hunter Trust,2011,Western Slope,Mesa,CASA of Mesa County,"$5,000.00",Grand Junction,General Operating,Youth,8/29/11
AV Hunter Trust,2011,Western Slope,Mesa,Western Slope Center for Children,"$5,000.00",Grand Junction,General Operating,Youth,8/29/11
AV Hunter Trust,2011,Western Slope,Mesa,"Mesa County RSVP, Inc.","$10,000.00",Grand Junction,Program,Seniors,11/22/11
AV Hunter Trust,2011,Western Slope,Mesa,Counseling and Education Center,"$2,500.00",Grand Junction,General Operating,Indigent,12/21/11
AV Hunter Trust,2011,Northeast ,Phillips,"Phillips County Family Education Services, Inc.","$10,000.00",Holyoke,General Operating,Indigent,8/29/11
AV Hunter Trust,2011,San Luis Valley,Conejos,"Northerners Senior Citizens Association, Inc.","$5,000.00",La Jara,General Operating,Seniors,11/22/11
AV Hunter Trust,2011,Southeast,Prowers,Lamar Area Hospice Association,"$10,000.00",Lamar,Program,Seniors,11/22/11
