Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,
Anschutz Family Foundation,2012,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$7,500.00",Leadville,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Summit,Breckenridge Montessori,"$5,000.00",Breckenridge,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Summit,CASA of the Continental Divide,"$5,000.00",Dillon,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Summit,Summit County Youth and Family Services,"$5,000.00",Frisco,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Northeast,Kit Carson ,"Prairie Family Center, Inc. ","$5,000.00",Burlington,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northeast,Logan,The Family Resource Center,"$7,500.00",Sterling,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northeast,Morgan,OneMorgan County,"$5,000.00",Ft. Morgan,General Operating,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Northeast,Morgan,"S.A.R.A., Inc.","$7,140.00",Fort Morgan,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Northeast,Morgan,Caring Ministries of Morgan County,"$5,000.00",Fort Morgan,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Northeast,Morgan,Kids at Their Best,"$5,000.00",Wiggins,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northeast,Morgan,Morgan County Early Childhood Council,"$5,000.00",Fort Morgan,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Northeast,Phillips,The Dragon's Wagon,"$7,500.00",Holyoke,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northeast,Washington,"Golden Plains, Inc. ","$6,000.00",Akron,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc. ","$10,000.00",Wray,General Operating,Health and Hospice,,,,,
Anschutz Family Foundation,2012,Northeast,Yuma,Baby Bear Hugs,"$7,500.00",Yuma,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northeast,Yuma,Wray Community Child Care Center,"$5,000.00",Wray,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Advocates for a Violence-Free Community,"$5,000.00",Hot Sulphur Springs,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Mountain Family Center,"$7,500.00",Hot Sulphur Springs,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Project Sanctuary,"$10,000.00",Granby,General Operating,Trustees ' Discretionary Grants,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Fraser Creative Learning Center,"$4,500.00",Fraser,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Grand,Grand Kids,"$5,000.00",Fraser,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Advocates Building Peaceful Communities ,"$5,000.00",Steamboat Springs,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Integrated Community,"$5,000.00",Steamboat Springs,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Northwest Colorado Visiting Nurse Association,"$5,000.00",Steamboat Springs,Prorgam,Senior Programs,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Northwest Rocky Mountain CASA,"$5,000.00",Steamboat Springs,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,Partners in Routt County,"$5,000.00",Steamboat Springs,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Northwest,Routt,"Young Tracks, Inc.","$5,000.00",Steamboat Springs,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc. ","$10,000.00",Alamosa,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,"$7,500.00",Alamosa,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,"$2,900.00",Alamosa,Program ,Senior Programs,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,Boys and Girls Club of the San Luis Valley Inc. ,"$7,500.00",Alamosa,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,Center for Restorative Programs,"$7,500.00",Alamosa,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Costilla,"Costilla County Economic Development Council, Inc.","$7,500.00",San Luis,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,San Luis Valley,Mineral,Creede Early Learning Center ,"$5,000.00",Creede,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Mineral,Creede Repertory Theatre,"$5,000.00",Creede,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Rio Grande,High Valley Community center,"$5,000.00",Del Norte,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,San Luis Valley,Saguache,ScSEED,"$5,000.00",Villa Grove,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,San Luis Valley,Saguache,Northern Saguache County Library District,"$5,000.00",Saguache,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,SanJuan,Gunnison,"Adaptive Sports Center of  Crested Butte, Inc.","$5,000.00",Crested Butte,General Operating,Disabled,,,,,
Anschutz Family Foundation,2012,SanJuan,Gunnison,Gunnison County Library District,"$5,000.00",Gunnison,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,SanJuan,Gunnison,Paradise Place Community School,"$5,000.00",Crested Butte,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,The Dolphin House,"$7,500.00",Montrose,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,Paradox Valley School,"$7,500.00",Paradox,Program,Education ,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,Passage Charter School,"$5,000.00",Montrose,General Operating,Education ,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,Haven House of Montrose,"$6,000.00",Montrose,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,"All Points Transit, Inc. ","$7,500.00",Montrose,Program,Senior Programs,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,"Black Canyon Boys and Girls Club, Inc. ","$7,000.00",Montrose,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,Montrose Regional Library District,"$5,000.00",Montrose,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,SanJuan,Montrose,"Partners of Delta, Montrose and Ouray","$7,500.00",Montrose,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,SanJuan,Ouray,Second Chance Humane Society,"$5,000.00",Ridgeway,Program,Humane Animal Services,,,,,
Anschutz Family Foundation,2012,SanJuan,Ouray,"Ouray County Neighbor to Neighbor, Inc.","$5,000.00",Ouray,General Operating,Senior Programs,,,,,
Anschutz Family Foundation,2012,SanJuan,Ouray,Voyager Youth Program,"$5,000.00",Ridgeway,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,SanJuan,San Miguel,San Miguel Resource Center,"$5,000.00",Telluride,Program,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,SanJuan,San Miguel,"Angel Baskets, Inc. ","$5,000.00",Telluride,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Southeast,Baca,"Blue Rose Ranch, Inc. Horse Rescue & Adoption","$5,000.00",Springfield,General Operating,Humane Animal Services,,,,,
Anschutz Family Foundation,2012,Southeast,Baca,"Springfield Child Care Center, Inc. ","$5,500.00",Springfield,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southeast,Bent,Pioneer Historical Society of Bent County,"$7,000.00",Las Animas,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Southeast,Bent,Las Animas Helping Hands,"$7,500.00",Las Animas,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Southeast,Bent,Bent County Healthcare Center,"$5,000.00",Las Animas,General Operating,Senior Programs,,,,,
Anschutz Family Foundation,2012,Southeast,Huerfano,Huerfano County Hospital District ,"$7,500.00",Walsenburg,General Operating,Health and Hospice,,,,,
Anschutz Family Foundation,2012,Southeast,Las Animas,"Southern Colorado Development Disabilities Services, Inc. ","$4,000.00",Trinidad,Program,Disabled,,,,,
Anschutz Family Foundation,2012,Southeast,Las Animas,Earth Mountain Education Farm,"$5,000.00",Weston,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Southeast,Otero,La Junta Associated Charities,"$7,500.00",La Junta,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Southeast,Otero,"Tri-County Family Care Center, Inc. ","$7,500.00",Rocky Ford,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Southeast,Otero,Otero County Department of Human Services,"$5,000.00",La Junta,Program,Senior Programs,,,,,
Anschutz Family Foundation,2012,Southwest,Dolores,"K9 Search and Rescue Team, Inc. ","$3,000.00",Dolores,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Southwest,Dolores,Dolores County School District,"$3,000.00",Dove Creek,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,Dolores,Dove's Nest Early Care and Education Center,"$8,000.00",Dove Creek,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,KSUT Radio,"$7,500.00",Ignacio,General Operating,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,Alternative Horizons Corporation ,"$5,000.00",Durango,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,Adaptive Sports Association,"$7,500.00",Durango,General Operating,Disabled,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,La Plata Family Centers Coalition,"$5,000.00",Durango,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,"Women's Resource Center in Durango, Inc.","$5,000.00",Durango,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,"Southern Ute Community Action Program, Inc.","$5,000.00",Ignacio,Program,Senior Programs,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,Big Brothers Big Sisters of SW CO,"$7,500.00",Durango,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,Music in the Mountains,"$5,000.00",Durango,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,"Riverhouse Children's Center, Inc. ","$5,000.00",Durango,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,RSAPP - Regional Substance Abuse Prevention Partners,"$5,000.00",Durango,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,Trails 2000,"$5,000.00",Durango,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,La Plata,Boys and Girls Club of La Plata County,"$5,000.00",Durango,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,KSJD,"$7,500.00",Cortez,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,The NEST,"$5,000.00",Cortez,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,The Bridge Emergency Shelter,"$5,000.00",Cortez,Program,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,The Pinon Project,"$5,000.00",Cortez,Program,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,The Salvation Army Cortez,"$7,500.00",Cortez,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,Medicine Horse Center: Therapeutic Riding & Equine Rehabilitation,"$5,000.00",Mancos,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,Montezuma,School Community Youth Collaborative ,"$5,000.00",Cortez,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Southwest,San Juan,A Theatre Group,"$7,500.00",Silverton,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Western Slope,Delta,The Abraham Connection,"$7,500.00",Delta,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Western Slope,Delta,Spirit Wind Horse Rescue,"$2,500.00",Hotchkiss,Program,Humane Animal Services,,,,,
Anschutz Family Foundation,2012,Western Slope,Delta,"VOANS Senior Community Meals, Inc. ","$7,500.00",Eckert,General Operating,Senior Programs,,,,,
Anschutz Family Foundation,2012,Western Slope,Delta,North Fork Community Montessori School,"$5,000.00",Hotchkiss,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,CASA of Mesa County,"$5,000.00",Grand Junction,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Colorado Discover Ability,"$5,000.00",Grand Junction,General Operating,Disabled,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,"Grand Valley Catholic Outreach, Inc. ","$7,500.00",Grand Junction,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Grand Junction Community Homeless Shelter,"$7,500.00",Grand Junction,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,"Karis, Inc. ","$7,500.00",Grand Junction,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Child & Migrant Services,"$5,000.00",Palisade,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Hilltop Health Services Corporation,"$5,000.00",Grand Junction,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,St. Mary's Hospital Foundation,"$5,000.00",Grand Junction,Program,Senior Programs,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Girls on the Run of Western Colorado,"$5,000.00",Grand Junction,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Mesa County Partners ,"$5,000.00",Grand Junction,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Western Slope,Mesa,Mesa County Partnership for Children and Families,"$5,000.00",Grand Junction,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,WesternSlope,Eagle,Bright Future Foundation for Eagle County,"$5,000.00",Avon,Program ,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,WesternSlope,Eagle,Bravo! Vail Valley Music Festival,"$5,000.00",Vail,Program,Youth Development,,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,Third Street Center,"$7,500.00",Carbondale,General Operating,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,Advocate Safehouse Project ,"$7,500.00",Glenwood Springs,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,"Alpine Legal Services, Inc. ","$5,000.00",Glenwood Springs,General Operating,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,Garfield County Libraries,"$5,000.00",Rifle,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,Roaring Fork Valley Early Learning Fund,"$5,000.00",Glenwood Springs,Program,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,Colorado Mountain College Foundation. Inc. ,"$5,000.00",Glenwood Springs,Program ,Senior Programs,,,,,
Anschutz Family Foundation,2012,WesternSlope,Garfield,YouthEntity,"$5,000.00",Carbondale,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,WesternSlope,Pitkin,RESPONSE: Help for Survivors of Domestic Violence & Sexual Assault,"$5,000.00",Aspen,Program,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,WesternSlope,Pitkin,English in Action,"$5,000.00",Basalt,General Operating,Self Sufficiency,,,,,
AV Hunter Trust,2012,SanLuisValley,Alamosa ,"Tu Casa, Inc.","$10,000.00",Alamosa,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,SanLuisValley,Alamosa ,"Alamosa Senior Citizens, Inc.","$5,000.00",Alamosa,General Operating,Seniors,11/19/12,,,,
AV Hunter Trust,2012,SanLuisValley,Alamosa ,Boys & Girls Club of the San Luis Valley,"$20,000.00",Alamosa,General Operating,Youth,11/19/12,,,,
AV Hunter Trust,2012,SanLuisValley,Alamosa ,La Puente Home,"$30,000.00",Alamosa,General Operating,Indigent,11/19/12,,,,
AV Hunter Trust,2012,SanLuisValley,Alamosa ,"Tu Casa, Inc.","$2,500.00",Alamosa,General Operating,Indigent,12/18/12,,,,
AV Hunter Trust,2012,Western Slope,Eagle,Bright Future Foundation,"$5,000.00",Avon,Program,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Western Slope,Eagle,SOS Outreach,"$5,000.00",Avon,Program,Youth,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Summit,Breckenridge Outdoor Education Center,"$15,000.00",Breckenridge,Program,Disabled,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Fremont,"Canon City Golden Age Center, Inc.","$10,000.00",Canon City,Program,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Fremont,"Canon City Golden Age Center, Inc.","$5,000.00",Canon City,General Operating,Seniors,12/18/12,,,,
AV Hunter Trust,2012,Heart of CO,Fremont,Senior Services Solutions Plus,"$5,000.00",Canon City,General Operating,Seniors,12/18/12,,,,
AV Hunter Trust,2012,SanLuisValley,Conejos,Valle del Sol Community Center,"$10,000.00",Capulin,General Operating,Youth,11/19/12,,,,
AV Hunter Trust,2012,Western Slope,Garfield,WindWalkers - Equine Assisted Learning & Therapy Center,"$5,000.00",Carbondale,General Operating,Disabled,11/19/12,,,,
AV Hunter Trust,2012,Western Slope,Garfield,WindWalkers - Equine Assisted Learning & Therapy Center,"$5,000.00",Carbondale,General Operating,Disabled,12/18/12,,,,
AV Hunter Trust,2012,Southwest,Montezuma,Four Corners Child Advocacy Center,"$5,000.00",Cortez,General Operating,Youth,8/27/12,,,,
AV Hunter Trust,2012,Northwest,Moffat,Northwest Colorado Dental Coalition,"$10,000.00",Craig,General Operating,Indigent,5/21/12,,,,
AV Hunter Trust,2012,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,"$7,500.00",Craig,General Operating,Youth,11/19/12,,,,
AV Hunter Trust,2012,SanLuisValley,Rio Grande,High Valley Community Center,"$10,000.00",Del Norte,Program,Youth,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Summit,CASA of the Continental Divide,"$5,000.00",Dillon,General Operating,Youth,8/27/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,"$10,000.00",Durango,General Operating,Youth,5/21/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Manna - The Durango Soup Kitchen,"$10,000.00",Durango,General Operating,Indigent,5/21/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Habitat for Humanity of La Plata County,"$10,000.00",Durango,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Adaptive Sports Association,"$10,000.00",Durango,General Operating,Disabled,11/19/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Alternative Horizons Corporation,"$10,000.00",Durango,Program,Youth,11/19/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Boys & Girls Club of La Plata County,"$5,000.00",Durango,General Operating,Youth,11/19/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,La Plata Family Centers Coalition,"$10,000.00",Durango,Program,Youth,11/19/12,,,,
AV Hunter Trust,2012,Southwest,La Plata,Sexual Assault Services Organization,"$5,000.00",Durango,Program,Youth,11/19/12,,,,
AV Hunter Trust,2012,Northeast ,Morgan,"S.A.R.A., Inc.","$5,000.00",Fort Morgan,General Operating,Youth,8/27/12,,,,
AV Hunter Trust,2012,Northeast ,Morgan,Kids At Their Best,"$5,000.00",Fort Morgan,General Operating,Youth,11/19/12,,,,
AV Hunter Trust,2012,Northeast ,Morgan,Kids At Their Best,"$2,500.00",Fort Morgan,General Operating,Youth,12/18/12,,,,
AV Hunter Trust,2012,Northeast ,Morgan,"S.A.R.A., Inc.","$2,500.00",Fort Morgan,General Operating,Youth,12/18/12,,,,
AV Hunter Trust,2012,Western Slope,Garfield,Advocate Safehouse Project,"$5,000.00",Glenwood Springs,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Western Slope,Garfield,Family Visitor Programs,"$15,000.00",Glenwood Springs,Program,Youth,8/27/12,,,,
AV Hunter Trust,2012,Western Slope,Mesa,Counseling and Education Center,"$7,500.00",Grand Junction,General Operating,Indigent,5/21/12,,,,
AV Hunter Trust,2012,Western Slope,Mesa,Mesa County Partners,"$7,500.00",Grand Junction,Program,Youth,5/21/12,,,,
AV Hunter Trust,2012,Western Slope,Mesa,CASA of Mesa County,"$5,000.00",Grand Junction,General Operating,Youth,8/27/12,,,,
AV Hunter Trust,2012,Western Slope,Mesa,Grand Valley Catholic Outreach,"$5,000.00",Grand Junction,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Western Slope,Mesa,Western Slope Center for Children,"$5,000.00",Grand Junction,General Operating,Youth,8/27/12,,,,
AV Hunter Trust,2012,Western Slope,Mesa,"Mesa County RSVP, Inc.","$15,000.00",Grand Junction,Program,Seniors,11/19/12,,,,
AV Hunter Trust,2012,SanJuan,Gunnison,Habitat for Humanity of Gunnison Valley,"$5,000.00",Gunnison,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Northeast ,Phillips,"Phillips County Family Education Services, Inc.","$10,000.00",Holyoke,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Northeast ,Phillips,"Phillips County Family Education Services, Inc.","$5,000.00",Holyoke,General Operating,Indigent,12/18/12,,,,
AV Hunter Trust,2012,Southeast,Prowers,Lamar Area Hospice Association,"$10,000.00",Lamar,Program,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Lake,St. George Community Meals,"$15,000.00",Leadville,General Operating,Indigent,5/21/12,,,,
AV Hunter Trust,2012,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$10,000.00",Leadville,Program,Indigent,11/19/12,,,,
