Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Anschutz Family Foundation,2009,San Juan,San Miguel,One Telluride,5000.00,Telluride,Program,Education,
Anschutz Family Foundation,2009,San Juan,San Miguel,One to One,5000.00,Telluride,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Juan,San Miguel,Prime Time Early Learning Center,7500.00,Norwood,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Juan,San Miguel,San Miguel Resource Center,5000.00,Telluride,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,Center for Restorative Programs,5000.00,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",10000.00,Alamosa,General Operating,Human Services,
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,SLV Immigrant Resource Center,5000.00,Alamosa,General Operating,,
Anschutz Family Foundation,2009,San Luis Valley,Conejos,Valle del Sol Community Center,5000.00,Capulin,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Costilla,Rio Culebra Growers Educational Corporation,5000.00,San Luis,Program,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Mineral,Creede Arts Council,5000.00,Creede,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Rio Grande,High Valley Community Center,5000.00,Del Norte,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,San Luis Valley,Saguache,Crestone Youth Programs,5000.00,Crestone,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Saguache,ScSEED,5000.00,Moffat,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,Southeast,Baca,"Springfield Child Care Center, Inc.",5000.00,Springfield,Capital,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Bent,Bent County HealthCare Center,7500.00,Las Animas,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Southeast,Bent,"Bent County Las Animas Community Activity Center, Inc.",5000.00,Las Animas,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Huerfano,Huerfano County Youth Services,7500.00,Walsenburg,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Las Animas,"Kim Equine Pavillion and Education Center, Inc.",7500.00,Kim,Capital,Economic Development      ,
Anschutz Family Foundation,2009,Southeast,Otero,Arkansas Valley Resource Center,5000.00,La Junta,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southeast,Otero,Santo Nino Learning Center,5000.00,Rocky Ford,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Otero,Tri-County Family Care Center,5000.00,Rocky Ford,General Operating,,
Anschutz Family Foundation,2009,Southeast,Prowers,"Southeast Business Retention, Expansion and Attraction",5000.00,Lamar,Program,Economic Development      ,
Anschutz Family Foundation,2009,Southwest,Archuleta,"Colorado Housing, Inc.",5802.00,Pagosa Springs,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2009,Southwest,Archuleta,The Education Center,5000.00,Pagosa Springs,General Operating,Education,
Anschutz Family Foundation,2009,Southwest,Dolores,Dolores County School District,3000.00,Rico,Program,Children and Youth Services,
Anschutz Family Foundation,2009,Southwest,Dolores,Dove's Next Early Care and Education Center,5000.00,Dove Creek,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southwest,La Plata,Adaptive Sports Association,5000.00,Durango,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Southwest,La Plata,Alternative Horizons,5000.00,Durango,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southwest,La Plata,Sexual Assault Services Organization,5000.00,Durango,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southwest,La Plata,"Southern Ute Community Action Programs, Inc.",5000.00,Ignacio,Program,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2009,Southwest,Montezuma,Cortez Center,5000.00,Cortez,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,Southwest,Montezuma,Medicine Horse Center: Therapeutic Riding & Equine Rehabilitation,5000.00,Mancos,Program,Health                                                                     ,
Anschutz Family Foundation,2009,Southwest,Montezuma,The Bridge,5000.00,Cortez,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2009,Southwest,Montezuma,The Children's Kiva Montessori Preschool & Kindergarten,5000.00,Cortez,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southwest,San Juan,A Theatre Group,5000.00,Silverton,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Program,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Eagle,English in Action,5000.00,Basalt,General Operating,,
Anschutz Family Foundation,2009,Western Slope,Eagle,The Eagle River Youth Coalition,5000.00,Edwards,Program,,
Anschutz Family Foundation,2009,Western Slope,Garfield,"Advocate Safehouse Project, Inc.",5000.00,Glenwood Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Western Slope,Garfield,"Alpine Legal Services, Inc.",5000.00,Glenwood Springs,General Operating,Legal Services,
Anschutz Family Foundation,2009,Western Slope,Garfield,Kelsey's Kids,3500.00,Glenwood Springs,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Western Slope,Garfield,Roaring Fork Valley Early Learning Center,5000.00,Glenwood Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Garfield,Senior Matters,5000.00,Carbondale,Program,,
Anschutz Family Foundation,2009,Western Slope,Garfield,Third Street Center,10000.00,Carbondale,Capital,"Community, Public Affairs",
Anschutz Family Foundation,2009,Western Slope,Garfield,WindWalkers Equine Assisted Learning & Therapy Center,5000.00,Carbondale,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Western Slope,Garfield,Yampah Teen Parent Program,5000.00,Glenwood Springs,General Operating,,
Anschutz Family Foundation,2009,Western Slope,Garfield,Youthentity,5000.00,Carbondale,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Garfield,YouthZone,5000.00,Glenwood Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Artspace & Open Studios,2700.00,Grand Junction,Program,,
Anschutz Family Foundation,2009,Western Slope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade,General Operating,Human Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Colorado Discover Ability,5000.00,Grand Junction,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Western Slope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Western Slope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,Education,
Anschutz Family Foundation,2009,Western Slope,Mesa,St. Mary's Foster Grandparent Program,5000.00,Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,The Literacy Center,5000.00,Grand Junction,General Operating,Education,
Anschutz Family Foundation,2009,Western Slope,Mesa,The Tree House Center for Youth,5000.00,Grand Junction,Program,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Western Colorado Suicide Prevention Foundation,5000.00,Grand Junction,Program,Health                                                                     ,
AV Hunter Trust,2009,San Luis Valley,Alamosa ,San Luis Valley Housing Coalition,10000.00,Alamosa,General Operating,Indigent,8/18/09
AV Hunter Trust,2009,San Luis Valley,Alamosa ,Boys & Girls Club of the San Luis Valley,25000.00,Alamosa,General Operating,Youth,11/16/09
AV Hunter Trust,2009,San Luis Valley,Alamosa ,La Puente Home,20000.00,Alamosa,General Operating,Indigent,11/16/09
AV Hunter Trust,2009,San Luis Valley,Alamosa ,La Puente Home,5000.00,Alamosa,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,15000.00,Breckenridge,Program,Disabled,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Fremont,"Canon City Golden Age Center, Inc.",7500.00,Canon City,Program,Seniors,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Fremont,Senior Services Solutions Plus,5000.00,Canon City,General Operating,Seniors,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Fremont,Senior Services Solutions Plus,5000.00,Canon City,General Operating,Seniors,12/22/09
AV Hunter Trust,2009,San Luis Valley,Conejos,Valle del Sol Community Center,7500.00,Capulin,General Operating,Youth,11/16/09
AV Hunter Trust,2009,San Luis Valley,Conejos,Valle del Sol Community Center,5000.00,Capulin,General Operating,Youth,12/22/09
AV Hunter Trust,2009,Southwest,Montezuma,Four Corners Child Advocacy Center,7500.00,Cortez,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Southwest,Montezuma,Hospice of Montezuma,10000.00,Cortez,Program,Indigent,8/18/09
AV Hunter Trust,2009,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,7500.00,Craig,General Operating,Youth,11/16/09
AV Hunter Trust,2009,San Luis Valley,Rio Grande,High Valley Community Center,5000.00,Del Norte,Program,Youth,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Teller,Community Partnership Family Resource Center,5000.00,Divide,Program,,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,10000.00,Durango,General Operating,Youth,5/14/09
AV Hunter Trust,2009,Southwest,La Plata,Manna - The Durango Soup Kitchen,7500.00,Durango,General Operating,Indigent,5/14/09
AV Hunter Trust,2009,Southwest,La Plata,Adaptive Sports Association,10000.00,Durango,General Operating,Disabled,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Alternative Horizons Corporation,10000.00,Durango,Program,Youth,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Sexual Assault Services Organization,5000.00,Durango,Program,Youth,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Manna - The Durango Soup Kitchen,5000.00,Durango,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Western Slope,Garfield,Family Visitor Programs,15000.00,Glenwood Springs,Program,Youth,11/16/09
AV Hunter Trust,2009,Western Slope,Mesa,Marillac Clinic,25000.00,Grand Junction,Program,Disabled,5/14/09
AV Hunter Trust,2009,Western Slope,Mesa,Mesa County Partners,10000.00,Grand Junction,Program,Youth,5/14/09
AV Hunter Trust,2009,Western Slope,Mesa,CASA of Mesa County,5000.00,Grand Junction,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Western Slope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Western Slope,Mesa,"Mesa County RSVP, Inc.",7500.00,Grand Junction,Program,Seniors,11/16/09
AV Hunter Trust,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",7500.00,Holyoke,General Operating,Indigent,8/18/09
AV Hunter Trust,2009,Southeast,Prowers,Lamar Area Hospice Association,10000.00,Lamar,Program,Seniors,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. George Community Meals,5000.00,Leadville,General Operating,Indigent,5/14/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. Vincent Hospital Foundation - Tree of Sharing,5000.00,Leadville,Program,Youth,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Lake,"Full Circle of Lake County, Inc.",5000.00,Leadville,Program,Indigent,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Lake,The Center,30,000.00,Leadville,Program,Youth,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Lake,"Full Circle of Lake County, Inc.",5000.00,Leadville,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. George Community Meals,10000.00,Leadville,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. Vincent Hospital Foundation - Tree of Sharing,5000.00,Leadville,General Operating,Youth,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Lake,The Center,5000.00,Leadville,General Operating,Youth,12/22/09
AV Hunter Trust,2009,Southwest,Montezuma,Medicine Horse Center,10000.00,Mancos,General Operating,Disabled,11/16/09
AV Hunter Trust,2009,Southwest,Montezuma,Medicine Horse Center,5000.00,Mancos,General Operating,Disabled,12/22/09
AV Hunter Trust,2009,San Juan,Montrose,CASA of the 7th Judicial District,5000.00,Montrose,General Operating,Youth,8/18/09
AV Hunter Trust,2009,San Juan,Montrose,"All Points Transit, Inc.",10000.00,Montrose,General Operating,Seniors,11/16/09
AV Hunter Trust,2009,San Juan,Montrose,Black Canyon Boys & Girls Club,7500.00,Montrose,General Operating,Youth,11/16/09
AV Hunter Trust,2009,Southwest,Archuleta,"Habitat for Humanity of Archuleta County, Inc.",5000.00,Pagosa Springs,General Operating,Indigent,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Chaffee,Boys & Girls Club of Chaffee County,7500.00,Salida,General Operating,Youth,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Teller,Habitat for Humanity of Teller County,10000.00,Woodland Park,General Operating,Indigent,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Teller,"Prospect Home Care & Hospice, Inc.",5000.00,Woodland Park,Program,Seniors,8/18/09
AV Hunter Trust,2009,Northeast,Yuma,Baby Bear Hugs,10000.00,Yuma,General Operating,Youth,11/16/09
Boettcher Foundation,2009,Heart of Colorado,Chaffee,Heart of the Rockies Medical Center,50000.00,Salida,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers,10000.00,Salida,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Development Training Services,10000.00,Canon City,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Florence Senior Citizen Council on Aging,10000.00,Florence,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Fremont Schools Facilities Corporation,20000.00,Canon City,,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Friends of Penrose Community Library,25000.00,Penrose,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Lake,High Mountain Institute,45000.00,Leadville,Capital,,
Boettcher Foundation,2009,Northeast,Kit Carson,Kit Carson County Memorial Hospital,3750.00,Burlington,General Operating,Health                                                                     ,
Boettcher Foundation,2009,Northeast,Lincoln,Limon Heritage Museum & Railroad Park,20000.00,Limon,Capital,,
Boettcher Foundation,2009,Northeast,Phillips,East Phillips County Hospital District,50000.00,Holyoke,Capital,Health                                                                     ,
Boettcher Foundation,2009,Northeast,Phillips,Phillips County,75000.00,Holyoke,Capital,,
Boettcher Foundation,2009,Northwest,Jackson,North Park School District R-1,50000.00,Walden,Capital,,
Boettcher Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services,
Boettcher Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,50000.00,Rangely,Capital,Education,
Boettcher Foundation,2009,Northwest,Routt,East Routt Library District,25000.00,Steamboat Springs,Capital,,
Boettcher Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,75000.00,Steamboat Springs,Capital,,
Boettcher Foundation,2009,San Juan,Gunnison,Crested Butte Land Trust,3000.00,Crested Butte,General Operating,,
Boettcher Foundation,2009,San Juan,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,,
Boettcher Foundation,2009,San Juan,Montrose,Colorado FFA Foundation,1162.00,Montrose,General Operating,,
Boettcher Foundation,2009,San Juan,Montrose,Midwestern Colorado Mental Health Center,75000.00,Montrose,Capital,Health                                                                     ,
Boettcher Foundation,2009,San Juan,Montrose,Montrose Regional Library District,25000.00,Montrose,Capital,,
Boettcher Foundation,2009,San Luis Valley,Alamosa,Adam's State College,18944.00,Alamosa,Student Aid/Scholarship,Education,
Boettcher Foundation,2009,San Luis Valley,Alamosa,Great Sand Dunes National Park & Preserve,3000.00,Mosca,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Alamosa,"La Puente, Inc.",5000.00,Alamosa,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Costilla,Mariachi San Luis,1500.00,San Pablo,General Operating,Education,
Boettcher Foundation,2009,San Luis Valley,Costilla,Sierra Grande School District R-30,25000.00,Blanca,Capital,,
Boettcher Foundation,2009,San Luis Valley,Mineral,Shumei International Institute,1000.00,Crestone,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Mineral,The Spiritual Life Institute,1000.00,Crestone,General Operating,,
Boettcher Foundation,2009,San Luis Valley,Saguache,"Crestone Youth Plaza, Inc.",10000.00,Crestone,Capital,,
Boettcher Foundation,2009,San Luis Valley,Saguache,Kundalini,3000.00,Crestone,General Operating,,
Boettcher Foundation,2009,Southwest,La Plata,Durango Public Library,50000.00,Durango,Capital,,
Boettcher Foundation,2009,Southwest,La Plata,Fort Lewis College - Scholarships,15000.00,Durango,Student Aid/Scholarship,Health                                                                     ,
Boettcher Foundation,2009,Southwest,Montezuma,Crow Canyon Archaeological Center,5000.00,Cortez,General Operating,,
Boettcher Foundation,2009,Southwest,Montezuma,Dolores Community Center Association,25000.00,Dolores,Capital,,
Boettcher Foundation,2009,Western Slope,Delta,Paonia Public Library Foundation,25000.00,Paonia,Capital,,
Boettcher Foundation,2009,Western Slope,Garfield,Colorado Mountain College Foundation,150000.00,Glenwood Springs,Capital,Education,
Boettcher Foundation,2009,Western Slope,Garfield,"Colorado West Regional Mental Health, Inc.",150000.00,Glenwood Springs,Capital,Health                                                                     ,
Boettcher Foundation,2009,Western Slope,Mesa,Mesa State College,200000.00,Grand Junction,Capital,Education,
